scenario_seed,scenario_id,rows,columns,n_p,n_q,target_mi,replicates,invalid_rate,fallback_rate,clipped_rate,median_root_iterations,median_saddlepoint_ms,p95_saddlepoint_ms,wald_analytic_valid_n,wald_analytic_fpr_10,wald_analytic_fpr_05,influence_saddlepoint_valid_n,influence_saddlepoint_fpr_10,influence_saddlepoint_fpr_05,route_lugannani_rice_rate,route_normal_near_mean_rate,route_normal_numerical_fallback_rate
2026072601,random_2x5_d1,2,5,500,1000,0.07,2000,0.0,0.0,0.0,5.0,0.6652079755440354,0.7668107398785651,2000,0.095,0.0445,2000,0.0955,0.0455,1.0,0.0,0.0
2026072601,random_2x5_d2,2,5,250,1000,0.15,2000,0.0,0.0,0.0,5.5,0.6786040030419827,0.7861058868002145,2000,0.109,0.0535,2000,0.1105,0.054,1.0,0.0,0.0
2026072601,random_2x5_d3,2,5,2000,2000,0.03,2000,0.0,0.0,0.0,5.0,0.674333015922457,0.7717562431935221,2000,0.113,0.0605,2000,0.113,0.0605,1.0,0.0,0.0
2026072601,random_2x5_d4,2,5,200,400,0.07,2000,0.0,0.0,0.0,5.0,0.6723960395902395,0.7762184541206807,2000,0.1015,0.055,2000,0.102,0.056,1.0,0.0,0.0
2026072601,random_2x5_d5,2,5,120,480,0.15,2000,0.0,0.0,0.0,6.0,0.7141249952837825,0.7916920236311853,2000,0.131,0.077,2000,0.1365,0.08,1.0,0.0,0.0
2026072601,random_3x3_d0,3,3,900,900,0.03,2000,0.0,0.0005,0.0,5.0,0.6863544695079327,0.7612931076437235,2000,0.0905,0.053,2000,0.092,0.0535,0.9995,0.0005,0.0
2026072601,random_3x3_d1,3,3,450,900,0.07,2000,0.0,0.0,0.0,5.0,0.6607710383832455,0.7541249506175518,2000,0.0955,0.041,2000,0.097,0.0435,1.0,0.0,0.0
2026072601,random_3x3_d2,3,3,225,900,0.15,2000,0.0,0.0,0.0,6.0,0.6822709692642093,0.7937267713714391,2000,0.1105,0.0585,2000,0.1115,0.0595,1.0,0.0,0.0
2026072601,random_3x3_d3,3,3,1800,1800,0.03,2000,0.0,0.0,0.0,5.0,0.6488129729405046,0.7431691105011851,2000,0.103,0.0495,2000,0.1035,0.049,1.0,0.0,0.0
2026072601,random_3x3_d4,3,3,180,360,0.07,2000,0.0,0.0,0.0,5.0,0.6887289346195757,0.7797563041094691,2000,0.1105,0.0495,2000,0.1125,0.0505,1.0,0.0,0.0
2026072601,random_3x3_d5,3,3,120,480,0.15,2000,0.0,0.0,0.0,5.0,0.6801459821872413,0.7790545176248997,2000,0.112,0.057,2000,0.1125,0.058,1.0,0.0,0.0
2026072601,random_3x7_d0,3,7,2100,2100,0.03,2000,0.0,0.0,0.0,5.0,0.6658125203102827,0.7388770580291748,2000,0.0915,0.0445,2000,0.0915,0.0445,1.0,0.0,0.0
2026072601,random_3x7_d1,3,7,1050,2100,0.07,2000,0.0,0.0,0.0,5.0,0.6653119926340878,0.7587645668536425,2000,0.103,0.045,2000,0.104,0.045,1.0,0.0,0.0
2026072601,random_3x7_d2,3,7,525,2100,0.15,2000,0.0,0.0,0.0,5.0,0.6720414967276156,0.7819503603968769,2000,0.1175,0.064,2000,0.118,0.064,1.0,0.0,0.0
2026072601,random_3x7_d3,3,7,4200,4200,0.03,2000,0.0,0.0,0.0,5.0,0.6673125317320228,0.7408464909531175,2000,0.1095,0.057,2000,0.1095,0.057,1.0,0.0,0.0
2026072601,random_3x7_d4,3,7,420,840,0.07,2000,0.0,0.0,0.0,5.0,0.6658544880338013,0.7557381642982363,2000,0.1015,0.0545,2000,0.102,0.056,1.0,0.0,0.0
2026072601,random_3x7_d5,3,7,210,840,0.15,2000,0.0,0.0005,0.0,5.0,0.6724375416524708,0.7640083436854184,2000,0.12,0.0715,2000,0.122,0.0715,0.9995,0.0005,0.0
2026072601,random_4x6_d0,4,6,2400,2400,0.03,2000,0.0,0.0,0.0,5.0,0.6638540071435273,0.7428372162394226,2000,0.086,0.044,2000,0.086,0.044,1.0,0.0,0.0
