lam_target,sparse_bin,n,median_mu_ratio,median_sigma2_ratio,median_q95_standard,median_q95_bartlett,median_q95_moment,median_nu_norm,median_a
0.25,"(0.25, 0.5]",84,1.0312699625262716,0.9868913301243347,0.9808134926777684,1.2013960079385186,1.027945155355467,1.3748789457839854,0.7657600117114851
0.25,"(0.5, 0.75]",47,1.0140978868218617,0.9819634445492359,1.033004258225598,1.3831015793219648,1.0152571043133214,1.6729158115688807,0.5976179186724029
0.25,"(0.75, 1.0]",118,0.9750439327918781,1.0040784474963211,1.173444788154064,1.7348377968372548,0.9858470618858788,2.188747089792631,0.40525838969218897
0.35,"(0.0, 0.25]",253,1.0149279837622462,0.9953655965805136,0.965521946384094,1.0343315325894211,1.0120140650800613,1.117244200665718,0.9441117329447186
0.35,"(0.25, 0.5]",81,1.0266282338474437,0.9988138944188846,0.9608937466032519,1.1484449758801158,1.021525353456507,1.414750610312352,0.7789907669128409
0.35,"(0.5, 0.75]",49,1.0154319855356788,0.9925164251775753,0.9927818513793308,1.2753855358715287,1.0134229915092254,1.6850651298346857,0.6379602956826228
0.35,"(0.75, 1.0]",94,0.97849181891265,1.0072041078442178,1.0983515332429064,1.5298432072434884,0.9878379868799714,2.5084080617684585,0.4208071216931911
0.5,"(0.0, 0.25]",316,1.0078803927920625,0.9994596157370379,0.955193125727615,1.0186364153903535,1.0067523508478586,1.1074711093903042,0.9495803689116148
0.5,"(0.25, 0.5]",78,1.0169831745300137,1.0007073210206672,0.9376254026015611,1.1181592503092945,1.0147535481792278,1.465877452301997,0.7594739215405739
0.5,"(0.5, 0.75]",33,1.0074615030709084,1.0057676863552591,0.9543340224255176,1.1826600976762287,1.00499796078762,1.7896719206246672,0.6342217299630475
0.5,"(0.75, 1.0]",61,0.98439498755811,1.00615313237551,1.0119687008357192,1.325117496720293,0.9941569679490124,2.4752675431384996,0.4257058280834691
0.65,"(0.0, 0.25]",353,1.0021232171315928,1.0029550533818605,0.9475128519992255,1.0081255758573198,1.0028466395574536,1.1136592062080028,0.9606922184489524
0.65,"(0.25, 0.5]",76,1.0008364698154413,1.0096538777754573,0.9274628304322009,1.098266138048659,1.0025083068761838,1.5384229539038183,0.7401114520651271
0.65,"(0.5, 0.75]",4,1.016291959203008,0.9964425592064617,0.9294408776641148,1.1213117027572888,1.0145675418710502,1.7430009030561098,0.6721078591660785
0.65,"(0.75, 1.0]",45,1.0106703704078368,0.9884016131438395,0.9619552516578266,1.2119353074718662,1.0087732953846718,2.285239032389952,0.496819956650013
