k,nu0,N,lam_min,lam_tp,mu,sigma2,nu,a
7,36,245,5.0,0.10204081632653061,37.83506118352712,83.84888707158491,34.144564221564984,1.108084465158624
7,36,445,9.081632653061224,0.18533944189920867,37.180813582078706,82.34842289771215,33.57472675202126,1.1074048005421324
7,36,809,16.510204081632654,0.3369429404414827,36.47659838312759,75.15791878690129,35.40657461195896,1.0302210474437485
7,36,1470,30.0,0.6122448979591837,36.20759376306407,70.95584195601778,36.95227369505946,0.9798475206656917
8,49,11,0.171875,0.002685546875,24.3235494637593,21.700615723130515,54.527029653386855,0.4460824222111003
8,49,19,0.296875,0.004638671875,37.41968753514633,27.763670539199474,100.8680039803094,0.3709767821166669
8,49,32,0.5,0.0078125,48.86631545365638,37.141188779875606,128.5859103847593,0.38002853739913545
8,49,39,0.609375,0.009521484375,52.60192750112101,46.59776063093333,118.75947424805553,0.44292826180124556
8,49,49,0.765625,0.011962890625,56.08193547563778,56.019782235896336,112.28831534722495,0.49944587112396965
8,49,60,0.9375,0.0146484375,57.83311470881706,64.49592439142522,103.71722518850719,0.5576037596812365
8,49,74,1.15625,0.01806640625,58.87915292173045,83.95955958238295,82.5815348728423,0.7129820608492153
8,49,91,1.421875,0.022216796875,59.076851301948246,94.4290837523858,73.91947948799887,0.7992054558709335
8,49,112,1.75,0.02734375,58.66626235420917,109.66583928345725,62.76759218915811,0.9346584807237935
8,49,138,2.15625,0.03369140625,57.14421437526498,119.91952674200418,54.46087597713056,1.0492709371634275
8,49,171,2.671875,0.041748046875,55.899595957291226,128.78434537267677,48.52709107067244,1.151925547646815
8,49,211,3.296875,0.051513671875,54.062320355546234,118.77234723787458,49.21574003033083,1.0984762257405565
8,49,260,4.0625,0.0634765625,52.800653723501405,111.74053413240392,49.89969047983332,1.0581358965511118
8,49,320,5.0,0.078125,51.89885538434218,115.70880010117831,46.55637579595701,1.1147529097153028
8,49,582,9.09375,0.14208984375,50.546534177276655,102.0633366661748,50.0660119645362,1.0095977728979257
8,49,1057,16.515625,0.258056640625,49.41724090417635,96.91203730938588,50.39753092353756,0.980548848298769
8,49,1920,30.0,0.46875,49.43766174360094,99.4479198605497,49.15301199063601,1.0057910948167157
9,64,14,0.1728395061728395,0.002133821063862216,33.11346489901667,27.5905786698363,79.48376659581783,0.4166066395343549
9,64,24,0.2962962962962963,0.003657978966620942,49.348620908754874,36.71269438851639,132.6672654327299,0.37197285063343316
9,64,40,0.49382716049382713,0.006096631611034903,63.87278397278837,44.827379487506974,182.01967543391552,0.3509114265835408
9,64,50,0.6172839506172839,0.007620789513793629,68.70139851796694,56.1394206068008,168.14858818663112,0.40857552988618634
9,64,62,0.7654320987654321,0.0094497789971041,72.64443028892464,67.14164211222383,157.19643088805717,0.46212518871154423
9,64,76,0.9382716049382716,0.011583600060966317,75.41372184883194,88.72973988041073,128.19218112795545,0.5882864398223905
9,64,94,1.1604938271604939,0.014327084285932023,76.88815042787934,105.62122183094942,111.94317910243892,0.6868498022333204
9,64,115,1.4197530864197532,0.017527815881725348,76.3647324701639,130.21176005996358,89.5705942774173,0.8525647628690246
9,64,142,1.7530864197530864,0.021643042219173906,75.73987308987448,133.51652346580272,85.92986436078941,0.8814150197173508
9,64,175,2.1604938271604937,0.026672763298277703,74.61054229555268,151.9906648278344,73.25098588050923,1.0185602473291104
9,64,216,2.6666666666666665,0.03292181069958848,72.4788328421732,155.4067115608303,67.60558996974144,1.0720834308910387
9,64,266,3.2839506172839505,0.04054260021338211,71.0745827475165,157.37682186048005,64.19746253628102,1.1071244865379046
9,64,329,4.061728395061729,0.05014479500076208,69.24179725188357,153.40181199286303,62.50808154592085,1.1077255218753732
9,64,405,5.0,0.06172839506172839,67.90113115370305,153.8562530899638,59.93339262274202,1.1329432255089398
9,64,736,9.08641975308642,0.11217802164304222,65.71865594138333,139.9597851355039,61.7168958149011,1.0648405930603535
9,64,1337,16.506172839506174,0.20377991159884165,64.7100439214419,131.58769658728565,63.64409276724942,1.0167486267435806
9,64,2430,30.0,0.37037037037037035,64.50228112739687,125.43275204455857,66.33904148351543,0.9723125279617586
