anchor_configuration_id,configuration_label,configuration_id,sample_scale,baseline_n_p,baseline_n_q,n_p,n_q,mi_p,mi_q,true_delta_p_minus_q,mi_difference,minimum_expected_count,mean_delta_corrected,mean_delta_error,sd_delta_corrected,mean_standard_error,rms_standard_error,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,rejection_wilson_low,rejection_wilson_high,median_degrees_of_freedom,p_any_zero_cell_rate,q_any_zero_cell_rate,p_empty_margin_rate,q_empty_margin_rate
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p0001_scale1,1.0,20,200,20,200,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,2.8020537383859043,0.004050930022509978,0.004150930022509967,0.11099083769268847,0.09445928594310048,0.09933276965117077,expanded_welch,Expanded Welch,50000,49935,0.9987,2685,0.053769900871132474,0.05182560714694707,0.055782845549175945,4.224568336975878,0.09518,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p001_scale1,1.0,20,200,20,200,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,2.8020537383859043,0.0031312776817588052,0.00413127768175914,0.11121007037218245,0.09454856200966202,0.09941958852009578,normal_wald,Normal Wald,50000,50000,1.0,8497,0.16994,0.16667334103396478,0.17325737154576384,,0.09496,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p001_scale1,1.0,20,200,20,200,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,2.8020537383859043,0.0031312776817588052,0.00413127768175914,0.11121007037218245,0.09454856200966202,0.09941958852009578,simple_welch,Simple Welch,50000,50000,1.0,7950,0.159,0.1558209794795104,0.16223141399345647,23.15690869856141,0.09496,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p001_scale1,1.0,20,200,20,200,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,2.8020537383859043,0.0031312776817588052,0.00413127768175914,0.11121007037218245,0.09454856200966202,0.09941958852009578,expanded_welch,Expanded Welch,50000,49919,0.99838,2734,0.05476872533504277,0.052806813814375755,0.05679915609689605,4.282544475975826,0.09496,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale1,1.0,20,200,20,200,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,2.8020537383859043,-0.00042784409125437854,0.004572155908745737,0.11181002499544351,0.09478492025820971,0.09952406746214604,normal_wald,Normal Wald,50000,50000,1.0,8552,0.17104,0.16776480953659814,0.17436573403192732,,0.09762,0.0,2e-05,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale1,1.0,20,200,20,200,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,2.8020537383859043,-0.00042784409125437854,0.004572155908745737,0.11181002499544351,0.09478492025820971,0.09952406746214604,simple_welch,Simple Welch,50000,50000,1.0,8008,0.16016,0.15697144028900156,0.16340077495396926,23.288808609128836,0.09762,0.0,2e-05,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale1,1.0,20,200,20,200,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,2.8020537383859043,-0.00042784409125437854,0.004572155908745737,0.11181002499544351,0.09478492025820971,0.09952406746214604,expanded_welch,Expanded Welch,50000,49925,0.9985,2659,0.053259889834752126,0.05132431695778033,0.055264205894486045,4.278009678719487,0.09762,0.0,2e-05,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p01_scale1,1.0,20,200,20,200,0.09999999999999987,0.1100000000000001,-0.010000000000000231,0.01,2.8020537383859043,-0.005630509077690212,0.004369490922310019,0.11136318535683204,0.09495780962737219,0.09970756923803334,normal_wald,Normal Wald,50000,50000,1.0,8879,0.17758,0.17425509848216034,0.1809544402379393,,0.09616,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p01_scale1,1.0,20,200,20,200,0.09999999999999987,0.1100000000000001,-0.010000000000000231,0.01,2.8020537383859043,-0.005630509077690212,0.004369490922310019,0.11136318535683204,0.09495780962737219,0.09970756923803334,simple_welch,Simple Welch,50000,50000,1.0,8337,0.16674,0.16349844586132753,0.17003275838735557,23.459408117744807,0.09616,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p01_scale1,1.0,20,200,20,200,0.09999999999999987,0.1100000000000001,-0.010000000000000231,0.01,2.8020537383859043,-0.005630509077690212,0.004369490922310019,0.11136318535683204,0.09495780962737219,0.09970756923803334,expanded_welch,Expanded Welch,50000,49921,0.99842,2639,0.05286352436850223,0.05093483659390016,0.054861021830153,4.352923371271984,0.09616,0.0,0.0,0.0
