anchor_configuration_id,configuration_label,configuration_id,sample_scale,baseline_n_p,baseline_n_q,n_p,n_q,mi_p,mi_q,true_delta_p_minus_q,mi_difference,minimum_expected_count
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p05_scale0p5,0.5,50,50,25,25,0.03000000000000036,0.07999999999968177,-0.04999999999968141,0.05,0.3228806556316851
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p1_scale0p5,0.5,50,50,25,25,0.03000000000000036,0.1299999999996715,-0.09999999999967113,0.1,0.013868497554642145
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0_scale1,1.0,50,50,50,50,0.03000000000000036,0.029999999999356874,6.434852650727407e-13,0.0,1.729791843220617
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di1em05_scale1,1.0,50,50,50,50,0.03000000000000036,0.030009999999358383,-9.999999358023537e-06,1e-05,1.7294941411931257
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p0001_scale1,1.0,50,50,50,50,0.03000000000000036,0.030099999999374183,-9.99999993738232e-05,0.0001,1.726817192298848
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p001_scale1,1.0,50,50,50,50,0.03000000000000036,0.030999999999493877,-0.0009999999994935171,0.001,1.7002787643741166
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p005_scale1,1.0,50,50,50,50,0.03000000000000036,0.034999999999659415,-0.004999999999659055,0.005,1.587063986477207
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p01_scale1,1.0,50,50,50,50,0.03000000000000036,0.039999999999677294,-0.009999999999676934,0.01,1.4550891974529974
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p02_scale1,1.0,50,50,50,50,0.03000000000000036,0.04999999999967819,-0.01999999999967783,0.02,1.216827929185016
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p05_scale1,1.0,50,50,50,50,0.03000000000000036,0.07999999999968177,-0.04999999999968141,0.05,0.6457613112633702
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p1_scale1,1.0,50,50,50,50,0.03000000000000036,0.1299999999996715,-0.09999999999967113,0.1,0.02773699510928429
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0_scale2,2.0,50,50,100,100,0.03000000000000036,0.029999999999356874,6.434852650727407e-13,0.0,3.459583686441234
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di1em05_scale2,2.0,50,50,100,100,0.03000000000000036,0.030009999999358383,-9.999999358023537e-06,1e-05,3.4589882823862514
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p0001_scale2,2.0,50,50,100,100,0.03000000000000036,0.030099999999374183,-9.99999993738232e-05,0.0001,3.453634384597696
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p001_scale2,2.0,50,50,100,100,0.03000000000000036,0.030999999999493877,-0.0009999999994935171,0.001,3.4005575287482332
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p005_scale2,2.0,50,50,100,100,0.03000000000000036,0.034999999999659415,-0.004999999999659055,0.005,3.174127972954414
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p01_scale2,2.0,50,50,100,100,0.03000000000000036,0.039999999999677294,-0.009999999999676934,0.01,2.9101783949059947
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p02_scale2,2.0,50,50,100,100,0.03000000000000036,0.04999999999967819,-0.01999999999967783,0.02,2.433655858370032
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p05_scale2,2.0,50,50,100,100,0.03000000000000036,0.07999999999968177,-0.04999999999968141,0.05,1.2915226225267404
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0p1_scale2,2.0,50,50,100,100,0.03000000000000036,0.1299999999996715,-0.09999999999967113,0.1,0.05547399021856858
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0_scale0p5,0.5,100,100,50,50,0.00499999999999956,0.0050000000005256395,-5.260791802186304e-13,0.0,0.12131461807848845
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di1em05_scale0p5,0.5,100,100,50,50,0.00499999999999956,0.005010000000530035,-1.0000000530474562e-05,1e-05,0.1210097522492412
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0p0001_scale0p5,0.5,100,100,50,50,0.00499999999999956,0.005100000000566929,-0.00010000000056736846,0.0001,0.11828822593275569
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0p001_scale0p5,0.5,100,100,50,50,0.00499999999999956,0.0060000000002620735,-0.0010000000002625131,0.001,0.09311215660802565
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,0.5,100,100,50,50,0.00499999999999956,0.010000000000196296,-0.005000000000196736,0.005,0.015595118913314977
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0_scale1,1.0,100,100,100,100,0.00499999999999956,0.0050000000005256395,-5.260791802186304e-13,0.0,0.2426292361569769
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di1em05_scale1,1.0,100,100,100,100,0.00499999999999956,0.005010000000530035,-1.0000000530474562e-05,1e-05,0.2420195044984824
