stage,scenario_seed,scenario_id,scenario_key,replicates,valid_rate,mean_zero_fraction_p,mean_zero_fraction_q,mean_expected_below_1_p,mean_expected_below_1_q,mean_expected_below_5_p,mean_expected_below_5_q,median_welch_df,p05_welch_df,minimum_welch_df,wald_normal_fpr_10,wald_normal_fpr_10_low,wald_normal_fpr_10_high,wald_normal_fpr_05,wald_normal_fpr_05_low,wald_normal_fpr_05_high,wald_normal_coverage_95,welch_reference_fpr_10,welch_reference_fpr_10_low,welch_reference_fpr_10_high,welch_reference_fpr_05,welch_reference_fpr_05_low,welch_reference_fpr_05_high,welch_reference_coverage_95,welch_unbiased_fpr_10,welch_unbiased_fpr_10_low,welch_unbiased_fpr_10_high,welch_unbiased_fpr_05,welch_unbiased_fpr_05_low,welch_unbiased_fpr_05_high,welch_unbiased_coverage_95
broad,2026072601,random_5x5_d3,broad:2026072601:random_5x5_d3,5000,1.0,0.009696000000000001,0.145336,0.0,0.180576,0.01792,0.27896800000000005,9890.506504520024,9555.831567167483,9008.505614045316,0.0916,0.08391488273466795,0.0999121762140547,0.0448,0.03940712743434635,0.05089178841643366,0.9552,0.0916,0.08391488273466795,0.0999121762140547,0.0448,0.03940712743434635,0.05089178841643366,0.9552,0.0916,0.08391488273466795,0.0999121762140547,0.0448,0.03940712743434635,0.05089178841643366,0.9552
broad,2026072601,random_5x5_d4,broad:2026072601:random_5x5_d4,5000,1.0,0.000288,0.031856,0.0,0.03876,0.0,0.206416,977.021503509319,834.9740480833993,715.8010152665205,0.0892,0.08161156623219645,0.09741917768586247,0.0428,0.037531871295135404,0.04877011536342483,0.9572,0.0888,0.08122784547465063,0.09700351260496436,0.0424,0.037157211511963724,0.048345389308152555,0.9576,0.0886,0.0810360030775896,0.09679566208280341,0.0422,0.036969931969046375,0.04813297593184792,0.9578
broad,2026072601,random_5x5_d5,broad:2026072601:random_5x5_d5,5000,1.0,0.017632,1.6e-05,0.0,0.0,0.17132,0.0,378.68705041905747,346.35298163509987,309.9274943514633,0.1072,0.09892447485888445,0.1160786317891524,0.0538,0.0478817469838921,0.06040335023187688,0.9462,0.1066,0.0983460562167133,0.11545797167365762,0.0532,0.04731511889160377,0.05977089956649927,0.9468,0.1064,0.09815326877688091,0.11525106619426803,0.0522,0.04637122809422762,0.05871632576776554,0.9478
broad,2026072601,random_5x10_d0,broad:2026072601:random_5x10_d0,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9974.982148007086,9799.561077470024,9290.949362425024,0.0918,0.08410690139814984,0.10011985046979481,0.0458,0.040345934701495674,0.05195144574539421,0.9542,0.0918,0.08410690139814984,0.10011985046979481,0.0458,0.040345934701495674,0.05195144574539421,0.9542,0.0918,0.08410690139814984,0.10011985046979481,0.0458,0.040345934701495674,0.05195144574539421,0.9542
broad,2026072601,random_5x10_d1,broad:2026072601:random_5x10_d1,5000,1.0,0.0,4e-06,0.0,0.0,0.0,0.0,4975.088509155983,4564.3127188991975,4146.496114176525,0.0986,0.09064215265544256,0.10717415846604927,0.048,0.04241393141870799,0.054280071139623645,0.952,0.0986,0.09064215265544256,0.10717415846604927,0.048,0.04241393141870799,0.054280071139623645,0.952,0.0986,0.09064215265544256,0.10717415846604927,0.048,0.04241393141870799,0.054280071139623645,0.952
broad,2026072601,random_5x10_d2,broad:2026072601:random_5x10_d2,5000,1.0,0.003408,0.08023600000000002,0.0,0.077664,0.00296,0.15971999999999997,1831.877528523799,1746.0985121182223,1649.7048967192532,0.0956,0.0877573987451443,0.1040635185880179,0.0462,0.0407216699236964,0.05237509636163745,0.9538,0.0954,0.08756516763547541,0.10385605677846481,0.0462,0.0407216699236964,0.05237509636163745,0.9538,0.0954,0.08756516763547541,0.10385605677846481,0.046,0.040533787335377866,0.052163286030734,0.954
broad,2026072601,random_5x10_d3,broad:2026072601:random_5x10_d3,5000,1.0,0.00954,0.037820000000000006,0.01934,0.026827999999999998,0.07209600000000001,0.147596,19967.266784407137,19748.001423484413,18969.681786729412,0.0942,0.08641201089382725,0.10261105600478113,0.0458,0.040345934701495674,0.05195144574539421,0.9542,0.0942,0.08641201089382725,0.10261105600478113,0.0458,0.040345934701495674,0.05195144574539421,0.9542,0.0942,0.08641201089382725,0.10261105600478113,0.0458,0.040345934701495674,0.05195144574539421,0.9542
broad,2026072601,random_5x10_d4,broad:2026072601:random_5x10_d4,5000,1.0,0.000456,0.197424,0.0,0.23173200000000002,0.0014240000000000001,0.411408,2019.0078551019642,1767.884071359445,1483.5663840143259,0.0928,0.08506716616278633,0.10115805030126816,0.0462,0.0407216699236964,0.05237509636163745,0.9538,0.0926,0.08487509046113607,0.10095043308369646,0.046,0.040533787335377866,0.052163286030734,0.954,0.0924,0.0846830261007529,0.10074280452485768,0.046,0.040533787335377866,0.052163286030734,0.954
broad,2026072601,random_5x10_d5,broad:2026072601:random_5x10_d5,5000,1.0,0.05170399999999999,4e-06,4e-05,0.0,0.24105200000000004,0.0,723.5003485409082,674.4970453145061,629.5599068835252,0.1122,0.10374783964992389,0.1212475899786624,0.0576,0.05147527285124603,0.06440398982974052,0.9424,0.112,0.10355479737222283,0.12104093933714148,0.0574,0.05128593705566524,0.06419363270609932,0.9426,0.1118,0.10336176390622992,0.1208342798839124,0.0572,0.051096623167800594,0.063983253674742,0.9428
broad,2026072601,random_8x8_d0,broad:2026072601:random_8x8_d0,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12774.44385081282,12595.255867706981,12172.567268807994,0.0918,0.08410690139814984,0.10011985046979481,0.0428,0.037531871295135404,0.04877011536342483,0.9572,0.0918,0.08410690139814984,0.10011985046979481,0.0428,0.037531871295135404,0.04877011536342483,0.9572,0.0918,0.08410690139814984,0.10011985046979481,0.0428,0.037531871295135404,0.04877011536342483,0.9572
