configuration_id,anchor_configuration_id,configuration_label,n_p,n_q,mi_p,mi_q,mi_difference,minimum_expected_count,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high
CURVE_CURVE_C1_N0_n10_di0p01_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1100000000000001,0.01,1.3494388443628313,expanded_welch,Expanded Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p01_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1100000000000001,0.01,1.3494388443628313,normal_wald,Normal Wald,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p01_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1100000000000001,0.01,1.3494388443628313,simple_welch,Simple Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p02_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.11999999999999988,0.02,1.3004315750608673,bartlett_lr,Oracle Bartlett LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p02_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.11999999999999988,0.02,1.3004315750608673,constrained_lr,Constrained LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p02_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.11999999999999988,0.02,1.3004315750608673,empirical_lr,Oracle-calibrated LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p02_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.11999999999999988,0.02,1.3004315750608673,expanded_welch,Expanded Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p02_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.11999999999999988,0.02,1.3004315750608673,normal_wald,Normal Wald,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385
CURVE_CURVE_C1_N0_n10_di0p02_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.11999999999999988,0.02,1.3004315750608673,simple_welch,Simple Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p05_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.14999999999944302,0.05,1.1661388787059048,bartlett_lr,Oracle Bartlett LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p05_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.14999999999944302,0.05,1.1661388787059048,constrained_lr,Constrained LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p05_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.14999999999944302,0.05,1.1661388787059048,empirical_lr,Oracle-calibrated LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p05_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.14999999999944302,0.05,1.1661388787059048,expanded_welch,Expanded Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p05_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.14999999999944302,0.05,1.1661388787059048,normal_wald,Normal Wald,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385
CURVE_CURVE_C1_N0_n10_di0p05_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.14999999999944302,0.05,1.1661388787059048,simple_welch,Simple Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p1_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.19999999999999996,0.1,0.9741358138509235,bartlett_lr,Oracle Bartlett LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p1_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.19999999999999996,0.1,0.9741358138509235,constrained_lr,Constrained LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p1_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.19999999999999996,0.1,0.9741358138509235,empirical_lr,Oracle-calibrated LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
