anchor_configuration_id,mi_difference,method,rejection_rate_current_5000,rejection_rate_existing_50000,absolute_difference
C1_N6_n100,0.005,simple_welch,0.1,0.0824816496329926,0.0175183503670074
C1_N6_n200,0.0,expanded_welch,0.1,0.0344420665239914,0.0655579334760086
C1_N6_n200,0.0,normal_wald,0.2,0.13076,0.06924000000000002
C1_N6_n200,0.0,simple_welch,0.2,0.13002,0.06998000000000001
C1_N6_n200,1e-05,expanded_welch,0.0,0.0373214928597143,0.0373214928597143
C1_N6_n200,1e-05,normal_wald,0.1,0.13438,0.034379999999999994
C1_N6_n200,1e-05,simple_welch,0.1,0.13346,0.03345999999999999
C1_N6_n200,0.0001,expanded_welch,0.0,0.037102226133568,0.037102226133568
C1_N6_n200,0.0001,normal_wald,0.3,0.135222704454089,0.164777295545911
C1_N6_n200,0.0001,simple_welch,0.3,0.134282685653713,0.16571731434628698
C1_N6_n200,0.001,expanded_welch,0.1,0.0447,0.05530000000000001
C1_N6_n200,0.001,normal_wald,0.1,0.15378,0.053779999999999994
C1_N6_n200,0.001,simple_welch,0.1,0.1529,0.0529
C1_N6_n200,0.005,expanded_welch,0.0,0.0651813036260725,0.0651813036260725
C1_N6_n200,0.005,normal_wald,0.2,0.21882,0.018819999999999976
C1_N6_n200,0.005,simple_welch,0.2,0.21754,0.01754
C1_N7_n1000,0.0,expanded_welch,0.0,0.0,0.0
C1_N7_n1000,0.0,normal_wald,0.0,0.0025647190831129,0.0025647190831129
C1_N7_n1000,0.0,simple_welch,0.0,0.0025647190831129,0.0025647190831129
C1_N7_n1000,1e-05,expanded_welch,0.0,2.330133283623823e-05,2.330133283623823e-05
C1_N7_n1000,1e-05,normal_wald,0.0,0.0027048145699344,0.0027048145699344
C1_N7_n1000,1e-05,simple_welch,0.0,0.0027048145699344,0.0027048145699344
C1_N7_n1000,0.0001,expanded_welch,0.0,0.0,0.0
C1_N7_n1000,0.0001,normal_wald,0.0,0.0028849043373735,0.0028849043373735
C1_N7_n1000,0.0001,simple_welch,0.0,0.0028849043373735,0.0028849043373735
C1_N7_n1000,0.001,expanded_welch,0.0,0.000187270301271,0.000187270301271
C1_N7_n1000,0.001,normal_wald,0.0,0.0035862400577003,0.0035862400577003
C1_N7_n1000,0.001,simple_welch,0.0,0.0035862400577003,0.0035862400577003
C1_N7_n1000,0.005,expanded_welch,0.0,0.009231776006731,0.009231776006731
C1_N7_n1000,0.005,normal_wald,0.1,0.0314315477382907,0.06856845226170931
C1_N7_n1000,0.005,simple_welch,0.1,0.0314115148844104,0.0685884851155896
C2_N0_np20_nq200,0.0,expanded_welch,0.0,0.0566207849972951,0.0566207849972951
C2_N0_np20_nq200,0.0,normal_wald,0.3,0.16988,0.13011999999999999
C2_N0_np20_nq200,0.0,simple_welch,0.3,0.15852,0.14148
C2_N0_np20_nq200,1e-05,expanded_welch,0.0,0.0555065902808381,0.0555065902808381
C2_N0_np20_nq200,1e-05,normal_wald,0.2,0.16822,0.03178
C2_N0_np20_nq200,1e-05,simple_welch,0.1,0.15658,0.05657999999999999
C2_N0_np20_nq200,0.0001,expanded_welch,0.1,0.0537699008711324,0.04623009912886761
C2_N0_np20_nq200,0.0001,normal_wald,0.2,0.16802,0.03198000000000001
C2_N0_np20_nq200,0.0001,simple_welch,0.1,0.15758,0.05757999999999999
C2_N0_np20_nq200,0.001,expanded_welch,0.1,0.0547687253350427,0.045231274664957306
C2_N0_np20_nq200,0.001,normal_wald,0.2,0.16994,0.030060000000000003
C2_N0_np20_nq200,0.001,simple_welch,0.2,0.159,0.04100000000000001
C2_N0_np20_nq200,0.005,expanded_welch,0.1,0.0532598898347521,0.04674011016524791
C2_N0_np20_nq200,0.005,normal_wald,0.2,0.17104,0.028960000000000014
C2_N0_np20_nq200,0.005,simple_welch,0.2,0.16016,0.039840000000000014
C2_N0_np20_nq200,0.01,expanded_welch,0.1,0.0528635243685022,0.0471364756314978
C2_N0_np20_nq200,0.01,normal_wald,0.3,0.17758,0.12242
C2_N0_np20_nq200,0.01,simple_welch,0.3,0.16674,0.13326
C2_N0_np20_nq200,0.02,expanded_welch,0.0,0.0518059979566079,0.0518059979566079
C2_N0_np20_nq200,0.02,normal_wald,0.3,0.19124,0.10876
C2_N0_np20_nq200,0.02,simple_welch,0.3,0.17984,0.12015999999999999
C2_N0_np20_nq200,0.05,expanded_welch,0.1,0.0507208650380456,0.04927913496195441
C2_N0_np20_nq200,0.05,normal_wald,0.2,0.23192,0.031919999999999976
C2_N0_np20_nq200,0.05,simple_welch,0.2,0.21976,0.01976
C2_N0_np20_nq200,0.1,expanded_welch,0.1,0.0610716074111166,0.038928392588883406
C2_N0_np20_nq200,0.1,normal_wald,0.3,0.31618,0.016180000000000028
C2_N0_np20_nq200,0.1,simple_welch,0.3,0.3001,9.999999999998899e-05
C2_N0_np20_nq200,0.2,expanded_welch,0.2,0.2176542443478783,0.017654244347878295
C2_N0_np20_nq200,0.2,normal_wald,0.4,0.53006,0.13005999999999995
C2_N0_np20_nq200,0.2,simple_welch,0.4,0.5087,0.10870000000000002
C2_N0_np20_nq200,0.5,expanded_welch,1.0,0.9049586776859504,0.0950413223140496
C2_N0_np20_nq200,0.5,normal_wald,1.0,0.95866,0.04134000000000004
C2_N0_np20_nq200,0.5,simple_welch,1.0,0.9509,0.04910000000000003
C2_N3_np500_nq50,0.0,expanded_welch,0.1,0.0454052098408104,0.0545947901591896
C2_N3_np500_nq50,0.0,normal_wald,0.2,0.17036,0.02964
C2_N3_np500_nq50,0.0,simple_welch,0.2,0.167,0.033
C2_N3_np500_nq50,1e-05,expanded_welch,0.0,0.0462836480514262,0.0462836480514262
C2_N3_np500_nq50,1e-05,normal_wald,0.0,0.16928,0.16928
C2_N3_np500_nq50,1e-05,simple_welch,0.0,0.16568,0.16568
C2_N3_np500_nq50,0.0001,expanded_welch,0.0,0.0462036255476506,0.0462036255476506
C2_N3_np500_nq50,0.0001,normal_wald,0.0,0.16876,0.16876
C2_N3_np500_nq50,0.0001,simple_welch,0.0,0.16522,0.16522
C2_N3_np500_nq50,0.001,expanded_welch,0.0,0.0432379191123261,0.0432379191123261
C2_N3_np500_nq50,0.001,normal_wald,0.2,0.16398,0.036020000000000024
C2_N3_np500_nq50,0.001,simple_welch,0.2,0.16042,0.039580000000000004
C2_N3_np500_nq50,0.005,expanded_welch,0.0,0.0442332040434896,0.0442332040434896
C2_N3_np500_nq50,0.005,normal_wald,0.0,0.14936,0.14936
C2_N3_np500_nq50,0.005,simple_welch,0.0,0.14588,0.14588
C2_N3_np500_nq50,0.01,expanded_welch,0.0,0.0418141592920354,0.0418141592920354
C2_N3_np500_nq50,0.01,normal_wald,0.0,0.1364,0.1364
C2_N3_np500_nq50,0.01,simple_welch,0.0,0.13208,0.13208
C2_N3_np500_nq50,0.02,expanded_welch,0.1,0.0455495278280088,0.054450472171991206
C2_N3_np500_nq50,0.02,normal_wald,0.1,0.11608,0.016079999999999997
C2_N3_np500_nq50,0.02,simple_welch,0.1,0.11096,0.010959999999999998
C2_N3_np500_nq50,0.05,expanded_welch,0.1,0.0925739787713091,0.007426021228690904
C2_N3_np500_nq50,0.05,normal_wald,0.2,0.14432,0.05568000000000001
C2_N3_np500_nq50,0.05,simple_welch,0.2,0.13298,0.06702000000000002
C2_N3_np500_nq50,0.1,expanded_welch,0.4,0.2464880725094957,0.15351192749050432
C2_N3_np500_nq50,0.1,normal_wald,0.4,0.31954,0.08046000000000003
C2_N3_np500_nq50,0.1,simple_welch,0.4,0.2963,0.10370000000000001
C2_N5_np200_nq2000,0.0,expanded_welch,0.4,0.2061400783046423,0.19385992169535773
C2_N5_np200_nq2000,0.0,normal_wald,0.7,0.48904,0.21095999999999998
C2_N5_np200_nq2000,0.0,simple_welch,0.7,0.48894,0.21105999999999997
C2_N5_np200_nq2000,1e-05,expanded_welch,0.3,0.2081029018828062,0.09189709811719379
C2_N5_np200_nq2000,1e-05,normal_wald,0.5,0.49068,0.009319999999999995
C2_N5_np200_nq2000,1e-05,simple_welch,0.5,0.49058,0.009419999999999984
C2_N5_np200_nq2000,0.0001,expanded_welch,0.2,0.2180639549333112,0.0180639549333112
C2_N5_np200_nq2000,0.0001,normal_wald,0.8,0.49186,0.30814
C2_N5_np200_nq2000,0.0001,simple_welch,0.8,0.49182,0.30818000000000006
C2_N5_np200_nq2000,0.001,expanded_welch,0.2,0.2674601531773959,0.0674601531773959
C2_N5_np200_nq2000,0.001,normal_wald,0.3,0.48834,0.18834
C2_N5_np200_nq2000,0.001,simple_welch,0.3,0.48828,0.18828
C2_N5_np200_nq2000,0.005,expanded_welch,0.1,0.4163251790223105,0.3163251790223105
C2_N5_np200_nq2000,0.005,normal_wald,0.2,0.49098,0.29098
C2_N5_np200_nq2000,0.005,simple_welch,0.2,0.49094,0.29094
C2_N5_np200_nq2000,0.01,expanded_welch,0.6,0.4682337333913728,0.13176626660862717
C2_N5_np200_nq2000,0.01,normal_wald,0.6,0.50078,0.09921999999999997
C2_N5_np200_nq2000,0.01,simple_welch,0.6,0.50072,0.09927999999999992
C2_N5_np200_nq2000,0.02,expanded_welch,0.2,0.4816155931221419,0.2816155931221419
C2_N5_np200_nq2000,0.02,normal_wald,0.2,0.55108,0.35108
C2_N5_np200_nq2000,0.02,simple_welch,0.2,0.55046,0.35045999999999994
C3_C3_same_balanced_i0p005_n1000,0.0,expanded_welch,0.0,0.01404,0.01404
C3_C3_same_balanced_i0p005_n1000,0.0,normal_wald,0.0,0.02726,0.02726
C3_C3_same_balanced_i0p005_n1000,0.0,simple_welch,0.0,0.02718,0.02718
C3_C3_same_balanced_i0p005_n1000,1e-05,expanded_welch,0.1,0.0138602772055441,0.0861397227944559
C3_C3_same_balanced_i0p005_n1000,1e-05,normal_wald,0.2,0.02658,0.17342000000000002
C3_C3_same_balanced_i0p005_n1000,1e-05,simple_welch,0.2,0.0264,0.1736
C3_C3_same_balanced_i0p005_n1000,0.0001,expanded_welch,0.0,0.01404,0.01404
C3_C3_same_balanced_i0p005_n1000,0.0001,normal_wald,0.0,0.02716,0.02716
C3_C3_same_balanced_i0p005_n1000,0.0001,simple_welch,0.0,0.02702,0.02702
C3_C3_same_balanced_i0p005_n1000,0.001,expanded_welch,0.1,0.01856,0.08144000000000001
C3_C3_same_balanced_i0p005_n1000,0.001,normal_wald,0.1,0.03324,0.06676000000000001
C3_C3_same_balanced_i0p005_n1000,0.001,simple_welch,0.1,0.033,0.067
C3_C3_same_balanced_i0p005_n1000,0.005,expanded_welch,0.0,0.08502,0.08502
C3_C3_same_balanced_i0p005_n1000,0.005,normal_wald,0.1,0.11832,0.01831999999999999
C3_C3_same_balanced_i0p005_n1000,0.005,simple_welch,0.1,0.1179,0.0179
C3_C3_same_balanced_i0p005_n1000,0.01,expanded_welch,0.2,0.28598,0.08598
C3_C3_same_balanced_i0p005_n1000,0.01,normal_wald,0.3,0.3388,0.0388
C3_C3_same_balanced_i0p005_n1000,0.01,simple_welch,0.3,0.33786,0.037860000000000005
C3_C3_same_balanced_i0p005_n1000,0.02,expanded_welch,0.7,0.7396947938958779,0.03969479389587793
C3_C3_same_balanced_i0p005_n1000,0.02,normal_wald,0.9,0.77102,0.12897999999999998
C3_C3_same_balanced_i0p005_n1000,0.02,simple_welch,0.9,0.7706,0.12940000000000007
C3_C3_same_balanced_i0p005_n1000,0.05,expanded_welch,1.0,0.99944,0.0005600000000000049
C3_C3_same_balanced_i0p005_n1000,0.05,normal_wald,1.0,0.99956,0.00043999999999999595
C3_C3_same_balanced_i0p005_n1000,0.05,simple_welch,1.0,0.99956,0.00043999999999999595
C3_C3_same_balanced_i0p005_n1000,0.1,expanded_welch,1.0,1.0,0.0
C3_C3_same_balanced_i0p005_n1000,0.1,normal_wald,1.0,1.0,0.0
C3_C3_same_balanced_i0p005_n1000,0.1,simple_welch,1.0,1.0,0.0
C3_C3_same_balanced_i0p005_n1000,0.2,expanded_welch,1.0,1.0,0.0
C3_C3_same_balanced_i0p005_n1000,0.2,normal_wald,1.0,1.0,0.0
C3_C3_same_balanced_i0p005_n1000,0.2,simple_welch,1.0,1.0,0.0
C3_C3_same_balanced_i0p005_n1000,0.5,expanded_welch,1.0,1.0,0.0
C3_C3_same_balanced_i0p005_n1000,0.5,normal_wald,1.0,1.0,0.0
C3_C3_same_balanced_i0p005_n1000,0.5,simple_welch,1.0,1.0,0.0
C4_C4_s0p05_i0p0001_n500,0.0,expanded_welch,0.0,0.01744,0.01744
C4_C4_s0p05_i0p0001_n500,0.0,normal_wald,0.3,0.12218,0.17781999999999998
C4_C4_s0p05_i0p0001_n500,0.0,simple_welch,0.3,0.12194,0.17806
C4_C4_s0p05_i0p0001_n500,1e-05,expanded_welch,0.0,0.0169803396067921,0.0169803396067921
C4_C4_s0p05_i0p0001_n500,1e-05,normal_wald,0.0,0.1205624112482249,0.1205624112482249
C4_C4_s0p05_i0p0001_n500,1e-05,simple_welch,0.0,0.1204224084481689,0.1204224084481689
C4_C4_s0p05_i0p0001_n500,0.0001,expanded_welch,0.0,0.01522,0.01522
C4_C4_s0p05_i0p0001_n500,0.0001,normal_wald,0.2,0.1102,0.0898
C4_C4_s0p05_i0p0001_n500,0.0001,simple_welch,0.2,0.11002,0.08998
C4_C4_s0p05_i0p0001_n500,0.001,expanded_welch,0.0,0.00872,0.00872
C4_C4_s0p05_i0p0001_n500,0.001,normal_wald,0.0,0.0668,0.0668
C4_C4_s0p05_i0p0001_n500,0.001,simple_welch,0.0,0.0666,0.0666
C4_C4_s0p05_i0p0001_n500,0.005,expanded_welch,0.0,0.005060101202024,0.005060101202024
