p_X,p_Y,ratio,N,lam,mu,sigma2,nu,a
0.3,0.3,1.0,20,1.7999999999999998,1.2219944625301724,2.6613047571921373,1.1222092940831847,1.0889185011860996
0.3,0.3,1.0,30,2.6999999999999997,1.160841230223532,2.8430731427030422,0.9479547617306127,1.2245745019564729
0.3,0.3,1.0,50,4.5,1.0413506561433565,2.357583546871448,0.9199344731508927,1.1319835124523576
0.3,0.3,1.0,75,6.75,0.9861536048497926,1.825969424641413,1.0651864365683144,0.9258037569712774
0.3,0.3,1.0,100,9.0,1.0551403729440254,2.228504023838957,0.9991646366413842,1.0560225354760346
0.3,0.3,1.0,150,13.5,1.0017993319791625,1.992076100493102,1.0075939381085621,0.9942490661066529
0.3,0.3,1.0,200,18.0,1.0198681908884921,2.0242562998873317,1.0276674221975335,0.9924107438451597
0.3,0.3,1.0,300,27.0,1.0150729040402602,2.2466723278149923,0.9172436832555992,1.106655649497016
0.3,0.3,1.0,500,45.0,1.0045639872160215,2.0089817293111336,1.0046371150994802,0.999927209653755
0.3,0.3,1.0,750,67.5,1.0129220861337698,2.1828287849944514,0.9400747870201795,1.0774909614845638
0.3,0.3,1.0,1000,90.0,1.023274648617295,2.3227510665952935,0.9015955446639252,1.134959744059878
0.5,0.02,25.0,10,0.1,0.27806222659253754,0.4735142041383277,0.3265735269686339,0.8514536654994828
0.5,0.02,25.0,20,0.2,0.43829560636276094,0.5580411809811162,0.6884905455154964,0.6366036675704734
0.5,0.02,25.0,30,0.3,0.6350776327493933,0.826435262614352,0.9760561240881619,0.6506568803537676
0.5,0.02,25.0,50,0.5,0.8722579332989884,1.0520932251376987,1.4463241165790115,0.6030860740690261
0.5,0.02,25.0,75,0.75,1.0790109518750546,1.4488450042016632,1.6071624375139284,0.6713764126693655
0.5,0.02,25.0,100,1.0,1.1311967363695705,1.5860314714781978,1.6135947859604092,0.7010413929270873
0.5,0.02,25.0,150,1.5,1.2806880441733703,2.27034491928894,1.444856992920972,0.8863770258565783
0.5,0.02,25.0,200,2.0,1.1517294160116025,2.1793775689447497,1.2173022853939957,0.9461326326507556
0.5,0.02,25.0,300,3.0,1.1583456103144159,2.8194435168487284,0.9517938876352146,1.2170130795779646
0.5,0.02,25.0,500,5.0,1.083630170923378,2.5782580273077653,0.9108897052957836,1.1896392775363536
0.5,0.02,25.0,750,7.5,1.0896926686656325,2.432567283933035,0.9762773017515565,1.116171262724838
0.5,0.02,25.0,1000,10.0,1.044676356618421,2.0605573871945677,1.0592752202484403,0.9862180636807539
0.5,0.05,10.0,10,0.25,0.5421311750489151,0.8322964456100878,0.706253673219712,0.7676153705189448
0.5,0.05,10.0,20,0.5,0.8909671397471772,1.1883083033879211,1.3360546953110435,0.6668642705078428
0.5,0.05,10.0,30,0.75,1.0604835764759348,1.4475607581602157,1.55382136416096,0.6825003188500885
0.5,0.05,10.0,50,1.25,1.2259514042128503,2.0088463579206204,1.496338273522508,0.8193009735204168
0.5,0.05,10.0,75,1.875,1.2562878809644222,2.5436217493858932,1.2409543519897308,1.0123562393331438
0.5,0.05,10.0,100,2.5,1.179734343565713,2.4605071447503644,1.1312896403148864,1.04282254652075
0.5,0.05,10.0,150,3.75,1.171035879794386,2.872402497702386,0.9548279065087325,1.2264365880090415
