scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,correction,valid_replicates,mean_delta_error,mean_standard_error,standardized_mean_bias,empirical_delta_sd,sd_to_mean_se_ratio
fixed_2x5_d0,well_sampled,Well sampled,variant_1,2,5,200,200,0.1,5.59716154223284,1.0,3229974002,10000,jackknife,10000,0.00015840796196668237,0.04189794057601786,0.0037808054474485118,0.042019915158173916,1.0029112309693302
fixed_2x5_d1,well_sampled,Well sampled,variant_2,2,5,200,200,0.15,1.3847868515359931,1.0,606157434,10000,analytic,10000,0.0005028909582057267,0.045858995908731826,0.010966026364959578,0.04748798716886849,1.0355217384911495
fixed_2x5_d1,well_sampled,Well sampled,variant_2,2,5,200,200,0.15,1.3847868515359931,1.0,606157434,10000,jackknife,10000,0.000519336694111556,0.045858995908731826,0.011324641628550599,0.047671143488187046,1.0395156401387797
fixed_2x5_d2,moderate,Moderate,variant_1,2,5,100,100,0.1,1.7019950912172586,1.0,2674302760,10000,analytic,10000,5.5042840963234264e-05,0.057178405033619595,0.0009626508632213566,0.05968075656060083,1.0437639267046694
fixed_2x5_d2,moderate,Moderate,variant_1,2,5,100,100,0.1,1.7019950912172586,1.0,2674302760,10000,jackknife,10000,0.0004040718982710743,0.057178405033619595,0.007066862009065997,0.060694796320672866,1.061498589983154
fixed_2x5_d3,moderate,Moderate,variant_2,2,5,100,200,0.15,0.5275530243664044,2.0,3380239290,10000,analytic,10000,0.002361445602759973,0.05654191884727444,0.04176451119634764,0.05995056329207146,1.0602852629392385
fixed_2x5_d3,moderate,Moderate,variant_2,2,5,100,200,0.15,0.5275530243664044,2.0,3380239290,10000,jackknife,10000,-0.0020940840597342167,0.05654191884727444,-0.03703595672779613,0.06104107137961156,1.0795719817095313
stress_2x5_d4,highly_sparse,Highly skewed and sparse,variant_1,2,5,190,190,0.1,1.5754317995929568,1.0,65349617,10000,analytic,10000,0.0002071304851694437,0.04318609423885238,0.004796231028067797,0.044746550398036294,1.0361333013945042
stress_2x5_d4,highly_sparse,Highly skewed and sparse,variant_1,2,5,190,190,0.1,1.5754317995929568,1.0,65349617,10000,jackknife,10000,-0.00046267823068647936,0.04318609423885238,-0.010713592855318478,0.04486137016683031,1.0387920222354994
stress_2x5_d5,highly_sparse,Highly skewed and sparse,variant_2,2,5,158,316,0.15,1.6323753987114964,2.0,796464720,10000,analytic,10000,-0.0003215994467789538,0.04651822851630655,-0.006913407002724104,0.047387702339838335,1.0186910347032454
stress_2x5_d5,highly_sparse,Highly skewed and sparse,variant_2,2,5,158,316,0.15,1.6323753987114964,2.0,796464720,10000,jackknife,10000,-0.0012544546586134007,0.04651822851630655,-0.026966948196956015,0.04722700043739581,1.0152364340538207
stress_2x5_d6,ultra_sparse,Ultra-skewed and sparse,variant_1,2,5,121,121,0.1,0.1293821646669526,1.0,478364860,10000,analytic,10000,0.004144167977128261,0.04999311288379074,0.08289477766190319,0.05171771316900996,1.0344967573679211
stress_2x5_d6,ultra_sparse,Ultra-skewed and sparse,variant_1,2,5,121,121,0.1,0.1293821646669526,1.0,478364860,10000,jackknife,10000,-0.0031387093193956063,0.04999311288379074,-0.06278283424141948,0.05330109007713584,1.0661686580916558
stress_2x5_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,2,5,69,690,0.15,0.6322646655038371,10.0,1317290562,10000,analytic,10000,0.0022341144312308147,0.058493566376303784,0.03819419073985327,0.06410055996466035,1.0958565862147194
stress_2x5_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,2,5,69,690,0.15,0.6322646655038371,10.0,1317290562,10000,jackknife,10000,-0.0025022183744849644,0.058493566376303784,-0.04277766820350064,0.06694970671569006,1.1445653062934444
adversarial_2x5_d8,widespread_sparse,Widespread sparsity,variant_1,2,5,50,50,0.1,3.3269189961295373e-06,1.0,4095152891,10000,analytic,10000,-0.018762137391534147,0.0758398313838924,-0.24739160213268924,0.082721945071414,1.0907453716858249
adversarial_2x5_d8,widespread_sparse,Widespread sparsity,variant_1,2,5,50,50,0.1,3.3269189961295373e-06,1.0,4095152891,10000,jackknife,10000,-0.004293436351480149,0.0758398313838924,-0.056611892103863914,0.08931629624993061,1.17769639805529
adversarial_2x5_d9,widespread_sparse,Widespread sparsity,variant_2,2,5,50,100,0.15,1.0927821175276223e-06,2.0,3564677104,10000,analytic,9968,-0.02646468982633723,0.07831527701158049,-0.3379249979850533,0.07938377954005432,1.013643602745807
adversarial_2x5_d9,widespread_sparse,Widespread sparsity,variant_2,2,5,50,100,0.15,1.0927821175276223e-06,2.0,3564677104,10000,jackknife,9968,0.0021044440283480145,0.07831527701158049,0.026871436948844987,0.07950992608701331,1.015254355484897
fixed_3x3_d0,well_sampled,Well sampled,variant_1,3,3,200,200,0.1,6.111441822900321,1.0,3875519215,10000,analytic,10000,-0.0002719984485230226,0.043538017813159934,-0.006247377859283422,0.043894353976228144,1.0081844829178352
fixed_3x3_d0,well_sampled,Well sampled,variant_1,3,3,200,200,0.1,6.111441822900321,1.0,3875519215,10000,jackknife,10000,-0.00021463057872359313,0.043538017813159934,-0.0049297278448611,0.043796943891208,1.005947126007418
