scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,absolute_fpr_error_10,fpr_05,absolute_fpr_error_05,fpr_01,absolute_fpr_error_01
stress_2x2_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,51,510,0.15,0.0730870541020675,10.0,3227718042,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1844,0.0844,0.1134,0.0634,0.0389,0.028899999999999995
stress_2x2_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,51,510,0.15,0.0730870541020675,10.0,3227718042,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1773,0.07730000000000001,0.1066,0.0566,0.0341,0.024099999999999996
stress_2x2_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,51,510,0.15,0.0730870541020675,10.0,3227718042,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1547,0.0547,0.0771,0.0271,0.0094,0.0005999999999999998
adversarial_2x2_d8,widespread_sparse,Widespread sparsity,variant_1,2,2,50,50,0.1,0.0423942043693962,1.0,1814125591,10000,analytic_normal,Analytic correction + Normal Wald,7429,0.7429,0.05263157894736842,0.04736842105263159,0.02207564948176067,0.027924350518239334,0.00376901332615426,0.0062309866738457405
adversarial_2x2_d8,widespread_sparse,Widespread sparsity,variant_1,2,2,50,50,0.1,0.0423942043693962,1.0,1814125591,10000,analytic_simple,Analytic correction + Simple Welch,7429,0.7429,0.04899717324000538,0.051002826759994624,0.020729573293848433,0.02927042670615157,0.002961367613406919,0.007038632386593082
adversarial_2x2_d8,widespread_sparse,Widespread sparsity,variant_1,2,2,50,50,0.1,0.0423942043693962,1.0,1814125591,10000,analytic_expanded,Analytic correction + Expanded Welch,7429,0.7429,0.04428590658231256,0.055714093417687446,0.017498990442859064,0.03250100955714094,0.0024229371382420246,0.007577062861757976
adversarial_2x2_d8,widespread_sparse,Widespread sparsity,variant_1,2,2,50,50,0.1,0.0423942043693962,1.0,1814125591,10000,jackknife_normal,Jackknife correction + Normal Wald,7429,0.7429,0.05532373132319289,0.044676268676807115,0.025037017095167587,0.024962982904832415,0.0043074438013191545,0.005692556198680846
adversarial_2x2_d8,widespread_sparse,Widespread sparsity,variant_1,2,2,50,50,0.1,0.0423942043693962,1.0,1814125591,10000,jackknife_simple,Jackknife correction + Simple Welch,7429,0.7429,0.04886256562121416,0.051137434378785845,0.02328711805088168,0.026712881949118323,0.004038228563736707,0.005961771436263293
adversarial_2x2_d8,widespread_sparse,Widespread sparsity,variant_1,2,2,50,50,0.1,0.0423942043693962,1.0,1814125591,10000,jackknife_expanded,Jackknife correction + Expanded Welch,7429,0.7429,0.0473818818145107,0.0526181181854893,0.02032575043747476,0.02967424956252524,0.003634405707363037,0.006365594292636964
adversarial_2x2_d9,widespread_sparse,Widespread sparsity,variant_2,2,2,50,100,0.15,0.3115180759622168,2.0,3974158138,10000,analytic_normal,Analytic correction + Normal Wald,9541,0.9541,0.11550151975683891,0.015501519756838902,0.06561157111413898,0.01561157111413898,0.02169583901058589,0.011695839010585891
