configuration_id,alpha,chi_squared_threshold,bartlett_scale,bartlett_threshold,empirical_threshold,development_valid_count
LR_C4_C4_s0p05_i0p0001_n500_scale2,0.05,3.8414588206941205,0.4702148704941922,1.8063110618814582,2.008551845473221,5000
LR_C4_C4_s0p05_i0p0001_n500_scale2,0.1,2.705543454095418,0.4702148704941922,1.2721867648838865,1.3499923155841316,5000
LR_C4_C4_s0p1_i0p0001_n100_scale0.5,0.01,6.634896601021215,0.43599540069480447,2.892784402130841,2.894753227889396,5000
LR_C4_C4_s0p1_i0p0001_n100_scale0.5,0.05,3.8414588206941205,0.43599540069480447,1.6748583777811241,1.7146272744869009,5000
LR_C4_C4_s0p1_i0p0001_n100_scale0.5,0.1,2.705543454095418,0.43599540069480447,1.1796045023655373,1.1155617146173142,5000
LR_C4_C4_s0p1_i0p0001_n100_scale1,0.01,6.634896601021215,0.4432209173932382,2.940724958313901,2.5809343063293113,5000
LR_C4_C4_s0p1_i0p0001_n100_scale1,0.05,3.8414588206941205,0.4432209173932382,1.702614902636395,1.544818640378736,5000
LR_C4_C4_s0p1_i0p0001_n100_scale1,0.1,2.705543454095418,0.4432209173932382,1.1991534517714417,1.1757113714076013,5000
LR_C4_C4_s0p1_i0p0001_n100_scale2,0.01,6.634896601021215,0.4868496126422786,3.2301968401287495,3.0012573274208307,5000
LR_C4_C4_s0p1_i0p0001_n100_scale2,0.05,3.8414588206941205,0.4868496126422786,1.8702127388361969,1.9445083129502336,5000
LR_C4_C4_s0p1_i0p0001_n100_scale2,0.1,2.705543454095418,0.4868496126422786,1.3171927826132068,1.414132511778348,5000
