cohort,ratio,rule,rule_label,configurations,mean_valid_rate,mean_expanded_route_rate,mean_selection_score,mean_fpr_05,mean_absolute_error_05,median_absolute_error_05,p90_absolute_error_05,maximum_absolute_error_05,mean_fpr_01,mean_absolute_error_01,median_absolute_error_01,p90_absolute_error_01,maximum_absolute_error_01
development,10,ratio_ge_10,Expanded if ratio >= 10,216,1.0,0.9893333333333333,1.8302314814814817,0.0869675925925926,0.04239043209876544,0.005333333333333336,0.07366666666666666,0.9183333333333333,0.03617283950617284,0.028126543209876547,0.002,0.034999999999999996,0.8733333333333333
development,10,ratio_ge_4_margin_ge_1,Ratio >= 4 and minimum margin >= 1,216,1.0,0.8332638888888889,2.108024691358025,0.09266203703703704,0.04690586419753086,0.005500000000000001,0.10483333333333333,0.9196666666666666,0.041180555555555554,0.03277932098765432,0.002,0.06416666666666668,0.8823333333333333
development,10,ratio_ge_4_margin_ge_2,Ratio >= 4 and minimum margin >= 2,216,1.0,0.7669876543209876,2.189953703703704,0.0949320987654321,0.04901851851851852,0.005500000000000001,0.12183333333333335,0.9199999999999999,0.04240586419753086,0.03399537037037036,0.002,0.07166666666666667,0.8823333333333333
development,10,ratio_ge_4_margin_ge_5,Ratio >= 4 and minimum margin >= 5,216,1.0,0.683891975308642,2.251311728395062,0.0966358024691358,0.05058641975308641,0.005833333333333333,0.1335,0.9199999999999999,0.04341512345679012,0.03490895061728395,0.002,0.07400000000000001,0.8823333333333333
development,10,ratio_ge_4_small_share_ge_50,Ratio >= 4 and smaller-sample share >= 0.50,216,1.0,0.9861003086419754,1.87783950617284,0.08829320987654322,0.04337037037037037,0.005333333333333332,0.07366666666666666,0.9183333333333333,0.037070987654320986,0.02888271604938272,0.002,0.041166666666666664,0.8733333333333333
development,10,ratio_ge_4_small_share_ge_60,Ratio >= 4 and smaller-sample share >= 0.60,216,1.0,0.9852283950617284,1.903287037037037,0.08873765432098765,0.043592592592592586,0.005333333333333332,0.07366666666666666,0.9183333333333333,0.03764043209876543,0.02934722222222222,0.002,0.045,0.8733333333333333
development,10,ratio_ge_4_small_share_ge_70,Ratio >= 4 and smaller-sample share >= 0.70,216,1.0,0.9830632716049381,1.9447222222222222,0.08970987654320987,0.04413271604938272,0.005333333333333336,0.07383333333333333,0.9183333333333333,0.038592592592592595,0.0300679012345679,0.002,0.05216666666666667,0.8733333333333333
development,10,ratio_ge_4_margin_ge_2_share_ge_50,"Ratio >= 4, minimum margin >= 2, and smaller-sample share >= 0.50",216,1.0,0.7663117283950618,2.2022839506172835,0.09521913580246916,0.04930246913580247,0.005500000000000001,0.12183333333333335,0.9199999999999999,0.0426604938271605,0.03418518518518518,0.002,0.07200000000000001,0.8823333333333333
development,20,normal,Always Normal Wald,216,1.0,0.0,2.675694444444445,0.10315586419753087,0.055408950617283945,0.0075,0.1358333333333333,0.9279999999999999,0.0517283950617284,0.042432098765432094,0.004,0.09083333333333335,0.896
development,20,expanded_no_fallback,Always Expanded Welch,216,0.9894861111111112,1.0,1.5115018603976427,0.07956588561434358,0.03716908647413053,0.005833333333333333,0.044,0.9263333333333333,0.030264735059190737,0.02279621991312675,0.002333333333333333,0.020166666666666666,0.89
development,20,expanded_fallback,Expanded with Wald fallback,216,1.0,0.9894861111111112,2.0658487654320985,0.08867438271604938,0.04476388888888888,0.005666666666666667,0.07433333333333333,0.9263333333333333,0.03997222222222222,0.0323641975308642,0.002333333333333333,0.03833333333333333,0.89
development,20,ratio_ge_2,Expanded if ratio >= 2,216,1.0,0.9894861111111112,2.0658487654320985,0.08867438271604938,0.04476388888888888,0.005666666666666667,0.07433333333333333,0.9263333333333333,0.03997222222222222,0.0323641975308642,0.002333333333333333,0.03833333333333333,0.89
development,20,ratio_ge_3,Expanded if ratio >= 3,216,1.0,0.9894861111111112,2.0658487654320985,0.08867438271604938,0.04476388888888888,0.005666666666666667,0.07433333333333333,0.9263333333333333,0.03997222222222222,0.0323641975308642,0.002333333333333333,0.03833333333333333,0.89
development,20,ratio_ge_4,Expanded if ratio >= 4,216,1.0,0.9894861111111112,2.0658487654320985,0.08867438271604938,0.04476388888888888,0.005666666666666667,0.07433333333333333,0.9263333333333333,0.03997222222222222,0.0323641975308642,0.002333333333333333,0.03833333333333333,0.89
development,20,ratio_ge_6,Expanded if ratio >= 6,216,1.0,0.9894861111111112,2.0658487654320985,0.08867438271604938,0.04476388888888888,0.005666666666666667,0.07433333333333333,0.9263333333333333,0.03997222222222222,0.0323641975308642,0.002333333333333333,0.03833333333333333,0.89
development,20,ratio_ge_10,Expanded if ratio >= 10,216,1.0,0.9894861111111112,2.0658487654320985,0.08867438271604938,0.04476388888888888,0.005666666666666667,0.07433333333333333,0.9263333333333333,0.03997222222222222,0.0323641975308642,0.002333333333333333,0.03833333333333333,0.89
