cohort,domain,candidate,reference,metric,population_clusters,mean_paired_difference,ci95_low,ci95_high,candidate_better_fraction,tied_fraction
holdout,regular_support,ratio_ge_4,normal,absolute_error_01,84,-0.0013308913308913307,-0.0018941239316239318,-0.0008455357142857141,0.2893772893772894,0.6217948717948718
holdout,regular_support,ratio_ge_2,normal,selection_score,84,-0.09876984126984127,-0.14131242368742364,-0.06089354395604397,0.4633699633699634,0.32967032967032966
holdout,regular_support,ratio_ge_2,normal,absolute_error_05,84,-0.0018748473748473739,-0.0027906288156288148,-0.0010772130647130644,0.42857142857142855,0.3553113553113553
holdout,regular_support,ratio_ge_2,normal,absolute_error_01,84,-0.0016004273504273503,-0.002290918803418803,-0.0010009081196581196,0.4065934065934066,0.45146520146520147
holdout,regular_support,ratio_ge_2,ratio_ge_4,selection_score,84,-0.016596459096459095,-0.024789529914529918,-0.009438339438339436,0.1346153846153846,0.782967032967033
holdout,regular_support,ratio_ge_2,ratio_ge_4,absolute_error_05,84,-0.0003119658119658119,-0.0005131257631257631,-0.00013644688644688646,0.12912087912087913,0.7884615384615384
holdout,regular_support,ratio_ge_2,ratio_ge_4,absolute_error_01,84,-0.0002695360195360196,-0.0003992673992673993,-0.0001556700244200245,0.11721611721611722,0.8296703296703297
holdout,regular_support,expanded_fallback,ratio_ge_2,selection_score,84,-0.0018803418803418797,-0.0036478174603174576,-0.00027777777777777756,0.031135531135531136,0.9459706959706959
holdout,regular_support,expanded_fallback,ratio_ge_2,absolute_error_05,84,-3.998778998778993e-05,-9.462759462759459e-05,8.852258852258881e-06,0.027472527472527472,0.9496336996336996
holdout,regular_support,expanded_fallback,ratio_ge_2,absolute_error_01,84,-2.960927960927961e-05,-5.616605616605616e-05,-6.410256410256415e-06,0.024725274725274724,0.9597069597069597
