cohort,regime,regime_label,rule,rule_label,configurations,mean_valid_rate,mean_expanded_route_rate,mean_selection_score,mean_fpr_05,mean_absolute_error_05,median_absolute_error_05,p90_absolute_error_05,maximum_absolute_error_05,mean_fpr_01,mean_absolute_error_01,median_absolute_error_01,p90_absolute_error_01,maximum_absolute_error_01
holdout,sparse_imbalanced,Sparse and imbalanced,ratio_ge_3,Expanded if ratio >= 3,156,1.0,0.7692307692307693,0.2041239316239316,0.05577136752136752,0.006694444444444443,0.005666666666666667,0.015,0.028999999999999998,0.012012820512820514,0.0027435897435897434,0.002333333333333333,0.005666666666666665,0.014333333333333332
holdout,sparse_imbalanced,Sparse and imbalanced,ratio_ge_4,Expanded if ratio >= 4,156,1.0,0.6153846153846154,0.2161324786324786,0.05613034188034188,0.0069978632478632456,0.005999999999999998,0.015666666666666662,0.028999999999999998,0.012235042735042735,0.0029230769230769228,0.002333333333333333,0.006166666666666666,0.014333333333333332
holdout,sparse_imbalanced,Sparse and imbalanced,ratio_ge_6,Expanded if ratio >= 6,156,1.0,0.46153846153846156,0.23034188034188033,0.05651923076923077,0.007361111111111109,0.006000000000000002,0.016,0.03166666666666666,0.012493589743589743,0.0031346153846153846,0.002333333333333334,0.006499999999999999,0.014333333333333332
holdout,sparse_imbalanced,Sparse and imbalanced,ratio_ge_10,Expanded if ratio >= 10,156,1.0,0.3076923076923077,0.25190170940170936,0.057038461538461545,0.007850427350427349,0.006499999999999999,0.016,0.03266666666666666,0.01286965811965812,0.003467948717948718,0.002666666666666666,0.007000000000000001,0.019000000000000003
holdout,sparse_imbalanced,Sparse and imbalanced,ratio_ge_4_margin_ge_1,Ratio >= 4 and minimum margin >= 1,156,1.0,0.6118995726495726,0.2167094017094017,0.056134615384615394,0.007002136752136751,0.005999999999999998,0.015666666666666662,0.028999999999999998,0.012245726495726496,0.0029337606837606836,0.002333333333333333,0.006166666666666666,0.014333333333333332
holdout,sparse_imbalanced,Sparse and imbalanced,ratio_ge_4_margin_ge_2,Ratio >= 4 and minimum margin >= 2,156,1.0,0.6035384615384616,0.2177991452991453,0.05615811965811966,0.007025641025641025,0.005999999999999998,0.015666666666666662,0.028999999999999998,0.012262820512820512,0.0029508547008547004,0.0023333333333333335,0.006166666666666666,0.014333333333333332
holdout,sparse_imbalanced,Sparse and imbalanced,ratio_ge_4_margin_ge_5,Ratio >= 4 and minimum margin >= 5,156,1.0,0.5665256410256411,0.22230769230769232,0.056275641025641025,0.007134615384615383,0.006000000000000002,0.015666666666666662,0.03066666666666666,0.012335470085470085,0.0030192307692307693,0.0023333333333333335,0.006166666666666666,0.01566666666666667
holdout,sparse_imbalanced,Sparse and imbalanced,ratio_ge_4_small_share_ge_50,Ratio >= 4 and smaller-sample share >= 0.50,156,1.0,0.6153675213675214,0.2161324786324786,0.05613034188034188,0.0069978632478632456,0.005999999999999998,0.015666666666666662,0.028999999999999998,0.012235042735042735,0.0029230769230769228,0.002333333333333333,0.006166666666666666,0.014333333333333332
holdout,sparse_imbalanced,Sparse and imbalanced,ratio_ge_4_small_share_ge_60,Ratio >= 4 and smaller-sample share >= 0.60,156,1.0,0.6151858974358974,0.21677350427350425,0.05613034188034188,0.0069978632478632456,0.005999999999999998,0.015666666666666662,0.028999999999999998,0.012247863247863248,0.002935897435897435,0.002333333333333333,0.0063333333333333314,0.014333333333333332
holdout,sparse_imbalanced,Sparse and imbalanced,ratio_ge_4_small_share_ge_70,Ratio >= 4 and smaller-sample share >= 0.70,156,1.0,0.610267094017094,0.22391025641025641,0.056260683760683765,0.0071025641025641,0.005999999999999998,0.015666666666666662,0.02966666666666666,0.012382478632478633,0.0030576923076923077,0.002333333333333334,0.0063333333333333314,0.014666666666666666
holdout,sparse_imbalanced,Sparse and imbalanced,ratio_ge_4_margin_ge_2_share_ge_50,"Ratio >= 4, minimum margin >= 2, and smaller-sample share >= 0.50",156,1.0,0.6035213675213675,0.2177991452991453,0.05615811965811966,0.007025641025641025,0.005999999999999998,0.015666666666666662,0.028999999999999998,0.012262820512820512,0.0029508547008547004,0.0023333333333333335,0.006166666666666666,0.014333333333333332
