k,shape,n,nu0,A_nu,A_a,r2_nu,r2_a,H,H_norm,perp,perp_n,simpson,simpson_n,k_min_p,log_k_min_p
8,one_rare_0.2,11,49,0.010945409124042503,0.004027789355772049,0.002864631114124938,0.12663253178953582,2.9058319805028345,0.9686106601676115,7.494498698040196,0.9368123372550246,7.329842931937173,0.9162303664921466,0.2,-1.6094379124341003
9,one_rare_0.2,11,64,0.11646233403488547,0.0012640089217537274,0.11748900807592266,0.045511479057315674,3.0870755136620947,0.973863896545653,8.497718268588823,0.9441909187320915,8.333333333333334,0.925925925925926,0.2,-1.6094379124341003
10,one_rare_0.2,12,81,-0.003326758228474944,0.0025272480904215923,-0.009962696297153517,0.3563915799041213,3.2479670439552866,0.9777355051586137,9.500260307962215,0.9500260307962215,9.336099585062241,0.9336099585062241,0.2,-1.6094379124341003
11,one_rare_0.2,10,100,-0.07364159999769931,0.002621581832330894,0.11717367417680224,0.49168543167703405,3.3926359318353914,0.980691716395823,10.502318379282276,0.9547562162983887,10.338345864661656,0.9398496240601506,0.20000000000000004,-1.6094379124341003
12,one_rare_0.2,12,121,0.0859332840615039,0.0010116171419668463,-0.007912315076819443,0.0790234746435613,3.5240660220627174,0.983013356863234,11.50401870921411,0.9586682257678425,11.340206185567013,0.9450171821305844,0.2,-1.6094379124341003
13,one_rare_0.2,10,144,-0.13729542879178133,0.002338728549175124,-0.3954848311197179,-0.40854622949614017,3.644484736815439,0.9848788291155404,12.505447131619038,0.9619574716630029,12.341772151898732,0.9493670886075948,0.2,-1.6094379124341003
14,one_rare_0.2,11,169,-0.007735798218701669,0.0012298419359967965,-0.021802060547182034,0.06308470929279586,3.755599488859848,0.9864064595349608,13.506664050468839,0.9647617178906314,13.343108504398824,0.9530791788856303,0.2,-1.6094379124341003
15,one_rare_0.2,10,196,0.12995667299808325,0.0003571659573958979,0.009157296530318493,0.016541032910248776,3.8587482261721533,0.9876775742094035,14.507713209289276,0.9671808806192851,14.344262295081961,0.9562841530054641,0.2,-1.6094379124341003
3,one_rare_0.5,12,4,0.19523490346748118,-0.006801280922991391,0.8045217490406031,0.023668579492092556,1.4833557549816874,0.9358932809493993,2.7959833218017107,0.9319944406005702,2.6666666666666665,0.8888888888888888,0.5,-0.6931471805599453
4,one_rare_0.5,12,9,0.21514722893617969,-0.0012323928713829535,0.7132153251520663,-0.14588472482581905,1.9304066313306079,0.9652033156653039,3.811626168054595,0.9529065420136488,3.6923076923076916,0.9230769230769229,0.5,-0.6931471805599453
5,one_rare_0.5,11,16,0.19663913015942341,0.0012835323307544605,0.6362021233766452,-0.4309415374421415,2.268995593589281,0.9772032125307271,4.819874538656438,0.9639749077312876,4.705882352941176,0.9411764705882352,0.5,-0.6931471805599453
6,one_rare_0.5,12,25,0.16199244607804217,0.002494464565130289,0.519312641368594,-0.7843024285278526,2.5422509372837157,0.98347691178285,5.824971282834311,0.9708285471390519,5.714285714285714,0.9523809523809524,0.5,-0.6931471805599453
7,one_rare_0.5,11,36,0.07239809080100403,0.004594461575631263,0.20701730354282388,-0.4139883745716939,2.7715546487390923,0.9872476853435145,6.828433493499206,0.9754904990713152,6.72,0.96,0.5,-0.6931471805599453
8,one_rare_0.5,12,49,0.16324737951301793,0.0015592923484809597,0.5005204641812027,-0.6421639086174682,2.9691853060460174,0.9897284353486725,7.830938978556452,0.9788673723195565,7.724137931034484,0.9655172413793105,0.5,-0.6931471805599453
9,one_rare_0.5,12,64,0.1635161029733515,0.0012415279644939685,0.5083558270930477,-0.5165125221003237,3.1428767624836587,0.9914672306296374,8.832836228864554,0.9814262476516171,8.727272727272728,0.9696969696969698,0.5,-0.6931471805599453
10,one_rare_0.5,11,81,0.17822654513311667,0.0008552272769025579,0.4545042058280664,-0.3162875969497356,3.297825708486153,0.9927444587261524,9.834322784963623,0.9834322784963623,9.72972972972973,0.972972972972973,0.5,-0.6931471805599453
11,one_rare_0.5,12,100,0.16205164706318542,0.0008614967848649402,0.4524975534453558,-0.7339397521441038,3.437696351104599,0.9937170986656877,10.835518991604628,0.9850471810549662,10.731707317073171,0.9756097560975611,0.5,-0.6931471805599453
12,one_rare_0.5,12,121,0.1622526969058818,0.0007940021762536366,0.3313690972558698,-0.39067268488923235,3.5651709273605956,0.9944792802277348,11.836502353892085,0.9863751961576738,11.733333333333334,0.9777777777777779,0.5,-0.6931471805599453
13,one_rare_0.5,11,144,0.14253120757506094,0.0007751554683583218,0.34490309739596325,-0.5442811674025239,3.682272709435737,0.9950905810959998,12.837325043314848,0.9874865417934499,12.734693877551017,0.9795918367346936,0.5,-0.6931471805599453
14,one_rare_0.5,11,169,0.064449061102835,0.0010912482737044664,0.17753976933829507,-0.9483974308144594,3.7905659874645976,0.995590394135377,13.838023467342916,0.9884302476673511,13.735849056603776,0.9811320754716982,0.5,-0.6931471805599453
15,one_rare_0.5,12,196,0.1413583891906249,0.0005758452188084311,0.39587985125527336,-0.20001905545741172,3.891285391640884,0.9960057228156899,14.838623805639244,0.9892415870426163,14.736842105263156,0.982456140350877,0.5,-0.6931471805599453
3,one_rare_0.8,10,4,0.2618839778017727,-0.008985212582141536,0.7201194699772292,0.05326930853904399,1.5699740752745006,0.9905433564265175,2.9689937889983504,0.9896645963327835,2.9411764705882346,0.9803921568627448,0.8,-0.2231435513142097
4,one_rare_0.8,10,9,0.36338182008539055,-0.01094487358986474,0.7693273646191935,0.32565983907725216,1.9898980954642873,0.9949490477321437,3.972089403933046,0.9930223509832615,3.9473684210526314,0.9868421052631579,0.8,-0.2231435513142097
5,one_rare_0.8,12,16,0.47380996106996687,-0.010241974920142748,0.835345251429699,0.5605980537547774,2.314309554640566,0.9967188733089662,4.973665745304333,0.9947331490608666,4.9504950495049505,0.9900990099009901,0.8,-0.2231435513142097
