k,shape,nu0,N,lam_min,lam_tp,mu,sigma2,nu,a,H,H_norm,perp,perp_n,simpson,simpson_n,k_min_p,log_k_min_p
10,geometric,81,1003776,16.51000729977185,2.6738387693057515,81.18279193380211,157.0416252379541,83.93501654329754,0.9672100546012795,2.373794003733639,0.714583198651122,5.1830237470599565,0.5183023747059956,3.9519177939135695,0.39519177939135697,0.0405560106880119,-3.2050712803547072
10,geometric,81,1823941,29.99999922727099,4.858578167565574,80.74575225607012,161.34393473598513,80.8196046299161,0.9990862071871773,2.373794003733639,0.714583198651122,5.1830237470599565,0.5183023747059956,3.9519177939135695,0.39519177939135697,0.0405560106880119,-3.2050712803547072
11,uniform,100,12,0.09917355371900827,0.0008196161464380849,33.258455267513064,25.101102974445823,88.13356511921073,0.3773642337346413,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,21,0.17355371900826447,0.0014343282562666484,55.107099497346326,39.388188275484644,154.19812628957797,0.35737852867198516,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,35,0.2892561983471075,0.0023905470937777475,77.88335572152721,49.27430177270258,246.20611069952656,0.31633396709871736,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,60,0.49586776859504134,0.004098080732190424,99.98296882554176,66.82526337252654,299.1860727713673,0.3341832321919175,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,75,0.6198347107438017,0.00512260091523803,107.72506436652527,85.28176397042242,272.1493776042619,0.395830647546696,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,92,0.7603305785123967,0.00628372378935865,113.1547955860937,105.75032642406671,242.155427734296,0.4672816820370936,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,113,0.9338842975206612,0.007718052045625299,116.76067871410432,131.95183030401807,206.63686229084692,0.5650525149271795,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,140,1.15702479338843,0.00956218837511099,118.73516981636799,156.3560260650669,180.33255137163567,0.658423390082661,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
