condition,condition_label,method,method_label,nominal_alpha,actual_rejection_rate
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.083,0.07779499999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.084,0.078815
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.085,0.07973499999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.08600000000000001,0.08075500000000001
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.08700000000000001,0.081655
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.088,0.082875
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.089,0.083765
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.09,0.08482000000000002
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.091,0.08565
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.092,0.08653
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.093,0.08753500000000002
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.094,0.08847
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.095,0.08936
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.096,0.09036999999999998
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.097,0.09132000000000001
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.098,0.09224999999999997
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.099,0.09319999999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.1,0.094195
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.0,0.0
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.001,0.002520073017804841
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.002,0.004495136033609281
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.003,0.006205211053415166
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.004,0.007660267068619805
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.005,0.009265332084824333
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.006,0.010495366092826409
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.007,0.01199041310462973
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.008,0.01325045911743373
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.009000000000000001,0.014740506129637296
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.01,0.016150551140640297
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.011,0.017410607154243977
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.012,0.01864565216524699
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.013000000000000001,0.019760698178050977
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.014,0.0214957671934547
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.015,0.023200831208258454
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.016,0.024430877219861733
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.017,0.0256359112286643
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.018000000000000002,0.026870947237066463
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.019,0.028226003251870864
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.02,0.029466047262673815
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.021,0.03051110427847875
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.022,0.03160113328468014
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.023,0.033046184298084105
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.024,0.03424124331348863
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.025,0.03546628032249108
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.026000000000000002,0.03659133133589503
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.027,0.03775637434729842
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.028,0.038841412357701624
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.029,0.03993144736590377
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.03,0.04115649837930772
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.031,0.042416558394512034
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.032,0.04339159140311456
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.033,0.044516629412317044
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.034,0.04550665841891867
