display_id,section,figure_key,row_key,row_label,column_key,column_label,x_kind,x_value,shape,profile,dominant_p,dominant_q,pattern,constructor,baseline_mi,mi_direction,mi_difference,target_mi_p,target_mi_q,n_p,n_q,pair_id,configuration_id
display_00065,main,main_2x2_small,same_skew,same skew,5,nP=nQ=5,mi_difference,0.02,2x2,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,5,5,pair_6efac570a6eb6806,config_e6b5e4d6862df6d3
display_00066,main,main_2x2_small,same_skew,same skew,10,nP=nQ=10,mi_difference,0.0,2x2,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,10,10,pair_cd3f51adc4b4ed85,config_033b35a7a6c4fa8a
display_00067,main,main_2x2_small,same_skew,same skew,10,nP=nQ=10,mi_difference,0.001,2x2,same_skew,,,first,additive,0.02,q_higher,0.001,0.02,0.021,10,10,pair_9fab52b2674275fb,config_a6622c284bbefaaf
display_00068,main,main_2x2_small,same_skew,same skew,10,nP=nQ=10,mi_difference,0.002,2x2,same_skew,,,first,additive,0.02,q_higher,0.002,0.02,0.022,10,10,pair_c6d13f7ebf1a5166,config_b6e02f927ce0e530
display_00069,main,main_2x2_small,same_skew,same skew,10,nP=nQ=10,mi_difference,0.005,2x2,same_skew,,,first,additive,0.02,q_higher,0.005,0.02,0.025,10,10,pair_912f7fd65fdd36a9,config_622fcbb800e6633e
display_00070,main,main_2x2_small,same_skew,same skew,10,nP=nQ=10,mi_difference,0.01,2x2,same_skew,,,first,additive,0.02,q_higher,0.01,0.02,0.03,10,10,pair_002394c5f121757e,config_e4ccb9a9d72c95fa
display_00071,main,main_2x2_small,same_skew,same skew,10,nP=nQ=10,mi_difference,0.02,2x2,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,10,10,pair_6efac570a6eb6806,config_c016479e556bb2d5
display_00072,main,main_2x2_moderate,same_skew,same skew,20,nP=nQ=20,mi_difference,0.0,2x2,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,20,20,pair_cd3f51adc4b4ed85,config_fe2608b927842b4e
display_00073,main,main_2x2_moderate,same_skew,same skew,20,nP=nQ=20,mi_difference,0.001,2x2,same_skew,,,first,additive,0.02,q_higher,0.001,0.02,0.021,20,20,pair_9fab52b2674275fb,config_d44c17181d75585f
display_00074,main,main_2x2_moderate,same_skew,same skew,20,nP=nQ=20,mi_difference,0.002,2x2,same_skew,,,first,additive,0.02,q_higher,0.002,0.02,0.022,20,20,pair_c6d13f7ebf1a5166,config_6919d1a6e507df89
