pair_id,shape,profile,n_p,n_q,baseline_mi,mi_difference,input_index,method,median_microseconds,valid
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,50,expanded_welch,152.333,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,51,normal_wald,83.125,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,51,expanded_welch,151.708,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,52,normal_wald,83.333,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,52,expanded_welch,150.625,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,53,normal_wald,83.25,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,53,expanded_welch,152.291,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,54,normal_wald,85.833,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,54,expanded_welch,148.417,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,55,normal_wald,84.959,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,55,expanded_welch,149.0,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,56,normal_wald,85.0,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,56,expanded_welch,149.25,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,57,normal_wald,85.125,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,57,expanded_welch,146.917,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,58,normal_wald,84.708,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,58,expanded_welch,148.041,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,59,normal_wald,84.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,59,expanded_welch,148.542,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,60,normal_wald,84.125,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,60,expanded_welch,147.75,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,61,normal_wald,84.083,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,61,expanded_welch,147.625,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,62,normal_wald,84.291,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,62,expanded_welch,149.042,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,63,normal_wald,85.167,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,63,expanded_welch,148.541,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,64,normal_wald,84.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,64,expanded_welch,149.083,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,65,normal_wald,83.958,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,65,expanded_welch,150.959,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,66,normal_wald,83.875,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,66,expanded_welch,148.875,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,67,normal_wald,84.291,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,67,expanded_welch,149.208,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,68,normal_wald,84.167,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,68,expanded_welch,150.5,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,69,normal_wald,83.75,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,69,expanded_welch,148.584,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,70,normal_wald,84.0,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,70,expanded_welch,148.583,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,71,normal_wald,83.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,71,expanded_welch,148.458,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,72,normal_wald,85.541,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,72,expanded_welch,147.875,True
