absolute_mi_difference,achieved_mi_p,achieved_mi_q,both_reject,columns,configuration_id,constructor,dominant_p,dominant_q,method_a,method_b,n_p,n_q,neither_rejects,nominal_alpha,only_method_a_rejects,only_method_b_rejects,pair_id,paired_95_high,paired_95_low,paired_standard_error,pattern,profile,rejection_rate_difference_a_minus_b,replicates,rows,shape,signed_mi_difference_q_minus_p,simulation_seed,target_mi_p,target_mi_q
5.0000000000001195e-05,9.999999999999965e-06,6.000000000000116e-05,307,8,config_03fef4c3455de7d4,additive,0.9,0.95,expanded_welch,normal_wald,10000,10000,19509,0.05,0,184,pair_2de5a5fbe7e803db,-0.007876759320042323,-0.010523240679957677,0.0006751227958967738,rare,custom_extreme,-0.0092,20000,8,8x8,5.0000000000001195e-05,9033090339961920109,1e-05,6e-05
0.019999999999999782,9.999999999994562e-05,0.02009999999999973,243,2,config_04019316e6e03ce2,additive,,,expanded_welch,normal_wald,20,20,19569,0.05,0,188,pair_d4423a2fa1922834,-0.008062588603061036,-0.010737411396938965,0.0006823527535402881,first,uniform,-0.0094,20000,2,2x2,0.019999999999999782,9942686033301393638,0.0001,0.0201
9.063930161978817e-17,9.99999999999248e-05,0.00010000000000001544,51,3,config_0423cdb1cb26081e,loglinear,,,expanded_welch,normal_wald,100,100,19591,0.05,0,358,pair_ce1cdc6388a0bddc,-0.016062377489791634,-0.019737622510208365,0.0009375625052083507,first,different_skew,-0.0179,20000,3,3x3,9.063930161978817e-17,11212041723949375606,0.0001,0.0001
0.0,0.01999999999999999,0.01999999999999999,213,3,config_042d6a9ae47133f1,additive,,,expanded_welch,normal_wald,500,50,18645,0.05,0,1142,pair_915fd4445dd7693e,-0.053884098019454346,-0.06031590198054565,0.0016407663166049227,first,uniform,-0.0571,20000,3,3x3,0.0,6470835564242215156,0.02,0.02
0.019999999999999813,0.019999999999999993,0.03999999999999981,784,5,config_0492f895b5360290,additive,,,expanded_welch,normal_wald,50,250,18614,0.05,0,602,pair_45f2b342723736ae,-0.027731907520323663,-0.03246809247967633,0.0012082104488144569,first,uniform,-0.0301,20000,5,5x5,0.019999999999999813,14925156602583767650,0.02,0.04
0.020000000000000177,0.040000000000000036,0.019999999999999858,661,3,config_049d516c110ebcec,additive,,,expanded_welch,normal_wald,50,500,18697,0.05,0,642,pair_9135fa4edca7b321,-0.029657021233317257,-0.03454297876668274,0.001246417738103439,first,same_skew,-0.0321,20000,3,3x3,-0.020000000000000177,4629119211383684607,0.04,0.02
0.009999999999999006,0.020000000000000108,0.029999999999999114,0,8,config_04a098826b99e50e,additive,,,expanded_welch,normal_wald,2,2,20000,0.05,0,0,pair_f5a04326c5b6256a,0.0,0.0,0.0,first,different_skew,0.0,20000,8,8x8,0.009999999999999006,8322513672902853341,0.02,0.03
0.0,0.019999999999999858,0.019999999999999858,0,3,config_04c7cce36c93670f,additive,,,expanded_welch,normal_wald,5,5,16385,0.05,0,3615,pair_40257b980c2277a5,-0.17541665952886662,-0.18608334047113337,0.0027210920771088593,first,same_skew,-0.18075,20000,3,3x3,0.0,9837441913396798792,0.02,0.02
0.02000000000000001,0.019999999999999997,0.04000000000000001,1500,8,config_04d5af04366eb1f9,additive,,,expanded_welch,normal_wald,10,10,17313,0.05,0,1187,pair_5b37ff86eea397f4,-0.0560752637845066,-0.0626247362154934,0.0016707837834150014,first,uniform,-0.05935,20000,8,8x8,0.02000000000000001,3721494795259621717,0.02,0.04
0.0,9.999999999994562e-05,9.999999999994562e-05,19,2,config_04de486b1663a5e2,additive,,,expanded_welch,normal_wald,10000,10000,19926,0.05,0,55,pair_4f79562663eb21be,-0.0020241944236321033,-0.0034758055763678963,0.000370308967534641,first,uniform,-0.00275,20000,2,2x2,0.0,4901188788354882229,0.0001,0.0001
