configuration_id,shape,alphabet_size,regime,sample_size,stage,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,mean_observed_zero_cell_fraction_p,mean_observed_zero_cell_fraction_q,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
3x3_mild_n150,3x3,3,mild,150,equal_mi_null,20,0.6494409434444909,0.05555555555555555,0.3333333333333333,0.0,0.08888888888888889,1.0,14.263125136494637,15.700753428973258,41.0,2.009227770272126e-09
3x3_mild_n250,3x3,3,mild,250,alternative,20,0.3797054777975365,0.05555555555555555,0.1111111111111111,0.0,0.09444444444444444,1.0,15.673770569264889,22.02226705849171,34.5,6.774915545237903e-09
3x3_mild_n250,3x3,3,mild,250,equal_mi_null,20,1.082401572407485,0.0,0.1111111111111111,0.0,0.022222222222222223,1.0,10.69627096876502,16.723258560523398,22.0,5.685934445498475e-09
3x3_mild_n500,3x3,3,mild,500,alternative,20,0.759410955595073,0.05555555555555555,0.1111111111111111,0.0,0.07222222222222222,1.0,13.990624574944377,20.215058466419585,29.5,3.039156898365647e-09
3x3_mild_n500,3x3,3,mild,500,equal_mi_null,20,2.16480314481497,0.0,0.05555555555555555,0.0,0.005555555555555556,1.0,11.830875067971647,12.889596354216337,23.0,3.589807062720496e-10
3x3_mild_n1000,3x3,3,mild,1000,alternative,20,1.518821911190146,0.0,0.05555555555555555,0.0,0.027777777777777776,1.0,13.712353655137122,17.627149634063244,30.0,3.3685013112183526e-11
3x3_mild_n1000,3x3,3,mild,1000,equal_mi_null,20,4.32960628962994,0.0,0.05555555555555555,0.0,0.0,1.0,13.2113954750821,13.746512797661126,24.5,3.656860231293635e-11
3x3_strong_n25,3x3,3,strong,25,alternative,20,0.00011311510564593158,0.7777777777777778,0.8888888888888888,0.5611111111111111,0.6388888888888888,1.0,28.35216699168086,57.377291563898346,87.5,1.987384729007502e-09
3x3_strong_n25,3x3,3,strong,25,equal_mi_null,20,0.0011272318865159492,0.7777777777777778,0.8888888888888888,0.5833333333333334,0.5666666666666667,1.0,21.35079144500196,65.80603807233275,72.5,6.511620326277168e-09
3x3_strong_n50,3x3,3,strong,50,alternative,20,0.00022623021129186316,0.4444444444444444,0.8888888888888888,0.3611111111111111,0.45555555555555555,1.0,20.89216699823737,38.849616749212146,63.0,2.730716333609884e-09
3x3_strong_n50,3x3,3,strong,50,equal_mi_null,20,0.0022544637730318984,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.42777777777777776,1.0,15.313479001633823,41.124641895294204,59.5,1.8619058794744348e-09
3x3_strong_n75,3x3,3,strong,75,alternative,20,0.00033934531693779476,0.3888888888888889,0.8888888888888888,0.2722222222222222,0.4222222222222222,1.0,15.596312587149441,34.29661642294377,36.5,1.068746868782e-09
3x3_strong_n75,3x3,3,strong,75,equal_mi_null,20,0.003381695659547848,0.3333333333333333,0.8888888888888888,0.31666666666666665,0.35,1.0,20.7674999255687,30.74754111003131,74.5,9.849566301456392e-10
3x3_strong_n100,3x3,3,strong,100,alternative,20,0.00045246042258372633,0.3888888888888889,0.8888888888888888,0.24444444444444444,0.34444444444444444,1.0,15.850791591219604,35.61987073626369,60.5,8.283189412150449e-10
3x3_strong_n100,3x3,3,strong,100,equal_mi_null,20,0.004508927546063797,0.3333333333333333,0.8888888888888888,0.2222222222222222,0.3333333333333333,1.0,18.468125024810433,25.259587494656447,59.5,7.274012781000039e-10
3x3_strong_n150,3x3,3,strong,150,alternative,20,0.0006786906338755895,0.3333333333333333,0.6111111111111112,0.17777777777777778,0.28888888888888886,1.0,19.725458463653922,43.62474142108113,60.5,6.776719116419194e-10
3x3_strong_n150,3x3,3,strong,150,equal_mi_null,20,0.006763391319095696,0.3333333333333333,0.6666666666666666,0.16111111111111112,0.2722222222222222,1.0,16.59122947603464,26.9419918069616,44.0,6.12713088599115e-10
3x3_strong_n250,3x3,3,strong,250,alternative,20,0.001131151056459316,0.1111111111111111,0.4444444444444444,0.08888888888888889,0.2611111111111111,1.0,17.55947945639491,27.93926252052189,55.5,4.5127300507541435e-10
3x3_strong_n250,3x3,3,strong,250,equal_mi_null,20,0.011272318865159493,0.1111111111111111,0.3333333333333333,0.08888888888888889,0.22777777777777777,1.0,16.444021137431264,18.00165397580713,47.5,2.546114846735392e-10
3x3_strong_n500,3x3,3,strong,500,alternative,20,0.002262302112918632,0.1111111111111111,0.3888888888888889,0.03333333333333333,0.2222222222222222,1.0,17.803771421313286,24.779370892792954,38.0,1.9469495460278097e-10
3x3_strong_n500,3x3,3,strong,500,equal_mi_null,20,0.022544637730318985,0.1111111111111111,0.3333333333333333,0.016666666666666666,0.2,1.0,16.987499897368252,18.678045505657792,52.0,2.243392277501144e-10
3x3_strong_n1000,3x3,3,strong,1000,alternative,20,0.004524604225837264,0.1111111111111111,0.16666666666666666,0.0,0.2,1.0,19.003291497938335,24.05667109414935,39.0,1.1724790582867683e-10
3x3_strong_n1000,3x3,3,strong,1000,equal_mi_null,20,0.04508927546063797,0.1111111111111111,0.16666666666666666,0.0,0.19444444444444445,1.0,18.575750407762825,19.802803662605587,39.0,9.504314002484193e-11
3x3_ultra_n25,3x3,3,ultra,25,alternative,20,6.91913642619611e-08,0.8888888888888888,0.8888888888888888,0.7333333333333333,0.7444444444444445,1.0,12.609582976438105,41.04058388620616,54.0,2.3008637217714067e-09
3x3_ultra_n25,3x3,3,ultra,25,equal_mi_null,20,3.391615784847011e-05,0.8888888888888888,0.8888888888888888,0.7055555555555556,0.6555555555555556,1.0,26.05683298315853,91.03637032676488,76.5,2.2294540241718508e-09
3x3_ultra_n50,3x3,3,ultra,50,alternative,20,1.383827285239222e-07,0.6111111111111112,0.8888888888888888,0.5666666666666667,0.6222222222222222,1.0,22.11375010665506,55.59623290318997,55.0,1.404881849742523e-09
3x3_ultra_n50,3x3,3,ultra,50,equal_mi_null,20,6.783231569694023e-05,0.6666666666666666,0.8888888888888888,0.5722222222222222,0.5722222222222222,1.0,18.24520796071738,58.363425335846856,46.5,9.228562497520798e-10
3x3_ultra_n75,3x3,3,ultra,75,alternative,20,2.0757409278588328e-07,0.5555555555555556,0.8888888888888888,0.49444444444444446,0.5611111111111111,1.0,21.93081204313785,56.86356306541712,79.0,1.0244438908291187e-09
