method,method_label,valid_count,valid_rate,p_value_threshold_for_five_percent,calibration_key,configuration_id,power_family,n_p,n_q,replicates
normal_wald,Normal Wald,500,1.0,0.11852358463054413,sparse_np100_nq100,PCAL_PCAL_sparse_np100_nq100_sparse_np100_nq100,sparse,100,100,500
simple_welch,Simple Welch,500,1.0,0.12170555600960893,sparse_np100_nq100,PCAL_PCAL_sparse_np100_nq100_sparse_np100_nq100,sparse,100,100,500
expanded_welch,Expanded Welch,496,0.992,0.18824487382836486,sparse_np100_nq100,PCAL_PCAL_sparse_np100_nq100_sparse_np100_nq100,sparse,100,100,500
normal_wald,Normal Wald,500,1.0,0.14096276270124894,sparse_np200_nq200,PCAL_PCAL_sparse_np200_nq200_sparse_np200_nq200,sparse,200,200,500
simple_welch,Simple Welch,500,1.0,0.14243894769705273,sparse_np200_nq200,PCAL_PCAL_sparse_np200_nq200_sparse_np200_nq200,sparse,200,200,500
expanded_welch,Expanded Welch,500,1.0,0.18197345350017322,sparse_np200_nq200,PCAL_PCAL_sparse_np200_nq200_sparse_np200_nq200,sparse,200,200,500
normal_wald,Normal Wald,500,1.0,0.08349122903482331,sparse_np500_nq500,PCAL_PCAL_sparse_np500_nq500_sparse_np500_nq500,sparse,500,500,500
simple_welch,Simple Welch,500,1.0,0.08403149193027049,sparse_np500_nq500,PCAL_PCAL_sparse_np500_nq500_sparse_np500_nq500,sparse,500,500,500
expanded_welch,Expanded Welch,500,1.0,0.11009665391481913,sparse_np500_nq500,PCAL_PCAL_sparse_np500_nq500_sparse_np500_nq500,sparse,500,500,500
normal_wald,Normal Wald,500,1.0,0.057224663895247385,sparse_np1000_nq1000,PCAL_PCAL_sparse_np1000_nq1000_sparse_np1000_nq1000,sparse,1000,1000,500
simple_welch,Simple Welch,500,1.0,0.05744840197314591,sparse_np1000_nq1000,PCAL_PCAL_sparse_np1000_nq1000_sparse_np1000_nq1000,sparse,1000,1000,500
expanded_welch,Expanded Welch,500,1.0,0.07897167259427798,sparse_np1000_nq1000,PCAL_PCAL_sparse_np1000_nq1000_sparse_np1000_nq1000,sparse,1000,1000,500
normal_wald,Normal Wald,483,0.966,0.019078109569434187,sparse_np20_nq40,PCAL_PCAL_sparse_np20_nq40_sparse_np20_nq40,sparse,20,40,500
simple_welch,Simple Welch,483,0.966,0.0242069190133895,sparse_np20_nq40,PCAL_PCAL_sparse_np20_nq40_sparse_np20_nq40,sparse,20,40,500
expanded_welch,Expanded Welch,323,0.646,0.15214765902091126,sparse_np20_nq40,PCAL_PCAL_sparse_np20_nq40_sparse_np20_nq40,sparse,20,40,500
normal_wald,Normal Wald,499,0.998,0.0001746598744079946,sparse_np20_nq100,PCAL_PCAL_sparse_np20_nq100_sparse_np20_nq100,sparse,20,100,500
simple_welch,Simple Welch,499,0.998,0.0004432350649266186,sparse_np20_nq100,PCAL_PCAL_sparse_np20_nq100_sparse_np20_nq100,sparse,20,100,500
expanded_welch,Expanded Welch,398,0.796,0.12288951825674514,sparse_np20_nq100,PCAL_PCAL_sparse_np20_nq100_sparse_np20_nq100,sparse,20,100,500
normal_wald,Normal Wald,500,1.0,2.86452000019687e-06,sparse_np20_nq200,PCAL_PCAL_sparse_np20_nq200_sparse_np20_nq200,sparse,20,200,500
simple_welch,Simple Welch,500,1.0,1.632066319177461e-05,sparse_np20_nq200,PCAL_PCAL_sparse_np20_nq200_sparse_np20_nq200,sparse,20,200,500
expanded_welch,Expanded Welch,377,0.754,0.06845076491430929,sparse_np20_nq200,PCAL_PCAL_sparse_np20_nq200_sparse_np20_nq200,sparse,20,200,500
normal_wald,Normal Wald,500,1.0,0.14793528093347819,sparse_np50_nq100,PCAL_PCAL_sparse_np50_nq100_sparse_np50_nq100,sparse,50,100,500
simple_welch,Simple Welch,500,1.0,0.153385101586994,sparse_np50_nq100,PCAL_PCAL_sparse_np50_nq100_sparse_np50_nq100,sparse,50,100,500
expanded_welch,Expanded Welch,495,0.99,0.23366689771225307,sparse_np50_nq100,PCAL_PCAL_sparse_np50_nq100_sparse_np50_nq100,sparse,50,100,500
normal_wald,Normal Wald,500,1.0,0.04532934835581455,sparse_np50_nq250,PCAL_PCAL_sparse_np50_nq250_sparse_np50_nq250,sparse,50,250,500
simple_welch,Simple Welch,500,1.0,0.04637196218731632,sparse_np50_nq250,PCAL_PCAL_sparse_np50_nq250_sparse_np50_nq250,sparse,50,250,500
expanded_welch,Expanded Welch,495,0.99,0.13577026048183866,sparse_np50_nq250,PCAL_PCAL_sparse_np50_nq250_sparse_np50_nq250,sparse,50,250,500
normal_wald,Normal Wald,500,1.0,0.008255790812508478,sparse_np50_nq500,PCAL_PCAL_sparse_np50_nq500_sparse_np50_nq500,sparse,50,500,500
simple_welch,Simple Welch,500,1.0,0.008554812615295433,sparse_np50_nq500,PCAL_PCAL_sparse_np50_nq500_sparse_np50_nq500,sparse,50,500,500
expanded_welch,Expanded Welch,496,0.992,0.053443494856532645,sparse_np50_nq500,PCAL_PCAL_sparse_np50_nq500_sparse_np50_nq500,sparse,50,500,500
normal_wald,Normal Wald,500,1.0,0.12562409830947988,sparse_np100_nq200,PCAL_PCAL_sparse_np100_nq200_sparse_np100_nq200,sparse,100,200,500
simple_welch,Simple Welch,500,1.0,0.1270612287584239,sparse_np100_nq200,PCAL_PCAL_sparse_np100_nq200_sparse_np100_nq200,sparse,100,200,500
