configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q
C1_N1_n30,C1,N1,"Same margins, opposite association",,,30,30,1.0,0.5,0.5,0.5,0.5,1,-1,0.10989731308070487,-0.109897313080705,0.09999999999999987,0.10000000000000031,-4.440892098500626e-16,0.0,0.14010268691929512,0.140102686919295,4.203080607578854,4.20308060757885,4.20308060757885,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.140102686919295, 0.359897313080705], [0.359897313080705, 0.140102686919295]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]","[[4.20308060757885, 10.79691939242115], [10.79691939242115, 4.20308060757885]]",0.179521513612991,0.17952151361299135
C1_N1_n50,C1,N1,"Same margins, opposite association",,,50,50,1.0,0.5,0.5,0.5,0.5,1,-1,0.10989731308070487,-0.109897313080705,0.09999999999999987,0.10000000000000031,-4.440892098500626e-16,0.0,0.14010268691929512,0.140102686919295,7.0051343459647555,7.00513434596475,7.00513434596475,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.140102686919295, 0.359897313080705], [0.359897313080705, 0.140102686919295]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]","[[7.00513434596475, 17.994865654035248], [17.994865654035248, 7.00513434596475]]",0.179521513612991,0.17952151361299135
C1_N1_n100,C1,N1,"Same margins, opposite association",,,100,100,1.0,0.5,0.5,0.5,0.5,1,-1,0.10989731308070487,-0.109897313080705,0.09999999999999987,0.10000000000000031,-4.440892098500626e-16,0.0,0.14010268691929512,0.140102686919295,14.010268691929511,14.0102686919295,14.0102686919295,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.140102686919295, 0.359897313080705], [0.359897313080705, 0.140102686919295]]","[[35.98973130807049, 14.010268691929511], [14.010268691929511, 35.98973130807049]]","[[14.0102686919295, 35.989731308070496], [35.989731308070496, 14.0102686919295]]",0.179521513612991,0.17952151361299135
C1_N1_n200,C1,N1,"Same margins, opposite association",,,200,200,1.0,0.5,0.5,0.5,0.5,1,-1,0.10989731308070487,-0.109897313080705,0.09999999999999987,0.10000000000000031,-4.440892098500626e-16,0.0,0.14010268691929512,0.140102686919295,28.020537383859022,28.020537383859,28.020537383859,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.140102686919295, 0.359897313080705], [0.359897313080705, 0.140102686919295]]","[[71.97946261614098, 28.020537383859022], [28.020537383859022, 71.97946261614098]]","[[28.020537383859, 71.97946261614099], [71.97946261614099, 28.020537383859]]",0.179521513612991,0.17952151361299135
C1_N1_n500,C1,N1,"Same margins, opposite association",,,500,500,1.0,0.5,0.5,0.5,0.5,1,-1,0.10989731308070487,-0.109897313080705,0.09999999999999987,0.10000000000000031,-4.440892098500626e-16,0.0,0.14010268691929512,0.140102686919295,70.05134345964755,70.0513434596475,70.0513434596475,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.140102686919295, 0.359897313080705], [0.359897313080705, 0.140102686919295]]","[[179.94865654035243, 70.05134345964755], [70.05134345964755, 179.94865654035243]]","[[70.0513434596475, 179.9486565403525], [179.9486565403525, 70.0513434596475]]",0.179521513612991,0.17952151361299135
C1_N1_n1000,C1,N1,"Same margins, opposite association",,,1000,1000,1.0,0.5,0.5,0.5,0.5,1,-1,0.10989731308070487,-0.109897313080705,0.09999999999999987,0.10000000000000031,-4.440892098500626e-16,0.0,0.14010268691929512,0.140102686919295,140.1026869192951,140.102686919295,140.102686919295,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.140102686919295, 0.359897313080705], [0.359897313080705, 0.140102686919295]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]","[[140.102686919295, 359.897313080705], [359.897313080705, 140.102686919295]]",0.179521513612991,0.17952151361299135
C1_N2_n10,C1,N2,Mild margin mismatch,,,10,10,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,1.4010268691929513,0.8000197651845703,0.8000197651845703,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[5.199980234815429, 1.8000197651845702], [0.8000197651845703, 2.1999802348154294]]",0.179521513612991,0.1822875754189648
C1_N2_n20,C1,N2,Mild margin mismatch,,,20,20,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,2.8020537383859025,1.6000395303691406,1.6000395303691406,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[10.399960469630859, 3.6000395303691404], [1.6000395303691406, 4.399960469630859]]",0.179521513612991,0.1822875754189648
C1_N2_n30,C1,N2,Mild margin mismatch,,,30,30,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,4.203080607578854,2.400059295553711,2.400059295553711,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]","[[15.599940704446286, 5.40005929555371], [2.400059295553711, 6.599940704446289]]",0.179521513612991,0.1822875754189648
C1_N2_n50,C1,N2,Mild margin mismatch,,,50,50,1.0,0.5,0.5,0.3,0.4,1,1,0.10989731308070487,0.09999802348154296,0.09999999999999987,0.09999999999994569,5.417888360170764e-14,0.0,0.14010268691929512,0.08000197651845703,7.0051343459647555,4.000098825922851,4.000098825922851,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.5199980234815429, 0.180001976518457], [0.08000197651845703, 0.21999802348154296]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]","[[25.999901174077145, 9.00009882592285], [4.000098825922851, 10.999901174077149]]",0.179521513612991,0.1822875754189648
