configuration_id,shape,alphabet_size,regime,sample_size,stage,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,mean_observed_zero_cell_fraction_p,mean_observed_zero_cell_fraction_q,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
3x3_mild_n75,3x3,3,mild,75,equal_mi_null,1000,0.32472047172224544,0.1111111111111111,0.6111111111111112,0.043111111111111114,0.13744444444444445,1.0,24.36199935618788,35.84578356239945,39.0,9.901167573322933e-09
3x3_mild_n100,3x3,3,mild,100,alternative,1000,0.1518821911190146,0.1111111111111111,0.3888888888888889,0.017222222222222222,0.14988888888888888,1.0,23.686291533522308,35.008654184639454,41.0,9.895155833605784e-09
3x3_mild_n100,3x3,3,mild,100,equal_mi_null,1000,0.432960628962994,0.05555555555555555,0.3333333333333333,0.018,0.10644444444444444,1.0,24.093916406854987,34.313466609455645,39.0,9.9467598671521e-09
3x3_mild_n150,3x3,3,mild,150,alternative,1000,0.2278232866785219,0.05555555555555555,0.3333333333333333,0.0038888888888888888,0.1228888888888889,1.0,24.42831266671419,38.484941236674786,41.0,9.977940473859803e-09
3x3_mild_n150,3x3,3,mild,150,equal_mi_null,1000,0.6494409434444909,0.05555555555555555,0.3333333333333333,0.0033333333333333335,0.07177777777777777,1.0,22.15991634875536,33.44644096214324,36.0,9.336967456141654e-09
3x3_mild_n250,3x3,3,mild,250,alternative,1000,0.3797054777975365,0.05555555555555555,0.1111111111111111,0.00022222222222222223,0.08911111111111111,1.0,23.101437487639487,38.44587111379952,35.0,9.993072244696144e-09
3x3_mild_n250,3x3,3,mild,250,equal_mi_null,1000,1.082401572407485,0.0,0.1111111111111111,0.0003333333333333333,0.042222222222222223,1.0,21.037249942310154,32.817395450547345,26.0,9.240164348944813e-09
3x3_mild_n500,3x3,3,mild,500,alternative,1000,0.759410955595073,0.05555555555555555,0.1111111111111111,0.0,0.05544444444444444,1.0,20.583875011652708,29.93283332325518,30.0,9.797886418860813e-09
3x3_mild_n500,3x3,3,mild,500,equal_mi_null,1000,2.16480314481497,0.0,0.05555555555555555,0.0,0.011333333333333334,1.0,21.531687467359006,29.139142110943794,23.0,7.619870873165624e-09
3x3_mild_n1000,3x3,3,mild,1000,alternative,1000,1.518821911190146,0.0,0.05555555555555555,0.0,0.02311111111111111,1.0,20.022333483211696,28.521246160380542,28.0,7.103906907168778e-09
3x3_mild_n1000,3x3,3,mild,1000,equal_mi_null,1000,4.32960628962994,0.0,0.05555555555555555,0.0,0.0014444444444444444,1.0,22.572563029825687,30.240812664851546,23.0,1.6648906628335958e-09
3x3_strong_n25,3x3,3,strong,25,alternative,1000,0.00011311510564593158,0.7777777777777778,0.8888888888888888,0.5632222222222222,0.5907777777777777,1.0,37.99312503542751,117.40205003879966,73.0,5.844367434448827e-09
3x3_strong_n25,3x3,3,strong,25,equal_mi_null,1000,0.0011272318865159492,0.7777777777777778,0.8888888888888888,0.5685555555555556,0.571,1.0,34.212375059723854,92.17126718722287,67.0,9.964056205125082e-09
3x3_strong_n50,3x3,3,strong,50,alternative,1000,0.00022623021129186316,0.4444444444444444,0.8888888888888888,0.39366666666666666,0.46011111111111114,1.0,30.076958588324487,77.43392048869283,57.0,7.123225259642041e-09
3x3_strong_n50,3x3,3,strong,50,equal_mi_null,1000,0.0022544637730318984,0.3333333333333333,0.8888888888888888,0.3873333333333333,0.42544444444444446,1.0,27.087604627013206,65.7229036325589,57.0,6.929579077219472e-09
3x3_strong_n75,3x3,3,strong,75,alternative,1000,0.00033934531693779476,0.3888888888888889,0.8888888888888888,0.288,0.38622222222222224,1.0,28.968291589990258,68.6780578456819,55.5,6.382058097276211e-09
3x3_strong_n75,3x3,3,strong,75,equal_mi_null,1000,0.003381695659547848,0.3333333333333333,0.8888888888888888,0.295,0.3526666666666667,1.0,27.76862494647503,57.946083694696426,56.5,3.6494732930103524e-09
3x3_strong_n100,3x3,3,strong,100,alternative,1000,0.00045246042258372633,0.3888888888888889,0.8888888888888888,0.23277777777777778,0.3547777777777778,1.0,29.187583015300333,64.95426630135626,57.0,9.553632357439668e-09
3x3_strong_n100,3x3,3,strong,100,equal_mi_null,1000,0.004508927546063797,0.3333333333333333,0.8888888888888888,0.22755555555555557,0.31333333333333335,1.0,27.167478925548494,50.580341718159616,55.5,6.064450781828601e-09
3x3_strong_n150,3x3,3,strong,150,alternative,1000,0.0006786906338755895,0.3333333333333333,0.6111111111111112,0.15133333333333332,0.30033333333333334,1.0,29.157291399315,56.12115059047938,57.0,4.515350940370588e-09
3x3_strong_n150,3x3,3,strong,150,equal_mi_null,1000,0.006763391319095696,0.3333333333333333,0.6666666666666666,0.15033333333333335,0.26744444444444443,1.0,26.23945800587535,44.17093733791262,51.0,3.111226734575645e-09
3x3_strong_n250,3x3,3,strong,250,alternative,1000,0.001131151056459316,0.1111111111111111,0.4444444444444444,0.0811111111111111,0.25244444444444447,1.0,29.920332948677242,50.95225365366789,53.0,9.680405227419087e-10
3x3_strong_n250,3x3,3,strong,250,equal_mi_null,1000,0.011272318865159493,0.1111111111111111,0.3333333333333333,0.08522222222222223,0.23166666666666666,1.0,25.832479004748166,39.293570653535426,50.0,1.176611683084694e-09
3x3_strong_n500,3x3,3,strong,500,alternative,1000,0.002262302112918632,0.1111111111111111,0.3888888888888889,0.021333333333333333,0.21611111111111111,1.0,29.266812605783343,43.9094627276063,41.5,1.8953204561356074e-09
3x3_strong_n500,3x3,3,strong,500,equal_mi_null,1000,0.022544637730318985,0.1111111111111111,0.3333333333333333,0.02011111111111111,0.2028888888888889,1.0,26.325354585424066,37.12045431602746,45.0,2.5920455851147217e-09
3x3_strong_n1000,3x3,3,strong,1000,alternative,1000,0.004524604225837264,0.1111111111111111,0.16666666666666666,0.0016666666666666668,0.20155555555555554,1.0,29.185458552092314,41.3847662974149,39.0,9.59203751149662e-10
3x3_strong_n1000,3x3,3,strong,1000,equal_mi_null,1000,0.04508927546063797,0.1111111111111111,0.16666666666666666,0.0015555555555555555,0.17988888888888888,1.0,28.410562430508435,38.24806674383581,40.0,1.2945937655217676e-09
3x3_ultra_n25,3x3,3,ultra,25,alternative,1000,6.91913642619611e-08,0.8888888888888888,0.8888888888888888,0.702,0.734,1.0,32.652749912813306,161.3923167111352,56.5,7.707106661203333e-09
3x3_ultra_n25,3x3,3,ultra,25,equal_mi_null,1000,3.391615784847011e-05,0.8888888888888888,0.8888888888888888,0.7028888888888889,0.7025555555555556,1.0,29.61310453247279,128.6771327489987,54.0,9.925271521327161e-09
3x3_ultra_n50,3x3,3,ultra,50,alternative,1000,1.383827285239222e-07,0.6111111111111112,0.8888888888888888,0.5657777777777778,0.6338888888888888,1.0,33.69881247635931,123.96117476746441,52.0,9.952757534792411e-09
3x3_ultra_n50,3x3,3,ultra,50,equal_mi_null,1000,6.783231569694023e-05,0.6666666666666666,0.8888888888888888,0.5737777777777778,0.5884444444444444,1.0,31.876708497293293,97.8784497594461,59.0,9.930000571811703e-09
3x3_ultra_n75,3x3,3,ultra,75,alternative,1000,2.0757409278588328e-07,0.5555555555555556,0.8888888888888888,0.48744444444444446,0.5794444444444444,1.0,33.31158356741071,105.87384619284423,56.0,9.990031959279059e-09
3x3_ultra_n75,3x3,3,ultra,75,equal_mi_null,1000,0.00010174847354541034,0.5555555555555556,0.8888888888888888,0.47955555555555557,0.507,1.0,31.613333499990404,83.27604653313759,57.0,9.43021277732825e-09
3x3_ultra_n100,3x3,3,ultra,100,alternative,1000,2.767654570478444e-07,0.5555555555555556,0.8888888888888888,0.41244444444444445,0.543,1.0,33.0808125436306,92.9400372086093,55.0,6.790992670979712e-09
3x3_ultra_n100,3x3,3,ultra,100,equal_mi_null,1000,0.00013566463139388045,0.5555555555555556,0.8888888888888888,0.413,0.4478888888888889,1.0,31.03956242557615,66.71024586539716,56.0,9.73789030661587e-09
3x3_ultra_n150,3x3,3,ultra,150,alternative,1000,4.1514818557176655e-07,0.4444444444444444,0.8888888888888888,0.33344444444444443,0.5008888888888889,1.0,36.012583412230015,93.07657470926644,57.0,4.05451208718155e-09
3x3_ultra_n150,3x3,3,ultra,150,equal_mi_null,1000,0.00020349694709082068,0.3333333333333333,0.8888888888888888,0.32755555555555554,0.37366666666666665,1.0,30.40795843116939,57.38730414304882,55.0,7.13524611964389e-09
3x3_ultra_n250,3x3,3,ultra,250,alternative,1000,6.919136426196109e-07,0.4444444444444444,0.6111111111111112,0.22,0.4627777777777778,1.0,36.94208350498229,80.99728277884424,57.0,6.625973950069586e-09
3x3_ultra_n250,3x3,3,ultra,250,equal_mi_null,1000,0.00033916157848470116,0.3333333333333333,0.6666666666666666,0.2157777777777778,0.3108888888888889,1.0,30.639812466688454,44.584903912618756,51.0,2.9762568104496623e-09
3x3_ultra_n500,3x3,3,ultra,500,alternative,1000,1.3838272852392218e-06,0.2777777777777778,0.5555555555555556,0.11011111111111112,0.4011111111111111,1.0,41.31902102380991,75.06093333940954,61.0,2.560649733918119e-09
3x3_ultra_n500,3x3,3,ultra,500,equal_mi_null,1000,0.0006783231569694023,0.16666666666666666,0.5555555555555556,0.10655555555555556,0.2561111111111111,1.0,30.811874894425273,42.52381646074355,45.0,1.3329109205262313e-09
3x3_ultra_n1000,3x3,3,ultra,1000,alternative,1000,2.7676545704784435e-06,0.16666666666666666,0.4444444444444444,0.036444444444444446,0.3247777777777778,1.0,41.03016690351069,63.66474183741958,53.5,7.289010922617578e-10
3x3_ultra_n1000,3x3,3,ultra,1000,equal_mi_null,1000,0.0013566463139388046,0.1111111111111111,0.3333333333333333,0.035333333333333335,0.2228888888888889,1.0,31.947853974997997,42.92615440208465,53.0,1.7059886558978832e-09
4x4_balanced_n25,4x4,4,balanced,25,alternative,750,0.473277150891913,0.125,1.0,0.22766666666666666,0.25083333333333335,1.0,42.360854567959905,98.53466716594994,70.0,6.395193208330596e-09
4x4_balanced_n25,4x4,4,balanced,25,equal_mi_null,750,0.7465046752496537,0.125,1.0,0.22533333333333333,0.22491666666666665,1.0,37.07399999257177,84.94290364906192,67.5,6.0154599079709214e-09
4x4_balanced_n50,4x4,4,balanced,50,alternative,750,0.946554301783826,0.0625,0.9375,0.06666666666666667,0.09275,1.0,30.633083428256214,58.126937504857786,46.5,9.703303174846134e-09
