scenario_id,regime,regime_label,rows,columns,n_p,n_q,target_mi,method,replicates,valid_replicates,valid_rate,fpr_05,fpr_05_low,fpr_05_high,absolute_fpr_error_05,median_runtime_ms,p95_runtime_ms
adversarial_2x2_d8,widespread_sparse,Widespread sparsity,2,2,50,50,0.1,constrained_lr,300,300,1.0,0.07333333333333333,0.04892399383922861,0.10853134160571737,0.02333333333333333,11.397500056773424,17.138066282495856
adversarial_2x2_d8,widespread_sparse,Widespread sparsity,2,2,50,50,0.1,student_permutation,300,294,0.98,0.20408163265306123,0.1619682955777597,0.25382828059751644,0.15408163265306124,0.5736250896006823,0.6144716055132449
adversarial_2x2_d9,widespread_sparse,Widespread sparsity,2,2,50,100,0.15,normal_wald,300,300,1.0,0.10666666666666667,0.07657584904594215,0.1467032883173674,0.05666666666666667,0.1871669664978981,0.22020337637513876
adversarial_2x2_d9,widespread_sparse,Widespread sparsity,2,2,50,100,0.15,expanded_welch,300,288,0.96,0.05555555555555555,0.03448235823935758,0.08832904410740404,0.00555555555555555,0.1871669664978981,0.21959750447422263
adversarial_2x2_d9,widespread_sparse,Widespread sparsity,2,2,50,100,0.15,constrained_lr,300,300,1.0,0.08333333333333333,0.05708087405639428,0.12012160196406077,0.033333333333333326,9.994354448281229,21.50937940459699
adversarial_2x2_d9,widespread_sparse,Widespread sparsity,2,2,50,100,0.15,student_permutation,300,300,1.0,0.15,0.11403246871185319,0.19481761114532903,0.09999999999999999,0.5962505238130689,0.7094836561009288
strong_null_2x5_d-2,strong_null,Strong null (P = Q),2,5,200,200,0.1,normal_wald,250,250,1.0,0.072,0.046025569258264974,0.11092853510983558,0.021999999999999992,0.18885394092649221,0.21756435744464395
strong_null_2x5_d-2,strong_null,Strong null (P = Q),2,5,200,200,0.1,expanded_welch,250,250,1.0,0.064,0.03977474527709589,0.1014214918829318,0.013999999999999999,0.18885394092649221,0.21756435744464395
strong_null_2x5_d-2,strong_null,Strong null (P = Q),2,5,200,200,0.1,constrained_lr,250,250,1.0,0.076,0.04919164066173635,0.11564139731040068,0.025999999999999995,9.981792070902884,10.646706318948416
strong_null_2x5_d-2,strong_null,Strong null (P = Q),2,5,200,200,0.1,student_permutation,250,250,1.0,0.064,0.03977474527709589,0.1014214918829318,0.013999999999999999,0.7102499948814511,0.802393618505448
strong_null_2x5_d-1,strong_null,Strong null (P = Q),2,5,100,200,0.15,normal_wald,250,250,1.0,0.056,0.03364764921901089,0.09179072073294389,0.005999999999999998,0.18818734679371119,0.21729361033067107
strong_null_2x5_d-1,strong_null,Strong null (P = Q),2,5,100,200,0.15,expanded_welch,250,250,1.0,0.052,0.030637655164191244,0.08692178118372709,0.001999999999999995,0.18818734679371119,0.21729361033067107
strong_null_2x5_d-1,strong_null,Strong null (P = Q),2,5,100,200,0.15,constrained_lr,250,250,1.0,0.052,0.030637655164191244,0.08692178118372709,0.001999999999999995,9.436791995540261,16.96500406833365
strong_null_2x5_d-1,strong_null,Strong null (P = Q),2,5,100,200,0.15,student_permutation,250,250,1.0,0.032,0.016302365493649634,0.06186240283408649,0.018000000000000002,0.7127290591597557,0.7956892717629669
fixed_2x5_d0,well_sampled,Well sampled,2,5,200,200,0.1,normal_wald,250,250,1.0,0.056,0.03364764921901089,0.09179072073294389,0.005999999999999998,0.18141604959964752,0.18911277875304222
fixed_2x5_d0,well_sampled,Well sampled,2,5,200,200,0.1,expanded_welch,250,250,1.0,0.056,0.03364764921901089,0.09179072073294389,0.005999999999999998,0.18141604959964752,0.18911277875304222
fixed_2x5_d0,well_sampled,Well sampled,2,5,200,200,0.1,constrained_lr,250,250,1.0,0.06,0.036694410839108516,0.09662289271688274,0.009999999999999995,9.681812603957951,10.180467076133937
fixed_2x5_d0,well_sampled,Well sampled,2,5,200,200,0.1,student_permutation,250,250,1.0,0.056,0.03364764921901089,0.09179072073294389,0.005999999999999998,0.6821459392085671,0.7113474421203136
fixed_2x5_d1,well_sampled,Well sampled,2,5,200,200,0.15,normal_wald,250,250,1.0,0.048,0.02766820153069461,0.08201230121318728,0.0020000000000000018,0.18220837228000164,0.19383496837690473
fixed_2x5_d1,well_sampled,Well sampled,2,5,200,200,0.15,expanded_welch,250,250,1.0,0.048,0.02766820153069461,0.08201230121318728,0.0020000000000000018,0.18220837228000164,0.19383496837690473
fixed_2x5_d1,well_sampled,Well sampled,2,5,200,200,0.15,constrained_lr,250,250,1.0,0.044,0.02474379816749356,0.07705777097235189,0.006000000000000005,10.125583037734032,15.181906125508249
fixed_2x5_d1,well_sampled,Well sampled,2,5,200,200,0.15,student_permutation,250,250,1.0,0.052,0.030637655164191244,0.08692178118372709,0.001999999999999995,0.6846454925835133,0.7226003217510878
fixed_2x5_d2,moderate,Moderate,2,5,100,100,0.1,normal_wald,250,250,1.0,0.06,0.036694410839108516,0.09662289271688274,0.009999999999999995,0.18258299678564072,0.19358297577127814
fixed_2x5_d2,moderate,Moderate,2,5,100,100,0.1,expanded_welch,250,250,1.0,0.052,0.030637655164191244,0.08692178118372709,0.001999999999999995,0.18258299678564072,0.19358297577127814
fixed_2x5_d2,moderate,Moderate,2,5,100,100,0.1,constrained_lr,250,250,1.0,0.044,0.02474379816749356,0.07705777097235189,0.006000000000000005,9.664208628237247,18.13655231380835
fixed_2x5_d2,moderate,Moderate,2,5,100,100,0.1,student_permutation,250,250,1.0,0.14,0.1024162573102742,0.1884797183264459,0.09000000000000001,0.6879790453240275,0.7184811402112246
fixed_2x5_d3,moderate,Moderate,2,5,100,200,0.15,normal_wald,250,250,1.0,0.104,0.07196523249243103,0.14802034070796108,0.05399999999999999,0.18202094361186028,0.19428494852036238
fixed_2x5_d3,moderate,Moderate,2,5,100,200,0.15,expanded_welch,250,250,1.0,0.096,0.06536188077872193,0.1388658252135973,0.046,0.18202094361186028,0.19428494852036238
fixed_2x5_d3,moderate,Moderate,2,5,100,200,0.15,constrained_lr,250,250,1.0,0.06,0.036694410839108516,0.09662289271688274,0.009999999999999995,13.189354562200606,18.154912453610446
fixed_2x5_d3,moderate,Moderate,2,5,100,200,0.15,student_permutation,250,250,1.0,0.08,0.05238232837233178,0.12032964320384168,0.03,0.6913130637258291,0.7208621595054865
stress_2x5_d4,highly_sparse,Highly skewed and sparse,2,5,190,190,0.1,normal_wald,250,250,1.0,0.052,0.030637655164191244,0.08692178118372709,0.001999999999999995,0.18239556811749935,0.19449382089078424
stress_2x5_d4,highly_sparse,Highly skewed and sparse,2,5,190,190,0.1,expanded_welch,250,250,1.0,0.04,0.021869911954542545,0.07205272358126646,0.010000000000000002,0.18239556811749935,0.19449382089078424
stress_2x5_d4,highly_sparse,Highly skewed and sparse,2,5,190,190,0.1,constrained_lr,250,250,1.0,0.044,0.02474379816749356,0.07705777097235189,0.006000000000000005,9.867375018075109,17.62436656281351
stress_2x5_d4,highly_sparse,Highly skewed and sparse,2,5,190,190,0.1,student_permutation,250,250,1.0,0.076,0.04919164066173635,0.11564139731040068,0.025999999999999995,0.6850834470242262,0.7143123191781342
stress_2x5_d5,highly_sparse,Highly skewed and sparse,2,5,158,316,0.15,normal_wald,250,250,1.0,0.06,0.036694410839108516,0.09662289271688274,0.009999999999999995,0.18199998885393143,0.1937144435942173
stress_2x5_d5,highly_sparse,Highly skewed and sparse,2,5,158,316,0.15,expanded_welch,250,250,1.0,0.056,0.03364764921901089,0.09179072073294389,0.005999999999999998,0.18199998885393143,0.1937144435942173
stress_2x5_d5,highly_sparse,Highly skewed and sparse,2,5,158,316,0.15,constrained_lr,250,250,1.0,0.064,0.03977474527709589,0.1014214918829318,0.013999999999999999,9.920686832629144,14.441239228472112
stress_2x5_d5,highly_sparse,Highly skewed and sparse,2,5,158,316,0.15,student_permutation,250,250,1.0,0.052,0.030637655164191244,0.08692178118372709,0.001999999999999995,0.6827295292168856,0.7129249279387295
stress_2x5_d6,ultra_sparse,Ultra-skewed and sparse,2,5,121,121,0.1,normal_wald,250,250,1.0,0.096,0.06536188077872193,0.1388658252135973,0.046,0.18229195848107338,0.1957855885848403
