configuration_id,shape_index,design_index,rows,columns,condition,condition_label,margin_profile,dominant_margin_mass,target_mi,n_p,n_q,population_pairs,replicates_per_population,method,method_label,mean_valid_rate,mean_coverage_95,median_effective_df,mean_fpr_10,population_sd_fpr_10,population_se_fpr_10,mean_absolute_fpr_error_10,minimum_fpr_10,maximum_fpr_10,mean_fpr_05,population_sd_fpr_05,population_se_fpr_05,mean_absolute_fpr_error_05,minimum_fpr_05,maximum_fpr_05,mean_fpr_01,population_sd_fpr_01,population_se_fpr_01,mean_absolute_fpr_error_01,minimum_fpr_01,maximum_fpr_01
2x2_ultra_imbalanced,0,3,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,dominant_0.90,0.9,0.1,50,250,10,5000,normal_wald,Normal Wald,1.0,0.8824399999999999,,0.16840000000000002,0.006953176732017286,0.0021987875446860842,0.06839999999999999,0.1574,0.178,0.11756,0.006007254873160544,0.0018996607884333217,0.06756,0.1082,0.127,0.06388,0.00538821759850963,0.0017039040139893115,0.05388,0.0536,0.0712
2x2_ultra_imbalanced,0,3,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,dominant_0.90,0.9,0.1,50,250,10,5000,simple_welch,Simple Welch,1.0,0.8857999999999999,70.69870042796572,0.16486,0.0070124017125217375,0.0022175161279633974,0.06486,0.1536,0.175,0.1142,0.006197490531569118,0.0019598185857086074,0.06420000000000001,0.1044,0.1242,0.061439999999999995,0.004887898889661648,0.0015456893463938854,0.05144,0.0522,0.0678
3x3_balanced_control,1,0,3,3,balanced_control,Balanced control,uniform,0.3333333333333333,0.1,135,135,10,5000,expanded_welch,Expanded Welch,1.0,0.9577399999999999,44.42149852687656,0.09190000000000001,0.0054554763515409195,0.0017251730992054745,0.008100000000000003,0.0814,0.0998,0.042260000000000006,0.003098458398049658,0.0009798185773113536,0.007740000000000002,0.0372,0.0466,0.00726,0.0017231753634883867,0.0005449158956511851,0.0027400000000000002,0.0044,0.0096
3x3_balanced_control,1,0,3,3,balanced_control,Balanced control,uniform,0.3333333333333333,0.1,135,135,10,5000,normal_wald,Normal Wald,1.0,0.9522599999999999,,0.09925999999999999,0.004505848051883982,0.0014248742634585929,0.0033799999999999998,0.0904,0.1052,0.047740000000000005,0.0028441753344921154,0.0008994072121866344,0.0029400000000000016,0.0432,0.052,0.009580000000000002,0.0015068731421943476,0.00047651512742689147,0.00126,0.0072,0.0118
3x3_balanced_control,1,0,3,3,balanced_control,Balanced control,uniform,0.3333333333333333,0.1,135,135,10,5000,simple_welch,Simple Welch,1.0,0.95322,262.2836365487535,0.09788,0.004420356948884959,0.0013978396029428962,0.003640000000000003,0.0892,0.1032,0.04678,0.002794359397866431,0.0008836540298354578,0.003380000000000002,0.0428,0.0506,0.009019999999999999,0.0016233025322197681,0.0005133333333333333,0.00142,0.0066,0.0112
3x3_moderate_sparse,1,1,3,3,moderate_sparse,Moderate sparsity,dominant_0.70,0.7,0.1,72,72,10,5000,expanded_welch,Expanded Welch,1.0,0.9561399999999999,23.603779461727342,0.09419999999999999,0.005830189629086786,0.001843667841860651,0.006080000000000002,0.0842,0.1012,0.043859999999999996,0.0048470380417093666,0.0015327680117283818,0.006140000000000003,0.034,0.0498,0.00766,0.0018476411387977315,0.000584275429722813,0.0024600000000000004,0.004,0.0106
3x3_moderate_sparse,1,1,3,3,moderate_sparse,Moderate sparsity,dominant_0.70,0.7,0.1,72,72,10,5000,normal_wald,Normal Wald,1.0,0.9461600000000001,,0.10642,0.00516780632592033,0.001634203849653469,0.0068199999999999945,0.098,0.1122,0.05384,0.005291334635252454,0.0016732669309534034,0.005399999999999999,0.0438,0.0604,0.01178,0.002546369965264278,0.0008052328855678957,0.00278,0.0074,0.015
3x3_moderate_sparse,1,1,3,3,moderate_sparse,Moderate sparsity,dominant_0.70,0.7,0.1,72,72,10,5000,simple_welch,Simple Welch,1.0,0.9487400000000001,136.8755332627124,0.1038,0.005309948733797301,0.0016791532257526575,0.005559999999999997,0.0944,0.1098,0.05126000000000001,0.005321695636208862,0.0016828679224598834,0.004339999999999998,0.0406,0.0578,0.01004,0.0021618921753357124,0.0006836503329756944,0.00152,0.0056,0.0124
3x3_ultra_sparse,1,2,3,3,ultra_sparse,Ultra-sparsity,dominant_0.90,0.9,0.1,50,50,10,5000,expanded_welch,Expanded Welch,0.98062,0.942448837952169,20.459338713619864,0.1131870275532243,0.00957990512731626,0.003029431997064472,0.013538334742766783,0.09824346405228758,0.13129459734964322,0.057551162047830964,0.006919365705404622,0.0021880955592736254,0.008237436557634887,0.04656862745098039,0.07013251783893985,0.013888244434678556,0.0029489524365210523,0.0009325406410909633,0.003927460120953066,0.00980392156862745,0.019367991845056064
3x3_ultra_sparse,1,2,3,3,ultra_sparse,Ultra-sparsity,dominant_0.90,0.9,0.1,50,50,10,5000,normal_wald,Normal Wald,0.9999,0.9228929981018213,,0.1390933876955463,0.008782030852126236,0.002777121997458827,0.0390933876955463,0.12725090036014405,0.1578,0.07710700189817875,0.008356977965035808,0.0026427084725352138,0.027107001898178752,0.062224889955982396,0.091,0.019561596440936847,0.003607953578873719,0.0011409351001396913,0.009561596440936848,0.014402880576115223,0.0256
