regime,regime_label,method,method_label,nominal_alpha,population_pairs,mean_rejection_rate,median_rejection_rate,p10_rejection_rate,p90_rejection_rate,minimum_rejection_rate,maximum_rejection_rate,mean_absolute_calibration_error
balanced_control,Balanced control,normal_wald,Normal Wald,0.09,40,0.08759,0.0875,0.08016,0.09336000000000001,0.0782,0.0976,0.00434
balanced_control,Balanced control,normal_wald,Normal Wald,0.091,40,0.088505,0.08810000000000001,0.08076,0.09418,0.0788,0.0992,0.004384999999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.092,40,0.08936999999999999,0.0894,0.08138,0.09534000000000001,0.0798,0.1,0.004500000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.093,40,0.090325,0.0901,0.08236,0.0973,0.0808,0.1004,0.004535
balanced_control,Balanced control,normal_wald,Normal Wald,0.094,40,0.0912,0.0912,0.08318,0.09822,0.0818,0.1012,0.00466
balanced_control,Balanced control,normal_wald,Normal Wald,0.095,40,0.09213,0.0924,0.08476,0.09902000000000001,0.0828,0.1018,0.004570000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.096,40,0.093115,0.0935,0.08674,0.1,0.0842,0.1032,0.004575000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.097,40,0.09408,0.09490000000000001,0.08789999999999999,0.10066,0.085,0.104,0.004590000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.098,40,0.095045,0.096,0.0888,0.10162,0.0854,0.1044,0.004465000000000002
balanced_control,Balanced control,normal_wald,Normal Wald,0.099,40,0.09607,0.09670000000000001,0.08976,0.1028,0.0868,0.105,0.0044900000000000035
balanced_control,Balanced control,normal_wald,Normal Wald,0.1,40,0.097195,0.0979,0.09058,0.10344,0.0876,0.1062,0.004395000000000003
balanced_control,Balanced control,simple_welch,Simple Welch,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_control,Balanced control,simple_welch,Simple Welch,0.001,40,0.000705,0.0006,0.0002,0.0014200000000000003,0.0,0.0018,0.000465
balanced_control,Balanced control,simple_welch,Simple Welch,0.002,40,0.0014500000000000001,0.0014,0.0004,0.0024200000000000003,0.0004,0.003,0.00075
