scenario_id,configuration_id,population_replication,shape_index,design_index,rows,columns,n_p,n_q,target_mi,regime,regime_label,margin_profile,method,method_label,valid_replicates,valid_rate,nominal_alpha,rejections,rejection_rate,rejection_rate_low,rejection_rate_high,absolute_calibration_error
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.0,0,0.0,0.0,0.0007677019450571244,0.0
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.001,1,0.0002,3.530578343936526e-05,0.0011320890808397363,0.0008
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.002,4,0.0008,0.00031114697610156263,0.0020553266458434704,0.0012000000000000001
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.003,6,0.0012,0.0005500831677591556,0.002615776292629832,0.0018000000000000002
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.004,12,0.0024,0.0013734655564128324,0.004190551419308018,0.0016000000000000003
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.005,14,0.0028,0.0016686770757911352,0.00469472573837367,0.0022
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.006,17,0.0034,0.0021239367958294426,0.0054385447760012945,0.0026000000000000003
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.007,23,0.0046,0.003067252025343836,0.0068933870618187645,0.0024000000000000002
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.008,27,0.0054,0.003713941481738111,0.007845469282312398,0.0026
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.009,32,0.0064,0.004537188108410646,0.009020687251749749,0.002599999999999999
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.01,39,0.0078,0.005711256209150136,0.010644469585564097,0.0022000000000000006
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.011,40,0.008,0.005880681725099648,0.010874736988836564,0.002999999999999999
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.012,47,0.0094,0.007076557215688711,0.012476711932801345,0.0026
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.013,53,0.0106,0.008113451615220025,0.013837975048601892,0.0023999999999999994
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.014,59,0.0118,0.009159421922706208,0.015190162256447572,0.0022000000000000006
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,simple_welch,Simple Welch,5000,1.0,0.015,65,0.013,0.010213148925363891,0.01653459276912175,0.002
