k,shape,nu0,entropy,N,lam_min,lam_tp,mu,sigma2,nu,a
4,strong_skew,9,1.7921113328010545,200,0.5000000000000001,0.23022959183673472,9.557692261216687,18.638843075703036,9.802054879597268,0.9750702662470075
4,strong_skew,9,1.7921113328010545,246,0.6150000000000001,0.2831823979591837,9.601024928700108,19.3588924584823,9.523238984793412,1.0081680134280893
4,strong_skew,9,1.7921113328010545,304,0.7600000000000001,0.34994897959183674,9.328252802147988,18.197629195140518,9.563476583424237,0.9754039465434624
4,strong_skew,9,1.7921113328010545,375,0.9375000000000002,0.4316804846938776,9.429452842538682,18.197544211043148,9.772151657222315,0.9649310789778467
4,strong_skew,9,1.7921113328010545,462,1.1550000000000002,0.5318303571428572,9.267675095173422,18.14282841137003,9.468182107247504,0.9788230718629077
4,strong_skew,9,1.7921113328010545,570,1.4250000000000003,0.6561543367346939,9.255792199462206,18.190258657615356,9.419293133993978,0.9826419103635599
4,strong_skew,9,1.7921113328010545,702,1.7550000000000003,0.8081058673469388,9.30127220735787,18.95750770655971,9.127113755088422,1.0190814376749007
4,strong_skew,9,1.7921113328010545,866,2.1650000000000005,0.9968941326530613,9.212755454539943,19.140552451917443,8.868590734605778,1.0388071487605368
4,strong_skew,9,1.7921113328010545,1067,2.6675000000000004,1.2282748724489796,9.23016883785813,18.4132468916472,9.253774445832773,0.9974490832780917
4,strong_skew,9,1.7921113328010545,1316,3.2900000000000005,1.5149107142857143,9.085007405396196,18.077047933124724,9.131729899864977,0.9948835001712576
4,strong_skew,9,1.7921113328010545,1622,4.055000000000001,1.8671619897959184,9.081139321556657,18.734086423198338,8.80396188152563,1.0314832621677588
4,strong_skew,9,1.7921113328010545,2000,5.000000000000001,2.302295918367347,9.055371286044426,19.186085183025565,8.547835407367547,1.059375953617383
4,strong_skew,9,1.7921113328010545,3634,9.085000000000003,4.183271683673469,9.065964701626523,18.485873186510606,8.892381240731924,1.0195204699613523
4,strong_skew,9,1.7921113328010545,6604,16.51,7.60218112244898,9.02471938945293,18.954490328833554,8.593801114712406,1.0501429191795935
4,strong_skew,9,1.7921113328010545,12000,30.000000000000007,13.813775510204083,8.994622245742114,18.397577809165586,8.79498705566483,1.022698747458497
5,uniform,16,2.321928094887362,12,0.4800000000000001,0.019200000000000002,15.182781381436243,15.0704032742665,30.591994956114622,0.4962991594113597
5,uniform,16,2.321928094887362,15,0.6000000000000001,0.024000000000000004,16.87096020657396,16.580041998380988,34.333965899434475,0.4913781372064521
5,uniform,16,2.321928094887362,19,0.7600000000000001,0.030400000000000007,18.334305462033377,20.380315512610853,32.98739477974689,0.555797315442746
5,uniform,16,2.321928094887362,23,0.9200000000000002,0.036800000000000006,19.093622212205418,22.86675455937991,31.886152294653417,0.5988060909878733
5,uniform,16,2.321928094887362,29,1.1600000000000001,0.04640000000000001,19.74757693248252,26.77976404749443,29.123990339325026,0.6780518981912349
5,uniform,16,2.321928094887362,36,1.4400000000000004,0.05760000000000001,19.764914382639034,32.25466763744152,24.22296487095586,0.8159576867626896
5,uniform,16,2.321928094887362,44,1.7600000000000002,0.07040000000000002,19.64951220665603,36.36027441367127,21.237646645172266,0.9252207899938267
5,uniform,16,2.321928094887362,54,2.1600000000000006,0.08640000000000002,19.215573841485245,39.866715861957616,18.523636576240467,1.0373542885273563
5,uniform,16,2.321928094887362,67,2.6800000000000006,0.10720000000000002,18.449898290057316,40.86151548074688,16.661092615316672,1.1073642477142334
5,uniform,16,2.321928094887362,82,3.2800000000000007,0.1312,18.11128682568597,42.24802740246108,15.528237915465755,1.166345268811702
5,uniform,16,2.321928094887362,101,4.040000000000001,0.16160000000000002,17.39328765350213,38.03033183890089,15.909745761829932,1.0932473663552473
5,uniform,16,2.321928094887362,125,5.000000000000001,0.20000000000000004,17.135170839231325,37.970148519991206,15.46552179194434,1.107959438404249
5,uniform,16,2.321928094887362,227,9.080000000000002,0.3632000000000001,16.404451528601918,33.35418978898424,16.136265438120542,1.0166200842140218
5,uniform,16,2.321928094887362,413,16.520000000000003,0.6608000000000002,16.2659550719033,32.107750482201304,16.48083658478942,0.986961735116988
5,uniform,16,2.321928094887362,750,30.000000000000007,1.2000000000000002,16.26296225876439,31.737992880972318,16.666708724896047,0.9757752731630478
5,mild_skew,16,2.268995593589281,17,0.17000000000000004,0.022032000000000003,16.53939163446593,19.787943903755146,27.648297060952334,0.5982065223765444
