scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,lrt_convergence_rate,lrt_fallback_rate,lrt_median_iterations,lrt_max_constraint_residual,lrt_mean_seconds_per_fit,audited_replicates,audit_max_statistic_difference,audit_mean_statistic_difference
config_3x3_d3_p06,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,6,0.1,2899510254,200,1.0,0.0,43.0,4.624178817635993e-11,0.01144444412784651,10,0.2846794594699986,0.028468369828686946
config_3x3_d3_p07,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,7,0.1,1883776853,200,1.0,0.0,42.0,8.052733480035101e-11,0.014074854395585135,10,0.3720357028516901,0.03720373343023198
config_3x3_d3_p08,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,8,0.1,340464655,200,1.0,0.005,43.5,8.95585272608912e-11,0.012274147488642483,10,0.023479857695122064,0.002376827576102869
config_3x3_d3_p09,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,9,0.1,3511978456,200,1.0,0.0,41.0,5.1326443095689456e-11,0.01269470292958431,10,0.0,0.0
config_5x5_d0_p00,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,0,0.1,194631292,200,1.0,0.0,56.0,6.659373052997353e-11,0.019396361033432185,10,6.45741238258779e-10,1.1032170732505619e-10
config_5x5_d0_p01,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,1,0.1,2913224147,200,1.0,0.005,57.0,5.007022574332609e-12,0.0221364700072445,10,1.3405951904132962e-09,1.4606484910473227e-10
config_5x5_d0_p02,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,2,0.1,1513447958,200,1.0,0.0,58.0,2.440664337299836e-11,0.019083488093456252,10,9.576979209668934e-10,2.0936568034812807e-10
config_5x5_d0_p03,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,3,0.1,847804966,200,1.0,0.0,57.0,9.299039316346125e-11,0.021348923479672523,10,2.333763404749334e-09,2.534761733841151e-10
config_5x5_d0_p04,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,4,0.1,1498431838,200,1.0,0.0,57.0,8.655814953684171e-11,0.021776072497013955,10,1.0913936421275139e-10,2.6921043172478677e-11
config_5x5_d0_p05,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,5,0.1,3208255667,200,1.0,0.0,56.0,6.886637093916903e-11,0.018542952082352713,10,1.0350049706175923e-09,1.27965904539451e-10
config_5x5_d0_p06,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,6,0.1,2556580684,200,1.0,0.005,57.0,9.923563359937049e-11,0.025376884347060695,10,2.256456355098635e-09,2.786691766232252e-10
config_5x5_d0_p07,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,7,0.1,2385312116,200,1.0,0.0,57.0,9.753856056171628e-11,0.018694031679769976,10,3.5561242839321494e-10,5.5570126278325917e-11
config_5x5_d0_p08,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,8,0.1,2772416322,200,1.0,0.0,55.0,9.84571035811399e-11,0.019455520986812188,10,4.6075001591816545e-09,5.041329131927341e-10
config_5x5_d0_p09,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,9,0.1,1167221350,200,1.0,0.0,57.0,2.5546897930439627e-11,0.021678302459185943,10,2.562046574894339e-09,3.03134584100917e-10
config_5x5_d1_p00,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,0,0.1,2411834051,200,1.0,0.0,58.0,9.294870428888657e-12,0.023382407661993055,10,6.983612820476992e-06,6.983612820476992e-07
config_5x5_d1_p01,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,1,0.1,1646146907,200,1.0,0.0,60.0,5.5439153268110886e-11,0.023590876669622958,10,1.3738571851718007e-05,2.562921940807428e-06
config_5x5_d1_p02,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,2,0.1,580191369,200,1.0,0.0,61.0,5.743713837880193e-11,0.025485154626658187,10,8.727643489692127e-06,1.0436401908009429e-06
config_5x5_d1_p03,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,3,0.1,2742270206,200,1.0,0.0,58.0,1.0049544529877608e-11,0.023678939192323015,10,3.855493332594051e-06,3.861085360767902e-07
config_5x5_d1_p04,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,4,0.1,1368083900,200,1.0,0.0,60.0,7.33798022345411e-11,0.023035017679212615,10,7.452191516676976e-05,7.528274159085413e-06
config_5x5_d1_p05,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,5,0.1,186163868,200,1.0,0.0,59.0,1.632161072961935e-11,0.019645303395809607,10,0.00789041789039402,0.0007963028434232911
config_5x5_d1_p06,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,6,0.1,4167625544,200,1.0,0.0,60.0,9.714817839068246e-11,0.022934886866714806,10,7.788670700392686e-06,7.788670700392686e-07
config_5x5_d1_p07,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,7,0.1,3401443439,200,1.0,0.0,58.0,9.275386014806486e-12,0.027221936845453456,10,3.639518854470225e-05,3.970409534304054e-06
config_5x5_d1_p08,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,8,0.1,2020052833,200,1.0,0.0,58.0,1.7361861948117507e-11,0.02328099647304043,10,5.81186532144784e-06,1.0891688816627721e-06
config_5x5_d1_p09,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,9,0.1,3798690564,200,1.0,0.0,58.0,2.086485151320261e-11,0.020876698142383247,10,6.657594212811091e-06,1.5910754882497713e-06
config_5x5_d2_p00,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,0,0.1,1714150049,200,1.0,0.035,46.5,2.912042829095185e-11,0.0366729099676013,10,0.004663234369701286,0.00047354308306353233
config_5x5_d2_p01,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,1,0.1,1433816043,200,1.0,0.085,41.0,6.160326415649564e-11,0.05345177809591405,10,0.013907441355570427,0.001511830421839022
config_5x5_d2_p02,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,2,0.1,1644620237,200,1.0,0.04,42.0,2.4012486443680814e-11,0.041480203577084464,10,0.028024230177095433,0.0028025138966313533
config_5x5_d2_p03,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,3,0.1,3677510468,200,0.995,0.045,41.0,9.230446962327221e-11,0.041161226476542655,10,0.0002738518731462136,4.0450380816992036e-05
config_5x5_d2_p04,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,4,0.1,223836908,200,1.0,0.05,43.0,5.3098608843171746e-11,0.04640793766593561,10,4.8712310274368065e-06,4.958760825957143e-07
config_5x5_d2_p05,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,5,0.1,1420719987,200,1.0,0.04,41.0,2.4354851468899597e-11,0.03802846293780021,10,0.00038451751464663175,7.336744066321899e-05
config_5x5_d2_p06,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,6,0.1,2494703454,200,1.0,0.06,43.0,3.877276277819419e-11,0.04403309624758549,10,2.2587228528436754e-05,2.2954645061190603e-06
config_5x5_d2_p07,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,7,0.1,64536919,200,0.995,0.08,41.0,6.840197852575614e-11,0.04014811684959568,10,0.0013807659848339426,0.00017848631698598184
config_5x5_d2_p08,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,8,0.1,2379751850,200,0.995,0.065,42.0,4.201067271836223e-11,0.048252819158369674,10,0.00986938117918612,0.0010914737462911716
