configuration_id,rows,columns,condition,condition_label,n_p,n_q,method,method_label,population_pairs,mean_valid_rate,mean_fpr_10,configuration_mae_10,population_sd_fpr_10,mean_fpr_05,configuration_mae_05,population_sd_fpr_05,mean_fpr_01,configuration_mae_01,population_sd_fpr_01
8x8_balanced_control,8,8,balanced_control,Balanced control,960,960,constrained_lrt,Constrained LRT,10,1.0,0.10250000000000001,0.020499999999999997,0.02519369409638496,0.05500000000000001,0.015000000000000003,0.01715938356831167,0.009000000000000001,0.004,0.005676462121975467
8x8_moderate_sparse,8,8,moderate_sparse,Moderate sparsity,512,512,normal_wald,Normal Wald,10,1.0,0.07849999999999999,0.023500000000000004,0.021479964825131554,0.038500000000000006,0.020500000000000004,0.023576117859675994,0.006,0.007000000000000001,0.0073786478737262184
8x8_moderate_sparse,8,8,moderate_sparse,Moderate sparsity,512,512,simple_welch,Simple Welch,10,1.0,0.07849999999999999,0.023500000000000004,0.021479964825131554,0.038500000000000006,0.020500000000000004,0.023576117859675994,0.006,0.007000000000000001,0.0073786478737262184
8x8_moderate_sparse,8,8,moderate_sparse,Moderate sparsity,512,512,expanded_welch,Expanded Welch,10,1.0,0.076,0.025000000000000005,0.02221110833194357,0.037500000000000006,0.020500000000000008,0.022515426810177163,0.0055000000000000005,0.0075,0.007245688373094719
8x8_moderate_sparse,8,8,moderate_sparse,Moderate sparsity,512,512,constrained_lrt,Constrained LRT,10,1.0,0.0785,0.022500000000000003,0.019867617426914137,0.038500000000000006,0.019500000000000007,0.02249073883475893,0.0055000000000000005,0.0075,0.007245688373094719
8x8_ultra_sparse,8,8,ultra_sparse,Ultra-sparsity,192,192,normal_wald,Normal Wald,10,1.0,0.07949999999999999,0.024500000000000004,0.01770906861218599,0.03500000000000001,0.017,0.011303883305208779,0.008000000000000002,0.004999999999999999,0.005868938953886337
8x8_ultra_sparse,8,8,ultra_sparse,Ultra-sparsity,192,192,simple_welch,Simple Welch,10,1.0,0.07899999999999999,0.025000000000000005,0.01807392228230128,0.03450000000000001,0.0175,0.011890705987824646,0.0075000000000000015,0.0055,0.006346477588219924
8x8_ultra_sparse,8,8,ultra_sparse,Ultra-sparsity,192,192,expanded_welch,Expanded Welch,10,1.0,0.07400000000000001,0.029000000000000005,0.018826694995257253,0.030500000000000006,0.021500000000000005,0.014230249470757706,0.004999999999999999,0.007000000000000001,0.006236095644623236
8x8_ultra_sparse,8,8,ultra_sparse,Ultra-sparsity,192,192,constrained_lrt,Constrained LRT,10,0.999,0.0765678391959799,0.0274321608040201,0.019842775415518984,0.029522613065326636,0.020477386934673367,0.010384219432425628,0.005,0.007000000000000001,0.0062360956446232355
8x8_ultra_imbalanced,8,8,ultra_imbalanced,Ultra-sparsity with imbalance,192,960,normal_wald,Normal Wald,10,1.0,0.3365,0.2365,0.05364751210965477,0.24050000000000002,0.1905,0.03654905379532188,0.11950000000000001,0.1095,0.021141060627235444
8x8_ultra_imbalanced,8,8,ultra_imbalanced,Ultra-sparsity with imbalance,192,960,simple_welch,Simple Welch,10,1.0,0.3345,0.2345,0.05408070101452293,0.23700000000000002,0.187,0.03368151487751768,0.11599999999999999,0.10600000000000001,0.016295875415440423
8x8_ultra_imbalanced,8,8,ultra_imbalanced,Ultra-sparsity with imbalance,192,960,expanded_welch,Expanded Welch,10,1.0,0.32300000000000006,0.223,0.04939635614091389,0.2145,0.16450000000000004,0.026188419832691955,0.08449999999999999,0.07450000000000001,0.01674149867179691
8x8_ultra_imbalanced,8,8,ultra_imbalanced,Ultra-sparsity with imbalance,192,960,constrained_lrt,Constrained LRT,10,0.9924999999999999,0.1880141051020448,0.08801410510204478,0.024390758964871705,0.10986456759321081,0.05986456759321081,0.021492780568252955,0.034230156220105966,0.02423015622010597,0.012452490234955739
