configuration_id,pair_id,shape,rows,columns,profile,dominant_p,dominant_q,constructor,pattern,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,signed_mi_difference_q_minus_p,absolute_mi_difference,n_p,n_q,replicates,simulation_seed
config_5983708f996cb2af,pair_e7d4865bbfc38b41,2x2,2,2,different_skew,,,additive,first,0.0,0.02,0.0,0.01999999999999995,0.01999999999999995,0.01999999999999995,2,2,200,3020692759832572203
config_5a9a0bf5bb4d2d90,pair_e56962af110cd109,8x8,8,8,different_skew,,,additive,spread,0.0001,0.0021,0.00010000000000019871,0.002099999999999833,0.001999999999999634,0.001999999999999634,1000,1000,200,7436541607849636397
config_5abd2daf2de06412,pair_40257b980c2277a5,3x3,3,3,same_skew,,,additive,first,0.02,0.02,0.019999999999999858,0.019999999999999858,0.0,0.0,50000,50000,200,8405242974494806095
config_5b7abedb47fae28b,pair_535f2ae31638c331,3x3,3,3,uniform,,,loglinear,first,0.02,0.02,0.01999999999999974,0.01999999999999974,0.0,0.0,1000,1000,200,10796323665424370687
config_5c383040a59e8425,pair_84b4c2fa979853ff,8x8,8,8,different_skew,,,additive,first,0.0001,0.0001,9.999999999998935e-05,0.00010000000000011325,1.2389720326078102e-16,1.2389720326078102e-16,1000,1000,200,17930425003846547740
config_5c44b5454328232b,pair_a59d531ef70f539f,2x2,2,2,same_skew,,,additive,first,0.001,0.001,0.0010000000000000668,0.0010000000000000668,0.0,0.0,1000,1000,200,17999909084214338719
config_5d4037b363981cb4,pair_abcd1dc4ab79ae8e,3x5,3,5,same_skew,,,additive,first,0.02,0.04,0.01999999999999993,0.03999999999999993,0.02,0.02,20,20,200,181934104977445414
config_5dc6e5ccdeb7c4c3,pair_cfc98dcd7af4911c,3x3,3,3,custom_extreme,0.9,0.95,additive,rare,1e-05,0.00011,9.99999999998444e-06,0.00010999999999986095,9.999999999987651e-05,9.999999999987651e-05,10000,10000,200,13769730811415970653
config_5dea399ed57ce883,pair_cb93fe14c1323759,2x2,2,2,uniform,,,additive,first,0.0,0.02,0.0,0.01999999999999985,0.01999999999999985,0.01999999999999985,2,2,200,5728737138663028875
config_5dec6dee732dd792,pair_4804ab452a08bf90,8x8,8,8,uniform,,,loglinear,first,0.0001,0.0201,0.00010000000000038919,0.020100000000000298,0.01999999999999991,0.01999999999999991,20,20,200,13069346180749241486
config_5ea4f9eb413cd8a2,pair_256ab9b3d2111c19,8x8,8,8,custom_extreme,0.9,0.95,additive,first,1e-05,1e-05,9.99999999977034e-06,9.999999999955183e-06,1.8484291788162244e-16,1.8484291788162244e-16,1,1,200,18021663522553916635
config_601557d6681209eb,pair_fb6e4c79f03f599b,3x3,3,3,different_skew,,,additive,first,0.02,0.02,0.01999999999999983,0.019999999999999858,2.7755575615628914e-17,2.7755575615628914e-17,50000,50000,200,12939184679744976898
config_60eb13233a049433,pair_2d62ec2a6d8e6686,5x5,5,5,uniform,,,additive,first,0.04,0.02,0.03999999999999981,0.019999999999999993,-0.019999999999999813,0.019999999999999813,500,500,200,15669443186076448295
config_617be35d24acd8ce,pair_0e678b31b33a4770,5x5,5,5,same_skew,,,additive,first,0.02,0.02,0.019999999999999872,0.019999999999999872,0.0,0.0,50,50,200,17152561196896167211
config_619f1129cf55511d,pair_5fb4b798b2099807,8x8,8,8,custom_extreme,0.99,0.995,additive,first,1e-05,0.00021,1.0000000000052644e-05,0.0002100000000009362,0.00020000000000088355,0.00020000000000088355,1,1,200,7160770705314027994
