scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,fpr_05,fpr_01
config_3x3_d3_p01,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,796464720,20,simple_welch,Simple Welch,20,1.0,0.15,0.1,0.0
config_3x3_d3_p01,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,796464720,20,expanded_welch,Expanded Welch,20,1.0,0.15,0.1,0.0
config_3x3_d3_p01,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,796464720,20,constrained_lrt,Constrained LRT,20,1.0,0.2,0.15,0.1
config_5x5_d0_p00,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,0,0.1,478364860,20,normal_wald,Normal Wald,20,1.0,0.05,0.05,0.0
config_5x5_d0_p00,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,0,0.1,478364860,20,simple_welch,Simple Welch,20,1.0,0.05,0.05,0.0
config_5x5_d0_p00,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,0,0.1,478364860,20,expanded_welch,Expanded Welch,20,1.0,0.05,0.05,0.0
config_5x5_d0_p00,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,0,0.1,478364860,20,constrained_lrt,Constrained LRT,20,1.0,0.05,0.05,0.0
config_5x5_d0_p01,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,1,0.1,1317290562,20,normal_wald,Normal Wald,20,1.0,0.1,0.05,0.05
config_5x5_d0_p01,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,1,0.1,1317290562,20,simple_welch,Simple Welch,20,1.0,0.1,0.05,0.05
config_5x5_d0_p01,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,1,0.1,1317290562,20,expanded_welch,Expanded Welch,20,1.0,0.1,0.05,0.0
config_5x5_d0_p01,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,1,0.1,1317290562,20,constrained_lrt,Constrained LRT,20,1.0,0.1,0.05,0.05
config_5x5_d1_p00,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,0,0.1,4095152891,20,normal_wald,Normal Wald,20,1.0,0.15,0.1,0.05
config_5x5_d1_p00,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,0,0.1,4095152891,20,simple_welch,Simple Welch,20,1.0,0.15,0.1,0.05
config_5x5_d1_p00,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,0,0.1,4095152891,20,expanded_welch,Expanded Welch,20,1.0,0.15,0.1,0.05
config_5x5_d1_p00,5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,0,0.1,4095152891,20,constrained_lrt,Constrained LRT,20,1.0,0.15,0.1,0.05
