configuration_id,rows,columns,condition,condition_label,n_p,n_q,method,method_label,population_pairs,mean_valid_rate,mean_fpr_10,configuration_mae_10,population_sd_fpr_10,mean_fpr_05,configuration_mae_05,population_sd_fpr_05,mean_fpr_01,configuration_mae_01,population_sd_fpr_01
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,simple_welch,Simple Welch,2,1.0,0.175,0.125,0.17677669529663687,0.175,0.125,0.17677669529663687,0.1,0.09,0.07071067811865475
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,expanded_welch,Expanded Welch,2,1.0,0.15,0.1,0.1414213562373095,0.15,0.1,0.1414213562373095,0.1,0.09,0.07071067811865475
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,constrained_lrt,Constrained LRT,2,1.0,0.175,0.075,0.10606601717798213,0.15,0.1,0.1414213562373095,0.075,0.075,0.10606601717798213
3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,normal_wald,Normal Wald,2,1.0,0.07500000000000001,0.025,0.03535533905932738,0.025,0.025,0.03535533905932738,0.0,0.01,0.0
3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,simple_welch,Simple Welch,2,1.0,0.07500000000000001,0.025,0.03535533905932738,0.025,0.025,0.03535533905932738,0.0,0.01,0.0
3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,expanded_welch,Expanded Welch,2,1.0,0.07500000000000001,0.025,0.03535533905932738,0.025,0.025,0.03535533905932738,0.0,0.01,0.0
3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,constrained_lrt,Constrained LRT,2,1.0,0.07500000000000001,0.025,0.03535533905932738,0.025,0.025,0.03535533905932738,0.0,0.01,0.0
3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,normal_wald,Normal Wald,2,1.0,0.125,0.024999999999999994,0.03535533905932737,0.1,0.05,0.0,0.0,0.01,0.0
3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,simple_welch,Simple Welch,2,1.0,0.125,0.024999999999999994,0.03535533905932737,0.1,0.05,0.0,0.0,0.01,0.0
3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,expanded_welch,Expanded Welch,2,1.0,0.125,0.024999999999999994,0.03535533905932737,0.07500000000000001,0.025,0.03535533905932738,0.0,0.01,0.0
3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,constrained_lrt,Constrained LRT,2,1.0,0.125,0.024999999999999994,0.03535533905932737,0.1,0.05,0.0,0.0,0.01,0.0
3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,normal_wald,Normal Wald,2,1.0,0.175,0.075,0.03535533905932738,0.07500000000000001,0.025,0.03535533905932738,0.05,0.05,0.07071067811865477
3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,simple_welch,Simple Welch,2,1.0,0.175,0.075,0.03535533905932738,0.07500000000000001,0.025,0.03535533905932738,0.05,0.05,0.07071067811865477
3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,expanded_welch,Expanded Welch,2,0.925,0.1338235294117647,0.0338235294117647,0.02287698409721183,0.054411764705882354,0.004411764705882351,0.00623917748105777,0.029411764705882353,0.029411764705882353,0.04159451654038515
3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,constrained_lrt,Constrained LRT,2,1.0,0.125,0.024999999999999994,0.03535533905932737,0.07500000000000001,0.025,0.03535533905932738,0.025,0.025,0.03535533905932738
3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,normal_wald,Normal Wald,2,1.0,0.15,0.04999999999999999,0.0,0.125,0.075,0.03535533905932737,0.05,0.05,0.07071067811865477
3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,simple_welch,Simple Welch,2,1.0,0.15,0.04999999999999999,0.0,0.125,0.075,0.03535533905932737,0.05,0.05,0.07071067811865477
