configuration_id,anchor_configuration_id,configuration_label,sample_scale,n_p,n_q,mi_p,mi_q,mi_difference,minimum_expected_count,method,method_label,replicates,valid_count,valid_rate,reject_count,power,wilson_low,wilson_high
CURVE_CURVE_C1_N3_n50_di0p005_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.0300000000000003,0.0349999999996594,0.005,1.587063986477207,simple_welch,Simple Welch,5000,5000,1.0,154,0.0308,0.0263595083742369,0.0359609031310046
CURVE_CURVE_C1_N6_n100_di0p005_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.0049999999999995,0.0100000000001962,0.005,0.0311902378266299,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,43,0.0086,0.0063911756315949,0.0115633218400072
CURVE_CURVE_C1_N6_n100_di0p005_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.0049999999999995,0.0100000000001962,0.005,0.0311902378266299,expanded_welch,Expanded Welch,5000,4964,0.9928,52,0.0104754230459307,0.007997609309133,0.0137103014031171
CURVE_CURVE_C1_N6_n100_di0p005_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.0049999999999995,0.0100000000001962,0.005,0.0311902378266299,normal_wald,Normal Wald,5000,5000,1.0,423,0.0846,0.077201733034174,0.0926360737417793
CURVE_CURVE_C1_N6_n100_di0p005_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.0049999999999995,0.0100000000001962,0.005,0.0311902378266299,simple_welch,Simple Welch,5000,5000,1.0,412,0.0824,0.0750950492199433,0.0903461354445684
CURVE_CURVE_C1_N6_n200_di0p005_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.0049999999999995,0.0100000000001962,0.005,0.0623804756532599,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,66,0.0132,0.0103894488016411,0.0167579858120664
CURVE_CURVE_C1_N6_n200_di0p005_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.0049999999999995,0.0100000000001962,0.005,0.0623804756532599,expanded_welch,Expanded Welch,5000,5000,1.0,343,0.0686,0.0619196772693051,0.0759426959688901
CURVE_CURVE_C1_N6_n200_di0p005_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.0049999999999995,0.0100000000001962,0.005,0.0623804756532599,normal_wald,Normal Wald,5000,5000,1.0,1105,0.221,0.2097158117389482,0.2327125659463936
CURVE_CURVE_C1_N6_n200_di0p005_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.0049999999999995,0.0100000000001962,0.005,0.0623804756532599,simple_welch,Simple Welch,5000,5000,1.0,1097,0.2194,0.2081469458595942,0.2310838884719719
CURVE_CURVE_C1_N7_n1000_di0p005_scale1,C1_N7_n1000,Ultra-rare categories,1.0,1000,1000,0.0005000000000022,0.0054999999999981,0.005,0.3053664260238946,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,852,0.1704,0.1602324145498894,0.1810736545722922
CURVE_CURVE_C1_N7_n1000_di0p005_scale1,C1_N7_n1000,Ultra-rare categories,1.0,1000,1000,0.0005000000000022,0.0054999999999981,0.005,0.3053664260238946,expanded_welch,Expanded Welch,5000,4265,0.853,33,0.0077373974208675,0.0055148349046809,0.0108459176541617
CURVE_CURVE_C1_N7_n1000_di0p005_scale1,C1_N7_n1000,Ultra-rare categories,1.0,1000,1000,0.0005000000000022,0.0054999999999981,0.005,0.3053664260238946,normal_wald,Normal Wald,5000,4992,0.9984,138,0.0276442307692307,0.0234466488575765,0.0325682309434235
CURVE_CURVE_C1_N7_n1000_di0p005_scale1,C1_N7_n1000,Ultra-rare categories,1.0,1000,1000,0.0005000000000022,0.0054999999999981,0.005,0.3053664260238946,simple_welch,Simple Welch,5000,4992,0.9984,138,0.0276442307692307,0.0234466488575765,0.0325682309434235
