condition,condition_label,method,method_label,nominal_alpha,actual_rejection_rate
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.036000000000000004,0.020416666666666663
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.037,0.021666666666666664
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.038,0.023333333333333334
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.039,0.02375
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.04,0.02416666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.041,0.024583333333333336
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.042,0.025416666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.043000000000000003,0.025416666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.044,0.026250000000000002
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.045,0.02666666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.046,0.027083333333333338
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.047,0.02791666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.048,0.03041666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.049,0.03125
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.05,0.03208333333333334
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.051000000000000004,0.034166666666666665
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.052000000000000005,0.03583333333333333
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.053,0.03625
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.054,0.03666666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.055,0.03666666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.056,0.0375
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.057,0.03833333333333333
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.058,0.03916666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.059000000000000004,0.03916666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.06,0.04041666666666666
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.061,0.042083333333333334
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.062,0.04291666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.063,0.045000000000000005
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.064,0.04583333333333334
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.065,0.04583333333333334
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.066,0.046666666666666676
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.067,0.04791666666666666
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.068,0.04875
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.069,0.05
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.07,0.052500000000000005
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.07100000000000001,0.05458333333333334
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.07200000000000001,0.055
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.073,0.05583333333333333
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.074,0.057083333333333326
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.075,0.057916666666666665
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.076,0.05875
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.077,0.06041666666666666
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.078,0.06125
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.079,0.0625
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.08,0.0625
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.081,0.06333333333333332
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.082,0.06374999999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.083,0.06416666666666666
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.084,0.06541666666666666
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.085,0.06624999999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.08600000000000001,0.06624999999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.08700000000000001,0.06749999999999999
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.088,0.06791666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.089,0.06958333333333333
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.09,0.07041666666666666
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.091,0.07041666666666666
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.092,0.07166666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.093,0.07291666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.094,0.07416666666666667
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.095,0.07458333333333333
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.096,0.07583333333333334
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.097,0.07666666666666666
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.098,0.0775
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.099,0.07833333333333332
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.1,0.07875
