scenario_id,regime,rows,columns,n,margin_a,margin_b,target_mi_a,target_mi_b,pairing,pattern_a,pattern_b,true_mi_a,true_mi_b,true_delta,population_variance_a,population_variance_b,population_covariance,population_score_correlation,coupling_margin_error_a,coupling_margin_error_b,min_expected_joint_a,min_expected_joint_b,expected_joint_below_1_a,expected_joint_below_1_b,expected_joint_below_5_a,expected_joint_below_5_b,condition_distribution_l1,replicates,scenario_seed,simulation_and_test_seconds,mean_test_microseconds
balanced_2x2_n500_pair04,balanced_2x2,2,2,500,balanced,balanced,0.1,0.1,0.4,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.07180860544519646,0.4,5.551115123125783e-17,5.551115123125783e-17,70.05134345964754,70.05134345964754,0.0,0.0,0.0,0.0,0.0,5000,2169915022,0.0035437499172985554,0.7087499834597111
balanced_2x2_n500_pair08,balanced_2x2,2,2,500,balanced,balanced,0.1,0.1,0.8,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.14361721089039292,0.8,0.0,0.0,70.05134345964754,70.05134345964754,0.0,0.0,0.0,0.0,0.0,5000,1242217722,0.00374399998690933,0.748799997381866
balanced_2x2_n1000_pair00,balanced_2x2,2,2,1000,balanced,balanced,0.1,0.1,0.0,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.0,0.0,0.0,0.0,140.10268691929508,140.10268691929508,0.0,0.0,0.0,0.0,0.0,5000,2321595447,0.0036793339531868696,0.7358667906373739
balanced_2x2_n1000_pair04,balanced_2x2,2,2,1000,balanced,balanced,0.1,0.1,0.4,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.07180860544519646,0.4,5.551115123125783e-17,5.551115123125783e-17,140.10268691929508,140.10268691929508,0.0,0.0,0.0,0.0,0.0,5000,766335664,0.0035278749419376254,0.7055749883875251
balanced_2x2_n1000_pair08,balanced_2x2,2,2,1000,balanced,balanced,0.1,0.1,0.8,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.14361721089039292,0.8,0.0,0.0,140.10268691929508,140.10268691929508,0.0,0.0,0.0,0.0,0.0,5000,2385192156,0.003411084064282477,0.6822168128564954
weak_2x2_n50_pair00,weak_2x2,2,2,50,balanced,strong,0.05,0.05,0.0,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,3.2526065174565133e-19,2.9333588968495327e-18,5.551115123125783e-17,6.938893903907228e-18,8.580460040875844,2.264633774906262,0.0,0.0,0.0,0.75,1.0338037526313446,5000,3666365820,0.00381966691929847,0.763933383859694
weak_2x2_n50_pair04,weak_2x2,2,2,50,balanced,strong,0.05,0.05,0.4,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,0.016005888185071614,0.14434889144344945,2.7755575615628914e-17,1.1102230246251565e-16,8.580460040875844,2.264633774906262,0.0,0.0,0.0,0.75,1.0338037526313446,5000,2369638403,0.003585166996344924,0.7170333992689848
weak_2x2_n50_pair08,weak_2x2,2,2,50,balanced,strong,0.05,0.05,0.8,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,0.032011776370143234,0.28869778288689896,5.551115123125783e-17,1.1102230246251565e-16,8.580460040875844,2.264633774906262,0.0,0.0,0.0,0.75,1.0338037526313446,5000,303564736,0.0037463330663740635,0.7492666132748127
weak_2x2_n100_pair00,weak_2x2,2,2,100,balanced,strong,0.05,0.05,0.0,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,3.2526065174565133e-19,2.9333588968495327e-18,5.551115123125783e-17,6.938893903907228e-18,17.160920081751687,4.529267549812524,0.0,0.0,0.0,0.25,1.0338037526313446,5000,2722004780,0.003961792099289596,0.7923584198579192
weak_2x2_n100_pair04,weak_2x2,2,2,100,balanced,strong,0.05,0.05,0.4,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,0.016005888185071614,0.14434889144344945,2.7755575615628914e-17,1.1102230246251565e-16,17.160920081751687,4.529267549812524,0.0,0.0,0.0,0.25,1.0338037526313446,5000,1291285890,0.003723875037394464,0.7447750074788928
weak_2x2_n100_pair08,weak_2x2,2,2,100,balanced,strong,0.05,0.05,0.8,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,0.032011776370143234,0.28869778288689896,5.551115123125783e-17,1.1102230246251565e-16,17.160920081751687,4.529267549812524,0.0,0.0,0.0,0.25,1.0338037526313446,5000,1076503944,0.003625083016231656,0.7250166032463312
weak_2x2_n200_pair00,weak_2x2,2,2,200,balanced,strong,0.05,0.05,0.0,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,3.2526065174565133e-19,2.9333588968495327e-18,5.551115123125783e-17,6.938893903907228e-18,34.321840163503374,9.058535099625049,0.0,0.0,0.0,0.0,1.0338037526313446,5000,3435209473,0.00344737502746284,0.689475005492568
