configuration_id,population_id,shape,rows,columns,experiment,profile,family,constructor,relationship,n_p,n_q,relative_effect,shared_reachable_mi,achieved_mi_p,achieved_mi_q,absolute_mi_difference,target_mi_p,target_mi_q,replicates,simulation_seed,nominal_alpha,method_a,method_b,both_reject,neither_rejects,only_method_a_rejects,only_method_b_rejects,rejection_rate_difference_a_minus_b,paired_standard_error,paired_95_low,paired_95_high
2x2_uniform_common_additive_e0.1_np500_nq50,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,500,50,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,14174769602509277487,0.05,expanded_welch,simple_welch,740,9143,32,85,-0.0053,0.0010804201639978204,-0.007417623521435728,-0.003182376478564272
2x2_uniform_common_additive_e0.3_np10_nq10,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,11365623788241509384,0.05,expanded_welch,normal_wald,617,7495,0,1888,-0.1888,0.003913692335732316,-0.19647083697803533,-0.18112916302196466
2x2_uniform_common_additive_e0.3_np10_nq10,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,11365623788241509384,0.05,simple_welch,normal_wald,2115,7495,0,390,-0.039,0.0019360461842328938,-0.042794650521096475,-0.035205349478903525
2x2_uniform_common_additive_e0.3_np10_nq10,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,11365623788241509384,0.05,expanded_welch,simple_welch,535,7803,82,1580,-0.1498,0.003791758661013954,-0.15723184697558734,-0.14236815302441264
2x2_uniform_common_additive_e0.3_np50_nq50,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,9469222965959427819,0.05,expanded_welch,normal_wald,3595,6261,0,144,-0.0144,0.0011913882409164778,-0.016735120952196297,-0.012064879047803703
2x2_uniform_common_additive_e0.3_np50_nq50,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,9469222965959427819,0.05,simple_welch,normal_wald,3652,6261,0,87,-0.0087,0.0009287180690205033,-0.010520287415280185,-0.006879712584719813
2x2_uniform_common_additive_e0.3_np50_nq50,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,9469222965959427819,0.05,expanded_welch,simple_welch,3595,6348,0,57,-0.0057,0.0007528663100232849,-0.0071756179676456385,-0.004224382032354362
2x2_uniform_common_additive_e0.3_np250_nq250,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,14896462595365391866,0.05,expanded_welch,normal_wald,9355,635,0,10,-0.001,0.00031608541725157126,-0.0016195274178130797,-0.0003804725821869204
2x2_uniform_common_additive_e0.3_np250_nq250,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,14896462595365391866,0.05,simple_welch,normal_wald,9362,635,0,3,-0.0003,0.0001731877576503027,-0.0006394480049945932,3.9448004994593314e-05
2x2_uniform_common_additive_e0.3_np250_nq250,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,14896462595365391866,0.05,expanded_welch,simple_welch,9355,638,0,7,-0.0007,0.00026449573871724277,-0.0012184116478857958,-0.00018158835211420422
2x2_uniform_common_additive_e0.3_np1000_nq1000,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,1000,1000,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,1743528326110443290,0.05,expanded_welch,normal_wald,10000,0,0,0,0.0,0.0,0.0,0.0
2x2_uniform_common_additive_e0.3_np1000_nq1000,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,1000,1000,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,1743528326110443290,0.05,simple_welch,normal_wald,10000,0,0,0,0.0,0.0,0.0,0.0
2x2_uniform_common_additive_e0.3_np1000_nq1000,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,1000,1000,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,1743528326110443290,0.05,expanded_welch,simple_welch,10000,0,0,0,0.0,0.0,0.0,0.0
2x2_uniform_common_additive_e0.3_np50_nq500,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,50,500,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,15091564417512091924,0.05,expanded_welch,normal_wald,6171,3422,0,407,-0.0407,0.0019760418705451095,-0.044573042066268415,-0.036826957933731586
2x2_uniform_common_additive_e0.3_np50_nq500,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,50,500,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,15091564417512091924,0.05,simple_welch,normal_wald,6484,3422,0,94,-0.0094,0.0009650166453033705,-0.011291432624794607,-0.007508567375205394
2x2_uniform_common_additive_e0.3_np50_nq500,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,50,500,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,15091564417512091924,0.05,expanded_welch,simple_welch,6171,3516,0,313,-0.0313,0.0017413598805024028,-0.03471306536578471,-0.027886934634215294
2x2_uniform_common_additive_e0.3_np500_nq50,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,500,50,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,5226815669764955137,0.05,expanded_welch,normal_wald,4473,5442,0,85,-0.0085,0.0009180736821892854,-0.010299424417091,-0.006700575582909001
2x2_uniform_common_additive_e0.3_np500_nq50,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,500,50,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,5226815669764955137,0.05,simple_welch,normal_wald,4385,5442,0,173,-0.0173,0.001303932906288667,-0.019855708496325786,-0.014744291503674213
2x2_uniform_common_additive_e0.3_np500_nq50,2x2_uniform_common_additive_e0.3,2x2,2,2,construction_check,uniform,common,additive,uniform,500,50,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,5226815669764955137,0.05,expanded_welch,simple_welch,4383,5525,90,2,0.0088,0.0009551686943799364,0.006927869359015325,0.010672130640984675
2x2_uniform_common_additive_e0.6_np10_nq10,2x2_uniform_common_additive_e0.6,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.6,0.576240331422414,0.11524806628448281,0.46099226513791913,0.3457441988534484,0.11524806628448281,0.46099226513793123,10000,12227345367419816530,0.05,expanded_welch,normal_wald,685,5476,0,3839,-0.3839,0.0048635834982494585,-0.39343262365656895,-0.3743673763434311
2x2_uniform_common_additive_e0.6_np10_nq10,2x2_uniform_common_additive_e0.6,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.6,0.576240331422414,0.11524806628448281,0.46099226513791913,0.3457441988534484,0.11524806628448281,0.46099226513793123,10000,12227345367419816530,0.05,simple_welch,normal_wald,4085,5476,0,439,-0.0439,0.0020488286336043304,-0.04791570412186449,-0.039884295878135516
2x2_uniform_common_additive_e0.6_np10_nq10,2x2_uniform_common_additive_e0.6,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.6,0.576240331422414,0.11524806628448281,0.46099226513791913,0.3457441988534484,0.11524806628448281,0.46099226513793123,10000,12227345367419816530,0.05,expanded_welch,simple_welch,599,5829,86,3486,-0.34,0.004915528073526196,-0.34963443502411135,-0.3303655649758887
