shape,profile,family,constructor,n_p,n_q,relative_effect,achieved_mi_p,achieved_mi_q,absolute_mi_difference,wald_rejection,wald_valid,welch_rejection,welch_valid,welch_minus_wald
3x3,uniform,common,additive,10,10,0.3,0.0512213627931035,0.1280534069827585,0.0768320441896551,0.1403,1.0,0.0412,0.9959,-0.09910000000000001
3x3,uniform,common,additive,50,50,0.3,0.0512213627931035,0.1280534069827585,0.0768320441896551,0.1866,1.0,0.1593,1.0,-0.02729999999999999
3x3,uniform,common,additive,250,250,0.3,0.0512213627931035,0.1280534069827585,0.0768320441896551,0.5928,1.0,0.5816,1.0,-0.011199999999999988
3x3,uniform,common,additive,1000,1000,0.3,0.0512213627931035,0.1280534069827585,0.0768320441896551,0.9949,1.0,0.9949,1.0,0.0
3x3,uniform,common,additive,50,500,0.3,0.0512213627931035,0.1280534069827585,0.0768320441896551,0.3484,1.0,0.1873,1.0,-0.1611
3x3,uniform,common,additive,500,50,0.3,0.0512213627931035,0.1280534069827585,0.0768320441896551,0.2267,1.0,0.1963,1.0,-0.03040000000000001
3x3,uniform,common,additive,10,10,0.6,0.0512213627931035,0.2048854511724085,0.1536640883793103,0.1633,1.0,0.0513,0.9928,-0.112
3x3,uniform,common,additive,50,50,0.6,0.0512213627931035,0.2048854511724085,0.1536640883793103,0.4739,1.0,0.4345,1.0,-0.03939999999999999
3x3,uniform,common,additive,250,250,0.6,0.0512213627931035,0.2048854511724085,0.1536640883793103,0.982,1.0,0.981,1.0,-0.0010000000000000009
3x3,uniform,common,additive,1000,1000,0.6,0.0512213627931035,0.2048854511724085,0.1536640883793103,1.0,1.0,1.0,1.0,0.0
3x3,uniform,common,additive,50,500,0.6,0.0512213627931035,0.2048854511724085,0.1536640883793103,0.7105,1.0,0.6406,1.0,-0.06990000000000007
3x3,uniform,common,additive,500,50,0.6,0.0512213627931035,0.2048854511724085,0.1536640883793103,0.632,1.0,0.5993,1.0,-0.03269999999999995
3x3,uniform,common,loglinear,10,10,0.0,0.0512213627931033,0.0512213627931033,0.0,0.1098,1.0,0.0335,0.9976,-0.07629999999999999
3x3,uniform,common,loglinear,50,50,0.0,0.0512213627931033,0.0512213627931033,0.0,0.0537,1.0,0.0379,1.0,-0.015799999999999995
3x3,uniform,common,loglinear,250,250,0.0,0.0512213627931033,0.0512213627931033,0.0,0.0434,1.0,0.037,1.0,-0.006400000000000003
3x3,uniform,common,loglinear,1000,1000,0.0,0.0512213627931033,0.0512213627931033,0.0,0.0488,1.0,0.0472,1.0,-0.0016000000000000042
3x3,uniform,common,loglinear,50,500,0.0,0.0512213627931033,0.0512213627931033,0.0,0.0876,1.0,0.0216,1.0,-0.066
3x3,uniform,common,loglinear,500,50,0.0,0.0512213627931033,0.0512213627931033,0.0,0.0888,1.0,0.0226,1.0,-0.06620000000000001
3x3,uniform,common,loglinear,10,10,0.1,0.0512213627931033,0.076832044189681,0.0256106813965517,0.1233,0.9999,0.0357,0.9968,-0.08760000000000001
3x3,uniform,common,loglinear,50,50,0.1,0.0512213627931033,0.076832044189681,0.0256106813965517,0.0682,1.0,0.0531,1.0,-0.015099999999999995
3x3,uniform,common,loglinear,250,250,0.1,0.0512213627931033,0.076832044189681,0.0256106813965517,0.121,1.0,0.1104,1.0,-0.010599999999999998
3x3,uniform,common,loglinear,1000,1000,0.1,0.0512213627931033,0.076832044189681,0.0256106813965517,0.3874,1.0,0.3818,1.0,-0.005600000000000049
3x3,uniform,common,loglinear,50,500,0.1,0.0512213627931033,0.076832044189681,0.0256106813965517,0.1447,1.0,0.0198,1.0,-0.1249
3x3,uniform,common,loglinear,500,50,0.1,0.0512213627931033,0.076832044189681,0.0256106813965517,0.0869,1.0,0.0524,1.0,-0.0345
3x3,uniform,common,loglinear,10,10,0.3,0.0512213627931033,0.1280534069827583,0.0768320441896551,0.1406,1.0,0.0427,0.9955,-0.0979
3x3,uniform,common,loglinear,50,50,0.3,0.0512213627931033,0.1280534069827583,0.0768320441896551,0.1617,1.0,0.1369,1.0,-0.024800000000000016
3x3,uniform,common,loglinear,250,250,0.3,0.0512213627931033,0.1280534069827583,0.0768320441896551,0.5738,1.0,0.5606,1.0,-0.01319999999999999
3x3,uniform,common,loglinear,1000,1000,0.3,0.0512213627931033,0.1280534069827583,0.0768320441896551,0.9927,1.0,0.9926,1.0,-9.999999999998899e-05
3x3,uniform,common,loglinear,50,500,0.3,0.0512213627931033,0.1280534069827583,0.0768320441896551,0.3514,1.0,0.1898,1.0,-0.1616
3x3,uniform,common,loglinear,500,50,0.3,0.0512213627931033,0.1280534069827583,0.0768320441896551,0.2094,1.0,0.1801,1.0,-0.029299999999999993
3x3,uniform,common,loglinear,10,10,0.6,0.0512213627931033,0.2048854511724185,0.1536640883793103,0.1815,0.9999,0.0628,0.9922,-0.1187
3x3,uniform,common,loglinear,50,50,0.6,0.0512213627931033,0.2048854511724185,0.1536640883793103,0.4116,1.0,0.3771,1.0,-0.03450000000000003
