configuration_id,experiment,shape,rows,columns,skewness,relationship,interaction_pair,n_p,n_q,sample_size_ratio_q_to_p,relative_effect,replicates,structural_breakdown,simulation_seed
calibration__2x2__strong__equal_mi_different_shape__primary__np100__nq100__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,100,100,1.0,0.0,10000,False,9979719217193032022
calibration__2x2__strong__equal_mi_different_shape__primary__np10__nq10__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,10,10,1.0,0.0,10000,False,7720722403395083685
calibration__2x2__strong__equal_mi_different_shape__primary__np12__nq12__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,12,12,1.0,0.0,10000,False,4451694582160515269
calibration__2x2__strong__equal_mi_different_shape__primary__np150__nq150__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,150,150,1.0,0.0,10000,False,14990557820345021746
calibration__2x2__strong__equal_mi_different_shape__primary__np15__nq15__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,15,15,1.0,0.0,10000,False,9684595083809117600
calibration__2x2__strong__equal_mi_different_shape__primary__np20__nq20__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,20,20,1.0,0.0,10000,False,1403359677134084609
calibration__2x2__strong__equal_mi_different_shape__primary__np250__nq250__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,250,250,1.0,0.0,10000,False,2511171790207844354
calibration__2x2__strong__equal_mi_different_shape__primary__np2__nq2__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,2,2,1.0,0.0,10000,False,16868934824628890140
calibration__2x2__strong__equal_mi_different_shape__primary__np30__nq30__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,30,30,1.0,0.0,10000,False,10650748956111304521
calibration__2x2__strong__equal_mi_different_shape__primary__np3__nq3__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,3,3,1.0,0.0,10000,False,5464616005224641475
calibration__2x2__strong__equal_mi_different_shape__primary__np4__nq4__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,4,4,1.0,0.0,10000,False,17190545233060101395
calibration__2x2__strong__equal_mi_different_shape__primary__np500__nq500__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,500,500,1.0,0.0,10000,False,16005754091121228565
calibration__2x2__strong__equal_mi_different_shape__primary__np50__nq50__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,50,50,1.0,0.0,10000,False,347994493449630283
calibration__2x2__strong__equal_mi_different_shape__primary__np5__nq5__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,5,5,1.0,0.0,10000,False,16533891431249501967
calibration__2x2__strong__equal_mi_different_shape__primary__np6__nq6__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,6,6,1.0,0.0,10000,False,17614411248655372483
calibration__2x2__strong__equal_mi_different_shape__primary__np75__nq75__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,75,75,1.0,0.0,10000,False,12249755856039160081
calibration__2x2__strong__equal_mi_different_shape__primary__np8__nq8__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,8,8,1.0,0.0,10000,False,5328107753897743010
calibration__2x2__strong__identical_distribution__primary__np1000__nq1000__e0,calibration,2x2,2,2,strong,identical_distribution,primary,1000,1000,1.0,0.0,10000,False,8052532009530073808
calibration__2x2__strong__identical_distribution__primary__np100__nq100__e0,calibration,2x2,2,2,strong,identical_distribution,primary,100,100,1.0,0.0,10000,False,1774704242420106202
calibration__2x2__strong__identical_distribution__primary__np10__nq10__e0,calibration,2x2,2,2,strong,identical_distribution,primary,10,10,1.0,0.0,10000,False,5655976539997704459
calibration__2x2__strong__identical_distribution__primary__np12__nq12__e0,calibration,2x2,2,2,strong,identical_distribution,primary,12,12,1.0,0.0,10000,False,10183082905240349465
calibration__2x2__strong__identical_distribution__primary__np150__nq150__e0,calibration,2x2,2,2,strong,identical_distribution,primary,150,150,1.0,0.0,10000,False,7339221886767216425
calibration__2x2__strong__identical_distribution__primary__np15__nq15__e0,calibration,2x2,2,2,strong,identical_distribution,primary,15,15,1.0,0.0,10000,False,7947334397752966687
calibration__2x2__strong__identical_distribution__primary__np20__nq20__e0,calibration,2x2,2,2,strong,identical_distribution,primary,20,20,1.0,0.0,10000,False,2497259591298949376
calibration__2x2__strong__identical_distribution__primary__np250__nq250__e0,calibration,2x2,2,2,strong,identical_distribution,primary,250,250,1.0,0.0,10000,False,11725542827004181930
calibration__2x2__strong__identical_distribution__primary__np2__nq2__e0,calibration,2x2,2,2,strong,identical_distribution,primary,2,2,1.0,0.0,10000,False,3896023473845973186
calibration__2x2__strong__identical_distribution__primary__np30__nq30__e0,calibration,2x2,2,2,strong,identical_distribution,primary,30,30,1.0,0.0,10000,False,12093548792071777946
calibration__2x2__strong__identical_distribution__primary__np3__nq3__e0,calibration,2x2,2,2,strong,identical_distribution,primary,3,3,1.0,0.0,10000,False,2073651594261684727
