configuration_id,alphabet_size,regime,sample_size,true_mi_difference,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
8x8_mild_n150_delta0.01,8,mild,150,0.01,250,0.07747789619299197,0.734375,0.9765625,1.0,151.27841650974005,171.08694147318602,57.0,2.0239039888458876e-09
8x8_mild_n150_delta0.02,8,mild,150,0.02,250,0.06708334499569822,0.734375,0.9765625,1.0,150.7591464323923,175.67711612209678,57.0,3.3810497457320565e-09
8x8_mild_n150_delta0.035,8,mild,150,0.035,250,0.05411720793913531,0.7265625,0.9765625,1.0,150.14947950839996,178.20967461448163,58.0,2.6575632805503346e-09
8x8_mild_n250_delta0.005,8,mild,250,0.005,250,0.1388810588435137,0.640625,0.828125,1.0,176.55550001654774,197.5262501044199,65.0,2.820530864422466e-09
8x8_mild_n250_delta0.01,8,mild,250,0.01,250,0.12912982698831996,0.640625,0.8359375,1.0,176.85920849908143,193.1648709345609,64.0,9.358738783937781e-10
8x8_mild_n250_delta0.02,8,mild,250,0.02,250,0.11180557499283036,0.6328125,0.8359375,1.0,178.1135005876422,194.08168750815094,64.0,2.743926919013262e-09
8x8_mild_n250_delta0.035,8,mild,250,0.035,250,0.09019534656522551,0.6328125,0.84375,1.0,177.985499962233,246.89903282560402,65.0,2.096271101148517e-09
8x8_mild_n500_delta0.005,8,mild,500,0.005,250,0.2777621176870274,0.3046875,0.765625,1.0,202.91402144357562,228.32002067007124,72.0,9.47862760503071e-10
8x8_mild_n500_delta0.01,8,mild,500,0.01,250,0.2582596539766399,0.3046875,0.765625,1.0,203.30927101895213,226.09094609506428,73.0,8.8685821186818e-10
8x8_mild_n500_delta0.02,8,mild,500,0.02,250,0.22361114998566073,0.3046875,0.7578125,1.0,206.43587550148368,232.14577485341576,73.0,8.182390737188072e-09
8x8_mild_n500_delta0.035,8,mild,500,0.035,250,0.18039069313045103,0.296875,0.765625,1.0,209.8999998997897,572.9434715118258,75.0,9.868610983954085e-09
8x8_mild_n1000_delta0.005,8,mild,1000,0.005,250,0.5555242353740548,0.0234375,0.6953125,1.0,255.89829206001014,274.48580460622907,84.0,5.701519673051436e-10
8x8_mild_n1000_delta0.01,8,mild,1000,0.01,250,0.5165193079532798,0.0234375,0.6953125,1.0,257.41806300356984,277.47393352910876,86.5,5.9772257976487e-10
8x8_mild_n1000_delta0.02,8,mild,1000,0.02,250,0.44722229997132146,0.0234375,0.6875,1.0,256.89389603212476,302.19104206189513,90.5,1.383985259728604e-09
8x8_mild_n1000_delta0.035,8,mild,1000,0.035,250,0.36078138626090206,0.03125,0.671875,1.0,267.4013124778867,509.8762417212128,107.5,6.019388876232767e-10
8x8_strong_n25_delta0.005,8,strong,25,0.005,250,0.0006251336745579183,0.984375,0.984375,0.996,388.94208311103284,924.7217244934293,115.0,9.987878046326115e-09
8x8_strong_n25_delta0.01,8,strong,25,0.01,250,0.0005359260631958885,0.984375,0.984375,1.0,283.4148126421496,904.1309538297355,102.5,9.917458539294988e-09
8x8_strong_n25_delta0.02,8,strong,25,0.02,250,0.000389016883481023,0.984375,0.984375,1.0,337.57120789960027,844.3537378218025,104.0,9.927000751801252e-09
8x8_strong_n25_delta0.035,8,strong,25,0.035,250,0.00023091034767805447,0.984375,0.984375,1.0,279.3588751228526,968.9639167161657,93.5,9.147132884468334e-09
8x8_strong_n50_delta0.005,8,strong,50,0.005,250,0.0012502673491158365,0.984375,0.984375,1.0,166.7915420839563,843.0640586419031,63.0,9.967069336536127e-09
8x8_strong_n50_delta0.01,8,strong,50,0.01,250,0.001071852126391777,0.984375,0.984375,1.0,151.62870904896408,739.5344914402812,57.5,7.088107573105518e-09
8x8_strong_n50_delta0.02,8,strong,50,0.02,250,0.000778033766962046,0.984375,0.984375,0.996,169.9947500601411,822.6604916155339,58.0,7.5055964776638e-09
8x8_strong_n50_delta0.035,8,strong,50,0.035,250,0.00046182069535610895,0.984375,0.984375,1.0,187.2008953941986,761.0455040121451,72.0,9.081387308818023e-09
8x8_strong_n75_delta0.005,8,strong,75,0.005,250,0.0018754010236737549,0.9765625,0.984375,0.992,158.4916455904022,765.025129588321,64.5,9.994084226860878e-09
8x8_strong_n75_delta0.01,8,strong,75,0.01,250,0.0016077781895876653,0.9765625,0.984375,0.996,145.3575841151178,689.886524900794,56.0,9.761927738383136e-09
8x8_strong_n75_delta0.02,8,strong,75,0.02,250,0.001167050650443069,0.9765625,0.984375,1.0,157.26897947024554,710.1445247186348,59.5,7.724099665429307e-09
8x8_strong_n75_delta0.035,8,strong,75,0.035,250,0.0006927310430341634,0.9765625,0.984375,0.996,145.70995792746544,774.3278745096177,60.0,3.990225705408079e-09
8x8_strong_n100_delta0.005,8,strong,100,0.005,250,0.002500534698231673,0.875,0.984375,1.0,143.26579147018492,557.246445911005,60.0,5.295839822228032e-09
8x8_strong_n100_delta0.01,8,strong,100,0.01,250,0.002143704252783554,0.8828125,0.984375,0.992,137.1716666035354,478.8601541426033,55.0,3.775408742578978e-09
8x8_strong_n100_delta0.02,8,strong,100,0.02,250,0.001556067533924092,0.890625,0.984375,1.0,138.77487496938556,491.15659962408245,55.0,8.670270848498696e-09
8x8_strong_n100_delta0.035,8,strong,100,0.035,250,0.0009236413907122179,0.890625,0.984375,1.0,139.82591649983078,505.02568790689105,55.0,9.028889434714582e-09
8x8_strong_n150_delta0.005,8,strong,150,0.005,250,0.0037508020473475097,0.828125,0.984375,1.0,141.06958359479904,282.02855444978906,58.0,4.43313484532748e-09
8x8_strong_n150_delta0.01,8,strong,150,0.01,250,0.0032155563791753305,0.828125,0.984375,1.0,134.64172941166908,290.90742024127394,60.0,5.748823472817577e-09
8x8_strong_n150_delta0.02,8,strong,150,0.02,250,0.002334101300886138,0.828125,0.984375,1.0,129.64787508826703,273.88699159491796,56.0,3.968124245856686e-09
8x8_strong_n150_delta0.035,8,strong,150,0.035,250,0.0013854620860683268,0.84375,0.984375,1.0,130.86718751583248,251.697733113542,57.0,6.990282575003448e-09
8x8_strong_n250_delta0.005,8,strong,250,0.005,250,0.006251336745579183,0.7734375,0.984375,1.0,149.8984374338761,201.92072885110974,54.0,3.4173615048871397e-09
8x8_strong_n250_delta0.01,8,strong,250,0.01,250,0.005359260631958884,0.7734375,0.984375,1.0,146.5102086076513,202.00462469365445,54.0,4.16001486036599e-09
8x8_strong_n250_delta0.02,8,strong,250,0.02,250,0.00389016883481023,0.7734375,0.984375,1.0,147.88085408508778,215.93627932015804,55.5,6.52615612939389e-09
8x8_strong_n250_delta0.035,8,strong,250,0.035,250,0.0023091034767805446,0.7890625,0.984375,1.0,145.9186455467716,191.4170371601358,59.0,3.0725507416118347e-09
8x8_strong_n500_delta0.005,8,strong,500,0.005,250,0.012502673491158366,0.703125,0.875,1.0,182.60322895366699,236.30378765519708,60.0,1.1412200212612689e-09
8x8_strong_n500_delta0.01,8,strong,500,0.01,250,0.010718521263917768,0.703125,0.8828125,1.0,182.37614608369768,221.77562080323693,59.0,1.1732738947056731e-09
8x8_strong_n500_delta0.02,8,strong,500,0.02,250,0.00778033766962046,0.6953125,0.890625,1.0,182.64489597640932,251.85054950416085,59.0,8.69682617588019e-10
8x8_strong_n500_delta0.035,8,strong,500,0.035,250,0.004618206953561089,0.6953125,0.890625,1.0,179.1002289392054,225.08027045987546,59.0,1.906986790700671e-09
8x8_strong_n1000_delta0.005,8,strong,1000,0.005,250,0.025005346982316733,0.625,0.796875,1.0,217.47933351434767,246.37467055581507,66.0,6.946793695838949e-10
8x8_strong_n1000_delta0.01,8,strong,1000,0.01,250,0.021437042527835536,0.609375,0.796875,1.0,223.317104508169,260.7162083964795,67.0,2.6951854636969585e-10
8x8_strong_n1000_delta0.02,8,strong,1000,0.02,250,0.01556067533924092,0.609375,0.8125,1.0,230.51795864012092,270.74680430814624,67.0,5.292715432592132e-10
8x8_strong_n1000_delta0.035,8,strong,1000,0.035,250,0.009236413907122178,0.5859375,0.8046875,1.0,231.93831252865493,281.77439202554524,68.0,4.664356262340519e-10
8x8_ultra_n25_delta0.005,8,ultra,25,0.005,250,3.819219676258469e-05,0.984375,0.984375,1.0,285.4194793617353,852.1809331839903,107.5,9.894046367354276e-09
8x8_ultra_n25_delta0.01,8,ultra,25,0.01,250,2.673239503895255e-05,0.984375,0.984375,1.0,289.86233356408775,777.6598630938679,102.5,9.966566541681765e-09
8x8_ultra_n25_delta0.02,8,ultra,25,0.02,250,1.185721100300837e-05,0.984375,0.984375,1.0,231.72954190522432,854.2605289258063,93.0,9.955465299360533e-09
8x8_ultra_n25_delta0.035,8,ultra,25,0.035,250,2.486297044408492e-06,0.984375,0.984375,1.0,280.50893754698336,754.8781999386847,105.0,9.836780112681964e-09
8x8_ultra_n50_delta0.005,8,ultra,50,0.005,250,7.638439352516938e-05,0.984375,0.984375,1.0,258.9428334031254,900.7306704530491,97.5,9.973625749067072e-09
