configuration_id,shape,alphabet_size,regime,regime_label,sample_size_p,sample_size_q,true_mi_p,true_mi_q,true_mi_difference,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high,source
3x3_balanced_n100_delta0.005,3x3,3,balanced,Balanced margins,100,100,0.05,0.055,0.005,normal_wald,Normal Wald,1000,1000,1.0,40,0.04,0.02951097368545276,0.05400964412125796,curve_run
3x3_balanced_n100_delta0.01,3x3,3,balanced,Balanced margins,100,100,0.05,0.060000000000000005,0.01,constrained_lr,Constrained LR,1000,1000,1.0,56,0.056,0.043374813385442,0.07202334814973096,curve_run
3x3_balanced_n100_delta0.01,3x3,3,balanced,Balanced margins,100,100,0.05,0.060000000000000005,0.01,expanded_welch,Expanded Welch,1000,1000,1.0,42,0.042,0.031220885546165447,0.056284425226603055,curve_run
3x3_balanced_n100_delta0.01,3x3,3,balanced,Balanced margins,100,100,0.05,0.060000000000000005,0.01,normal_wald,Normal Wald,1000,1000,1.0,53,0.053,0.04074650524859452,0.06867461683749176,curve_run
3x3_balanced_n100_delta0.02,3x3,3,balanced,Balanced margins,100,100,0.05,0.07,0.02,constrained_lr,Constrained LR,1000,1000,1.0,58,0.058,0.04513327823499824,0.0742495762662325,curve_run
3x3_balanced_n100_delta0.02,3x3,3,balanced,Balanced margins,100,100,0.05,0.07,0.02,expanded_welch,Expanded Welch,1000,1000,1.0,39,0.039,0.028658960904180485,0.052869310419501346,curve_run
3x3_balanced_n100_delta0.02,3x3,3,balanced,Balanced margins,100,100,0.05,0.07,0.02,normal_wald,Normal Wald,1000,1000,1.0,52,0.052,0.03987303628377742,0.06755573931927998,curve_run
3x3_balanced_n100_delta0.035,3x3,3,balanced,Balanced margins,100,100,0.05,0.085,0.035,constrained_lr,Constrained LR,1000,1000,1.0,96,0.096,0.07925690009839675,0.11583512075793179,curve_run
3x3_balanced_n100_delta0.035,3x3,3,balanced,Balanced margins,100,100,0.05,0.085,0.035,expanded_welch,Expanded Welch,1000,1000,1.0,77,0.077,0.062047907060605895,0.09518953061817373,curve_run
3x3_balanced_n100_delta0.035,3x3,3,balanced,Balanced margins,100,100,0.05,0.085,0.035,normal_wald,Normal Wald,1000,1000,1.0,90,0.09,0.07379614931508309,0.1093417926430721,curve_run
3x3_balanced_n100,3x3,3,balanced,Balanced margins,100,100,0.05,0.1,0.05,constrained_lr,Constrained LR,1000,1000,1.0,143,0.143,0.1226673174977025,0.1660649880609838,fixed_effect_screen
3x3_balanced_n100,3x3,3,balanced,Balanced margins,100,100,0.05,0.1,0.05,expanded_welch,Expanded Welch,1000,1000,1.0,122,0.122,0.1031487447133298,0.1437442847017498,fixed_effect_screen
3x3_balanced_n100,3x3,3,balanced,Balanced margins,100,100,0.05,0.1,0.05,normal_wald,Normal Wald,1000,1000,1.0,140,0.14,0.119868574625977,0.1628866914836227,fixed_effect_screen
3x3_balanced_n150,3x3,3,balanced,Balanced margins,150,150,0.05,0.05,0.0,constrained_lr,Constrained LR,1000,1000,1.0,39,0.039,0.0286589609041804,0.0528693104195013,fixed_effect_screen
