configuration_id,anchor_configuration_id,configuration_label,n_p,n_q,mi_p,mi_q,mi_difference,minimum_expected_count,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high,p_value_threshold
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale1,C2_N5_np200_nq2000,Rare and highly unequal,200.0,2000.0,0.0050000000002087,0.0100000000000003,0.005,0.6987991852268817,normal_wald,Normal Wald,5000,5000,1.0,2509,0.5018,0.4879449904231696,0.5156522458498283,
CURVE_CURVE_C2_N5_np200_nq2000_di0p01_scale1,C2_N5_np200_nq2000,Rare and highly unequal,200.0,2000.0,0.0050000000002087,0.0149999999998419,0.01,0.6987991852268817,normal_wald,Normal Wald,5000,5000,1.0,2487,0.4974,0.4835484657679982,0.5112555262821161,
CURVE_CURVE_C2_N5_np200_nq2000_di0p02_scale1,C2_N5_np200_nq2000,Rare and highly unequal,200.0,2000.0,0.0050000000002087,0.025,0.02,0.6987991852268817,normal_wald,Normal Wald,5000,5000,1.0,2747,0.5494,0.5355760878766134,0.5631480631712149,
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0_scale1,C3_C3_same_balanced_i0p005_n1000,Near independence,1000.0,1000.0,0.0050000000000047,0.0050000000000047,0.0,225.0208559631285,normal_wald,Normal Wald,5000,5000,1.0,159,0.0318,0.0272844214711992,0.0370344546301522,
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di1em05_scale1,C3_C3_same_balanced_i0p005_n1000,Near independence,1000.0,1000.0,0.0050000000000047,0.0050100000000046,1e-05,224.99593109532455,normal_wald,Normal Wald,5000,5000,1.0,124,0.0248,0.020840470557508,0.0294891533710742,
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p0001_scale1,C3_C3_same_balanced_i0p005_n1000,Near independence,1000.0,1000.0,0.0050000000000047,0.0051000000000038,0.0001,224.77272288167873,normal_wald,Normal Wald,5000,5000,1.0,144,0.0288,0.0245137405131535,0.0338097417998683,
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p001_scale1,C3_C3_same_balanced_i0p005_n1000,Near independence,1000.0,1000.0,0.0050000000000047,0.0059999999999911,0.001,222.641293968949,normal_wald,Normal Wald,5000,5000,1.0,166,0.0332,0.0285814227402997,0.0385353037956056,
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale1,C3_C3_same_balanced_i0p005_n1000,Near independence,1000.0,1000.0,0.0050000000000047,0.0100000000000022,0.005,214.703714863249,normal_wald,Normal Wald,5000,5000,1.0,582,0.1164,0.1078037273889867,0.1255852535432611,
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p01_scale1,C3_C3_same_balanced_i0p005_n1000,Near independence,1000.0,1000.0,0.0050000000000047,0.014999999999951,0.01,206.80733765276207,normal_wald,Normal Wald,5000,5000,1.0,1684,0.3368,0.3238297162042462,0.3500208617106204,
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p02_scale1,C3_C3_same_balanced_i0p005_n1000,Near independence,1000.0,1000.0,0.0050000000000047,0.0250000000000023,0.02,194.3325031023819,normal_wald,Normal Wald,5000,5000,1.0,3808,0.7616,0.7495911856657239,0.7732071526766223,
