configuration_id,anchor_configuration_id,configuration_label,mi_difference,method,method_label,p_value_threshold,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high
CURVE_CURVE_C2_N0_np20_nq200_di0p001_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.001,expanded_welch_matched,Expanded Welch (size-matched),0.04112513328139783,5000,4990,0.998,264,0.05290581162324649,0.047031825264145496,0.05946764277188815
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.005,normal_wald_matched,Normal Wald (size-matched),0.000964934926464683,5000,5000,1.0,265,0.053,0.04712629144933971,0.059560034089541365
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.005,expanded_welch_matched,Expanded Welch (size-matched),0.04112513328139783,5000,4992,0.9984,226,0.045272435897435896,0.03984648160021392,0.051397698700155106
CURVE_CURVE_C2_N0_np20_nq200_di0p01_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.01,normal_wald_matched,Normal Wald (size-matched),0.000964934926464683,5000,5000,1.0,278,0.0556,0.049582913854809285,0.06229941963395749
CURVE_CURVE_C2_N0_np20_nq200_di0p01_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.01,expanded_welch_matched,Expanded Welch (size-matched),0.04112513328139783,5000,4990,0.998,236,0.047294589178356716,0.04174524313072984,0.0535404127605297
CURVE_CURVE_C2_N0_np20_nq200_di0p02_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.02,normal_wald_matched,Normal Wald (size-matched),0.000964934926464683,5000,5000,1.0,333,0.0666,0.06001647553764848,0.07384896850832705
CURVE_CURVE_C2_N0_np20_nq200_di0p02_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.02,expanded_welch_matched,Expanded Welch (size-matched),0.04112513328139783,5000,4988,0.9976,220,0.044105854049719326,0.038749882440866065,0.050163490005371486
CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.05,normal_wald_matched,Normal Wald (size-matched),0.000964934926464683,5000,5000,1.0,416,0.0832,0.07586093314234772,0.0911790231990519
CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.05,expanded_welch_matched,Expanded Welch (size-matched),0.04112513328139783,5000,4997,0.9994,214,0.04282569541725035,0.03755446174320895,0.04879929739446458
CURVE_CURVE_C2_N0_np20_nq200_di0p1_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.1,normal_wald_matched,Normal Wald (size-matched),0.000964934926464683,5000,5000,1.0,689,0.1378,0.12852354036373242,0.147632582925267
CURVE_CURVE_C2_N0_np20_nq200_di0p1_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.1,expanded_welch_matched,Expanded Welch (size-matched),0.04112513328139783,5000,4991,0.9982,271,0.05429773592466439,0.04834690026594204,0.06093413764503299
CURVE_CURVE_C2_N0_np20_nq200_di0p2_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.2,normal_wald_matched,Normal Wald (size-matched),0.000964934926464683,5000,5000,1.0,1379,0.2758,0.26358801277121335,0.28835622478095035
CURVE_CURVE_C2_N0_np20_nq200_di0p2_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.2,expanded_welch_matched,Expanded Welch (size-matched),0.04112513328139783,5000,4996,0.9992,786,0.15732586068855084,0.14749318350536522,0.1676851020061889
CURVE_CURVE_C2_N0_np20_nq200_di0p5_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,normal_wald_matched,Normal Wald (size-matched),0.000964934926464683,5000,5000,1.0,3968,0.7936,0.7821585585959068,0.8045906468219557
CURVE_CURVE_C2_N0_np20_nq200_di0p5_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,expanded_welch_matched,Expanded Welch (size-matched),0.04112513328139783,5000,4985,0.997,4350,0.872617853560682,0.8630749344992588,0.8815869335245416
CURVE_CURVE_C2_N3_np500_nq50_di0_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.0,normal_wald_matched,Normal Wald (size-matched),0.0012286896479108947,5000,5000,1.0,258,0.0516,0.045805193052696626,0.05808328205163061
CURVE_CURVE_C2_N3_np500_nq50_di0_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.0,expanded_welch_matched,Expanded Welch (size-matched),0.05611634235585045,5000,4972,0.9944,252,0.050683829444891394,0.04492611092445469,0.05713531185669956
CURVE_CURVE_C2_N3_np500_nq50_di1em05_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",1e-05,normal_wald_matched,Normal Wald (size-matched),0.0012286896479108947,5000,5000,1.0,271,0.0542,0.04825961924472352,0.06082486380948941
CURVE_CURVE_C2_N3_np500_nq50_di1em05_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",1e-05,expanded_welch_matched,Expanded Welch (size-matched),0.05611634235585045,5000,4972,0.9944,238,0.047868061142397424,0.04227505833070241,0.05415917551532925
CURVE_CURVE_C2_N3_np500_nq50_di0p0001_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.0001,normal_wald_matched,Normal Wald (size-matched),0.0012286896479108947,5000,5000,1.0,241,0.0482,0.042602103737660074,0.054491591739893555
CURVE_CURVE_C2_N3_np500_nq50_di0p0001_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.0001,expanded_welch_matched,Expanded Welch (size-matched),0.05611634235585045,5000,4969,0.9938,236,0.04749446568726102,0.04192214935026228,0.053765891935803486
CURVE_CURVE_C2_N3_np500_nq50_di0p001_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.001,normal_wald_matched,Normal Wald (size-matched),0.0012286896479108947,5000,5000,1.0,218,0.0436,0.038281587437894005,0.049619170897554146
CURVE_CURVE_C2_N3_np500_nq50_di0p001_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.001,expanded_welch_matched,Expanded Welch (size-matched),0.05611634235585045,5000,4980,0.996,227,0.04558232931726908,0.040131271350499105,0.05173390185046207
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.005,normal_wald_matched,Normal Wald (size-matched),0.0012286896479108947,5000,5000,1.0,200,0.04,0.034912144402327185,0.04579414138712538
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.005,expanded_welch_matched,Expanded Welch (size-matched),0.05611634235585045,5000,4975,0.995,237,0.04763819095477387,0.04206045945223857,0.0539139680873516
CURVE_CURVE_C2_N3_np500_nq50_di0p01_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.01,normal_wald_matched,Normal Wald (size-matched),0.0012286896479108947,5000,5000,1.0,193,0.0386,0.03360492613069616,0.04430350922420257
CURVE_CURVE_C2_N3_np500_nq50_di0p01_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.01,expanded_welch_matched,Expanded Welch (size-matched),0.05611634235585045,5000,4968,0.9936,211,0.04247181964573269,0.03720867297516088,0.04844197826698522
CURVE_CURVE_C2_N3_np500_nq50_di0p02_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.02,normal_wald_matched,Normal Wald (size-matched),0.0012286896479108947,5000,5000,1.0,110,0.022,0.018286209661005734,0.02644771339846888
CURVE_CURVE_C2_N3_np500_nq50_di0p02_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.02,expanded_welch_matched,Expanded Welch (size-matched),0.05611634235585045,5000,4981,0.9962,254,0.0509937763501305,0.04522317241350302,0.05745641389811155
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.05,normal_wald_matched,Normal Wald (size-matched),0.0012286896479108947,5000,5000,1.0,59,0.0118,0.009159421922706208,0.015190162256447572
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.05,expanded_welch_matched,Expanded Welch (size-matched),0.05611634235585045,5000,4976,0.9952,554,0.11133440514469453,0.10289284623488434,0.12037559875773912
CURVE_CURVE_C2_N3_np500_nq50_di0p1_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.1,normal_wald_matched,Normal Wald (size-matched),0.0012286896479108947,5000,5000,1.0,82,0.0164,0.01323266415044011,0.020309857170819144
CURVE_CURVE_C2_N3_np500_nq50_di0p1_scale1,C2_N3_np500_nq50,"Skewed, unequal samples",0.1,expanded_welch_matched,Expanded Welch (size-matched),0.05611634235585045,5000,4981,0.9962,1343,0.2696245733788396,0.25748183441455325,0.2821223798901988
CURVE_CURVE_C2_N5_np200_nq2000_di0_scale1,C2_N5_np200_nq2000,Rare and highly unequal,0.0,normal_wald_matched,Normal Wald (size-matched),0.004026500487495147,5000,5000,1.0,244,0.0488,0.043166788231898734,0.05512598600332083
