scenario_id,regime,regime_label,rows,columns,n_p,n_q,null_mi,relative_effect,alternative_mi_q,true_delta,construction_seed,calibration_seed,simulation_seed,replicates,calibration_replicates,method,method_label,valid_rate,power_05,size_adjusted_threshold,size_adjusted_power,coverage_95,median_effective_df
fixed_2x5_d3,moderate,Moderate,2,5,100,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,1354211061,1673461705,3544318085,10000,10000,normal_wald,Normal Wald,1.0,0.2443,0.028326980435487547,0.1843,0.9285,
fixed_2x5_d3,moderate,Moderate,2,5,100,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,1354211061,1673461705,3544318085,10000,10000,simple_welch,Simple Welch,1.0,0.2409,0.02958646187919861,0.1854,0.9298,221.83658608981017
fixed_2x5_d3,moderate,Moderate,2,5,100,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,1354211061,1673461705,3544318085,10000,10000,expanded_welch,Expanded Welch,1.0,0.2337,0.032804880453721694,0.1886,0.9325,100.88069070507936
fixed_2x5_d3,moderate,Moderate,2,5,100,200,0.15,1.0,0.3,-0.15,792448127,2170574662,1636764430,10000,10000,normal_wald,Normal Wald,1.0,0.6355,0.02869987220889018,0.5581,0.9238,
fixed_2x5_d3,moderate,Moderate,2,5,100,200,0.15,1.0,0.3,-0.15,792448127,2170574662,1636764430,10000,10000,simple_welch,Simple Welch,1.0,0.6312,0.030002473539483415,0.5593,0.9253,233.4424804056839
fixed_2x5_d3,moderate,Moderate,2,5,100,200,0.15,1.0,0.3,-0.15,792448127,2170574662,1636764430,10000,10000,expanded_welch,Expanded Welch,1.0,0.6289,0.03353070939784835,0.5713,0.9271,113.6740237497404
stress_2x5_d4,highly_sparse,Highly skewed and sparse,2,5,190,190,0.1,0.5,0.15000000000000002,-0.05000000000000002,1696812939,1330740531,1346276771,10000,10000,normal_wald,Normal Wald,1.0,0.1954,0.045179129286888546,0.1843,0.9405,
stress_2x5_d4,highly_sparse,Highly skewed and sparse,2,5,190,190,0.1,0.5,0.15000000000000002,-0.05000000000000002,1696812939,1330740531,1346276771,10000,10000,simple_welch,Simple Welch,1.0,0.1935,0.04596882807636592,0.1843,0.9413,368.99187676123006
stress_2x5_d4,highly_sparse,Highly skewed and sparse,2,5,190,190,0.1,0.5,0.15000000000000002,-0.05000000000000002,1696812939,1330740531,1346276771,10000,10000,expanded_welch,Expanded Welch,1.0,0.1882,0.04878799874939111,0.185,0.9443,89.51154787709089
stress_2x5_d4,highly_sparse,Highly skewed and sparse,2,5,190,190,0.1,1.0,0.2,-0.1,1494009533,2986388619,2561605594,10000,10000,normal_wald,Normal Wald,1.0,0.5336,0.04634650979345954,0.5198,0.9442,
stress_2x5_d4,highly_sparse,Highly skewed and sparse,2,5,190,190,0.1,1.0,0.2,-0.1,1494009533,2986388619,2561605594,10000,10000,simple_welch,Simple Welch,1.0,0.5303,0.04710287693498644,0.5198,0.945,363.3603010326365
stress_2x5_d4,highly_sparse,Highly skewed and sparse,2,5,190,190,0.1,1.0,0.2,-0.1,1494009533,2986388619,2561605594,10000,10000,expanded_welch,Expanded Welch,1.0,0.5244,0.050078713959821365,0.5248,0.9466,120.88206176132084
stress_2x5_d5,highly_sparse,Highly skewed and sparse,2,5,158,316,0.15,0.5,0.22499999999999998,-0.07499999999999998,1048187092,349866634,3298212203,10000,10000,normal_wald,Normal Wald,1.0,0.363,0.04123347117733273,0.3361,0.9412,
stress_2x5_d5,highly_sparse,Highly skewed and sparse,2,5,158,316,0.15,0.5,0.22499999999999998,-0.07499999999999998,1048187092,349866634,3298212203,10000,10000,simple_welch,Simple Welch,1.0,0.3604,0.04209758266205307,0.3364,0.9417,311.06598702833764
stress_2x5_d5,highly_sparse,Highly skewed and sparse,2,5,158,316,0.15,0.5,0.22499999999999998,-0.07499999999999998,1048187092,349866634,3298212203,10000,10000,expanded_welch,Expanded Welch,1.0,0.3553,0.04358632833461927,0.3355,0.9443,121.52158494244009
stress_2x5_d5,highly_sparse,Highly skewed and sparse,2,5,158,316,0.15,1.0,0.3,-0.15,956009618,3707011011,1963285177,10000,10000,normal_wald,Normal Wald,1.0,0.8287,0.03886216441222556,0.8016,0.9399,
stress_2x5_d5,highly_sparse,Highly skewed and sparse,2,5,158,316,0.15,1.0,0.3,-0.15,956009618,3707011011,1963285177,10000,10000,simple_welch,Simple Welch,1.0,0.8265,0.03963046905247754,0.8016,0.9408,341.46675168741996
stress_2x5_d5,highly_sparse,Highly skewed and sparse,2,5,158,316,0.15,1.0,0.3,-0.15,956009618,3707011011,1963285177,10000,10000,expanded_welch,Expanded Welch,1.0,0.8253,0.04170099247025502,0.8064,0.9427,145.65276052202682
stress_2x5_d6,ultra_sparse,Ultra-skewed and sparse,2,5,121,121,0.1,0.5,0.15000000000000002,-0.05000000000000002,418416769,2254791870,347848063,10000,10000,normal_wald,Normal Wald,1.0,0.1213,0.03864226862409432,0.0976,0.9419,
stress_2x5_d6,ultra_sparse,Ultra-skewed and sparse,2,5,121,121,0.1,0.5,0.15000000000000002,-0.05000000000000002,418416769,2254791870,347848063,10000,10000,simple_welch,Simple Welch,1.0,0.119,0.0398338812042784,0.0972,0.9432,216.65497422916974
stress_2x5_d6,ultra_sparse,Ultra-skewed and sparse,2,5,121,121,0.1,0.5,0.15000000000000002,-0.05000000000000002,418416769,2254791870,347848063,10000,10000,expanded_welch,Expanded Welch,1.0,0.1147,0.045402458194064084,0.1057,0.9467,65.44488880763208
stress_2x5_d6,ultra_sparse,Ultra-skewed and sparse,2,5,121,121,0.1,1.0,0.2,-0.1,2960762040,2285021933,84094233,10000,10000,normal_wald,Normal Wald,1.0,0.4247,0.03995630858111195,0.39,0.9317,
stress_2x5_d6,ultra_sparse,Ultra-skewed and sparse,2,5,121,121,0.1,1.0,0.2,-0.1,2960762040,2285021933,84094233,10000,10000,simple_welch,Simple Welch,1.0,0.4209,0.04115079839028942,0.3898,0.9328,229.006152518777
stress_2x5_d6,ultra_sparse,Ultra-skewed and sparse,2,5,121,121,0.1,1.0,0.2,-0.1,2960762040,2285021933,84094233,10000,10000,expanded_welch,Expanded Welch,1.0,0.4125,0.04653214591326478,0.4,0.9356,74.0624397777475
stress_2x5_d7,ultra_sparse,Ultra-skewed and sparse,2,5,69,690,0.15,0.5,0.22499999999999998,-0.07499999999999998,859250800,310762804,1812437885,10000,10000,normal_wald,Normal Wald,1.0,0.2917,0.023694948671449837,0.2166,0.915,
stress_2x5_d7,ultra_sparse,Ultra-skewed and sparse,2,5,69,690,0.15,0.5,0.22499999999999998,-0.07499999999999998,859250800,310762804,1812437885,10000,10000,simple_welch,Simple Welch,1.0,0.2834,0.026211689166242395,0.2167,0.9182,83.66442780509126
stress_2x5_d7,ultra_sparse,Ultra-skewed and sparse,2,5,69,690,0.15,0.5,0.22499999999999998,-0.07499999999999998,859250800,310762804,1812437885,10000,10000,expanded_welch,Expanded Welch,1.0,0.2628,0.035852367997091655,0.2228,0.9307,33.25295079419256
stress_2x5_d7,ultra_sparse,Ultra-skewed and sparse,2,5,69,690,0.15,1.0,0.3,-0.15,4047243368,785638149,2413255524,10000,10000,normal_wald,Normal Wald,1.0,0.6668,0.02272543015871677,0.5715,0.9152,
stress_2x5_d7,ultra_sparse,Ultra-skewed and sparse,2,5,69,690,0.15,1.0,0.3,-0.15,4047243368,785638149,2413255524,10000,10000,simple_welch,Simple Welch,1.0,0.6597,0.025100287920055708,0.5712,0.9194,88.12490539007571
