configuration_id,pair_id,shape,rows,columns,profile,dominant_p,dominant_q,constructor,pattern,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,signed_mi_difference_q_minus_p,absolute_mi_difference,n_p,n_q,replicates,simulation_seed
config_e3771cdbcb1f3841,pair_b1768989ebd518b8,3x3,3,3,different_skew,,,additive,first,0.0001,0.0001,9.999999999999766e-05,0.00010000000000003344,3.5778671692021646e-17,3.5778671692021646e-17,10000,10000,20000,17010775801673201490
config_e3b322dfbff42ddb,pair_1e02e1eb7b32e2d9,5x5,5,5,same_skew,,,additive,first,0.02,0.03,0.019999999999999872,0.029999999999999978,0.010000000000000106,0.010000000000000106,50,50,20000,18176208083562794461
config_e3dbba6f6081d848,pair_3799557d6ec6afb0,5x5,5,5,different_skew,,,additive,first,0.02,0.025,0.019999999999999993,0.02499999999999993,0.004999999999999935,0.004999999999999935,250,50,20000,5165896011156698709
config_e3e08a77fab3d246,pair_29d49e1c4abb0d4d,2x2,2,2,custom_extreme,0.99,0.995,additive,first,1e-05,6e-05,1.0000000000155094e-05,6.000000000017333e-05,5.000000000001824e-05,5.000000000001824e-05,100,100,20000,12157062423740284015
config_e3e1b9c8150e7dd2,pair_e1cbcdc30514ed94,5x5,5,5,different_skew,,,additive,first,0.02,0.022,0.019999999999999993,0.02199999999999992,0.0019999999999999254,0.0019999999999999254,50,500,20000,14451954117277842270
config_e3ef33b38643d40c,pair_9f6a2762f34f3e19,2x2,2,2,different_skew,,,additive,first,0.02,0.07,0.019999999999999907,0.07000000000000085,0.050000000000000946,0.050000000000000946,1000,1000,20000,12928743908171551806
config_e3f88de7f28d171f,pair_b026b150200a484d,8x8,8,8,custom_extreme,0.9,0.95,additive,rare,1e-05,0.00011,9.999999999999965e-06,0.00010999999999977944,9.999999999977946e-05,9.999999999977946e-05,10000,10000,20000,13014820831961530788
config_e40c5361e8b32335,pair_24734b5159c09297,3x3,3,3,custom_extreme,0.999,0.9995,additive,first,1e-05,1e-05,9.99999999991951e-06,9.999999999984954e-06,6.544345957076175e-17,6.544345957076175e-17,1000,1000,20000,7734048961092761059
config_e41f6fb7e90bede5,pair_d90b8b34373829e0,5x5,5,5,same_skew,,,additive,first,0.02,0.025,0.019999999999999872,0.02499999999999993,0.0050000000000000565,0.0050000000000000565,1000,1000,20000,4950289150535453165
config_e423c602e71d8088,pair_f6824d049588e85b,3x3,3,3,different_skew,,,additive,first,0.02,0.022,0.01999999999999983,0.021999999999999704,0.0019999999999998734,0.0019999999999998734,50,500,20000,212045487081591881
config_e42f519ae7ee0d02,pair_fb32eab8f558a606,8x8,8,8,uniform,,,additive,first,0.0,0.002,0.0,0.0019999999999999966,0.0019999999999999966,0.0019999999999999966,1000,1000,20000,17218690740793663374
config_e454f23689715866,pair_1e02e1eb7b32e2d9,5x5,5,5,same_skew,,,additive,first,0.02,0.03,0.019999999999999872,0.029999999999999978,0.010000000000000106,0.010000000000000106,50,250,20000,18145423937244373543
config_e461268b93e1789e,pair_f69a64e76362b4b2,2x2,2,2,uniform,,,additive,first,0.022,0.02,0.02200000000000002,0.01999999999999985,-0.0020000000000001683,0.0020000000000001683,50,500,20000,8148397063743568621
config_e469c3b3f3c042f2,pair_39932089e73e894c,3x3,3,3,uniform,,,additive,first,0.02,0.04,0.01999999999999999,0.040000000000000036,0.020000000000000046,0.020000000000000046,100,50,20000,5829050325813939101
config_e4724c952e94fe47,pair_204babdf9da6c75c,3x3,3,3,custom_extreme,0.9,0.95,additive,first,1e-05,0.00011,9.99999999992635e-06,0.00010999999999985682,9.999999999993047e-05,9.999999999993047e-05,5,5,20000,12927902346082994523
config_e472991d3d1d0c95,pair_ec6b5fcc8cd2e2a2,2x2,2,2,different_skew,,,additive,first,0.02,0.025,0.019999999999999907,0.025000000000000105,0.005000000000000199,0.005000000000000199,1000,1000,20000,13715396546270533388
config_e4764b54eaf50c94,pair_49b9adb103eaae7a,2x2,2,2,uniform,,,additive,first,0.0001,0.0101,9.999999999994562e-05,0.010099999999999998,0.010000000000000052,0.010000000000000052,1000,1000,20000,14647166760973448317
config_e47d8485af91febb,pair_416685eb037a66f0,2x2,2,2,different_skew,,,additive,first,0.02,0.03,0.019999999999999907,0.029999999999999513,0.009999999999999606,0.009999999999999606,500,500,20000,7490475771863139487
config_e48eb8a8701d3894,pair_a6fbb01ede8852fa,3x3,3,3,custom_extreme,0.9,0.95,additive,rare,1e-05,3.5000000000000004e-05,9.99999999998444e-06,3.5000000000077585e-05,2.5000000000093144e-05,2.5000000000093144e-05,10000,10000,20000,10916010318088519977
config_e4a7e194dd45589c,pair_91a320e11d4cab58,3x3,3,3,uniform,,,additive,first,0.02,0.07,0.01999999999999999,0.07000000000000009,0.0500000000000001,0.0500000000000001,20,20,20000,12902290580822017557
config_e4ae567c650388e8,pair_a3c9f50d8e0225c2,2x2,2,2,different_skew,,,additive,first,0.02,0.022,0.019999999999999907,0.021999999999999957,0.0020000000000000503,0.0020000000000000503,1000,1000,20000,12810477535164057141
config_e4ccb9a9d72c95fa,pair_002394c5f121757e,2x2,2,2,same_skew,,,additive,first,0.02,0.03,0.01999999999999995,0.029999999999999513,0.009999999999999565,0.009999999999999565,10,10,20000,9155128041752629526
config_e4e8d499e9adccf6,pair_0ccdb08b2d489793,8x8,8,8,uniform,,,additive,first,0.0,0.01,0.0,0.009999999999999992,0.009999999999999992,0.009999999999999992,20,20,20000,17792563091809171218
config_e4f92b5a1655c22e,pair_fb6e4c79f03f599b,3x3,3,3,different_skew,,,additive,first,0.02,0.02,0.01999999999999983,0.019999999999999858,2.7755575615628914e-17,2.7755575615628914e-17,5,5,20000,411549453306318809
config_e4fcdad0bfc91fb5,pair_0a0e0f72610302eb,2x2,2,2,uniform,,,additive,first,0.02,0.02,0.01999999999999985,0.01999999999999985,0.0,0.0,250,50,20000,11675702940409648086
config_e50bf0af6c47e836,pair_1e02e1eb7b32e2d9,5x5,5,5,same_skew,,,additive,first,0.02,0.03,0.019999999999999872,0.029999999999999978,0.010000000000000106,0.010000000000000106,10,10,20000,8018535710463448867
config_e51db9cb15cc0b7a,pair_45790469839a0dd5,3x3,3,3,different_skew,,,loglinear,first,0.0001,0.0051,9.99999999999248e-05,0.005100000000000093,0.005000000000000168,0.005000000000000168,20,20,20000,16125401445062954450
config_e52f6d050dda662b,pair_3bef1bd2576d521d,8x8,8,8,custom_extreme,0.99,0.995,additive,first,1e-05,2e-05,1.0000000000052644e-05,1.999999999996055e-05,9.999999999907906e-06,9.999999999907906e-06,100,100,20000,17798461402614905898
config_e53e6a7bb521336a,pair_67825472e6adb28d,8x8,8,8,custom_extreme,0.99,0.995,additive,first,1e-05,1e-05,1.0000000000052644e-05,1.0000000000361982e-05,3.09338126403165e-16,3.09338126403165e-16,10000,10000,20000,3299511175523807327
config_e542e5723339a201,pair_fccf5bdd69b3d75a,2x2,2,2,custom_extreme,0.999,0.9995,additive,first,1e-05,6e-05,1.000000000002521e-05,5.9999999999972876e-05,4.999999999994767e-05,4.999999999994767e-05,1000,1000,20000,8221600097852272921
config_e54f186d6264985e,pair_6be61eeccec51dcf,2x2,2,2,different_skew,,,additive,first,0.021,0.02,0.021000000000000067,0.01999999999999995,-0.0010000000000001188,0.0010000000000001188,500,50,20000,7864324404209266282
config_e554592b247b53b1,pair_636a77834542c534,3x3,3,3,uniform,,,loglinear,first,0.02,0.025,0.01999999999999974,0.025000000000000154,0.005000000000000414,0.005000000000000414,100,100,20000,3453702904591707358
config_e5a35976f2c011f2,pair_8b647053c1c589dc,3x3,3,3,custom_extreme,0.99,0.995,additive,first,1e-05,2e-05,9.999999999872636e-06,1.9999999999902735e-05,1.00000000000301e-05,1.00000000000301e-05,100,100,20000,8215316360222197610
config_e5c485e451d62897,pair_fc844d27f7ad1eda,3x3,3,3,different_skew,,,additive,first,0.03,0.02,0.03000000000000011,0.019999999999999858,-0.010000000000000252,0.010000000000000252,500,500,20000,2775403329194309646
config_e5cebb9cea0be911,pair_babf95887505c5d5,3x3,3,3,different_skew,,,additive,first,0.02,0.025,0.01999999999999983,0.025000000000000328,0.005000000000000497,0.005000000000000497,250,250,20000,3375586386357441097
config_e60845e5512cba7c,pair_0fdcb7c231473b6b,5x5,5,5,different_skew,,,loglinear,first,0.02,0.021,0.019999999999999817,0.021000000000000123,0.0010000000000003062,0.0010000000000003062,20,20,20000,13993030684707558140
config_e615dd3493582845,pair_033e6541456c59c0,3x3,3,3,different_skew,,,additive,first,0.0001,0.0101,9.999999999999766e-05,0.010099999999999991,0.009999999999999993,0.009999999999999993,20,20,20000,11104289828778770412
config_e6420dd2dd3bd21e,pair_eed3ba5d8d84c581,2x2,2,2,custom_extreme,0.9,0.95,additive,first,1e-05,6e-05,9.999999999994985e-06,5.999999999996893e-05,4.999999999997395e-05,4.999999999997395e-05,100,100,20000,5885761366903262997
config_e657e4811f7fe7eb,pair_7ce1d258fd1cfc5a,5x5,5,5,same_skew,,,additive,first,0.02,0.04,0.019999999999999872,0.03999999999999988,0.02000000000000001,0.02000000000000001,50,100,20000,3879603708504819094
config_e664a3716a509a43,pair_f3050fed91456f6e,5x5,5,5,different_skew,,,loglinear,first,0.0001,0.0201,9.999999999979871e-05,0.020099999999999996,0.020000000000000198,0.020000000000000198,20,20,20000,9895900730627150983
config_e66dfa8ad46bdc77,pair_d7217457e76b4c17,5x5,5,5,different_skew,,,additive,first,0.04,0.02,0.03999999999999985,0.019999999999999872,-0.019999999999999976,0.019999999999999976,500,50,20000,7159143382159983854
config_e691cd5dcfa717e8,pair_d6bb95c6c0342cae,8x8,8,8,same_skew,,,additive,first,0.02,0.021,0.019999999999999997,0.02100000000000014,0.0010000000000001431,0.0010000000000001431,10,10,20000,9017273427763627032
config_e69e16e5c1cb563a,pair_a8267cf72c8e3f75,8x8,8,8,uniform,,,loglinear,first,0.0001,0.0001,0.00010000000000038919,0.00010000000000038919,0.0,0.0,100,100,20000,9061263302052376159
config_e6b5e4d6862df6d3,pair_6efac570a6eb6806,2x2,2,2,same_skew,,,additive,first,0.02,0.04,0.01999999999999995,0.039999999999999994,0.020000000000000046,0.020000000000000046,5,5,20000,5027205004208740414
config_e6ba9f86fcde1084,pair_306df269bd6eb96f,8x8,8,8,same_skew,,,additive,first,0.0,0.005,7.63833440942107e-16,0.004999999999999515,0.004999999999998751,0.004999999999998751,2,2,20000,5582970984895017412
config_e6c55490a728c7ae,pair_be82699e9841393d,2x2,2,2,uniform,,,additive,first,0.02,0.025,0.01999999999999985,0.024999999999999967,0.0050000000000001155,0.0050000000000001155,50,250,20000,77112043843714798
config_e6f0946aa9e5c3a6,pair_e283ba2e825491ee,2x2,2,2,different_skew,,,additive,first,0.001,0.006,0.0010000000000000338,0.005999999999999908,0.004999999999999874,0.004999999999999874,20,20,20000,16083421620195038436
config_e6f6f6eb7287abd9,pair_27fac269a4a8c784,3x3,3,3,different_skew,,,additive,first,0.025,0.02,0.024999999999999897,0.019999999999999858,-0.005000000000000039,0.005000000000000039,500,50,20000,1405956569044060697
config_e6f8eabb4ecf26c2,pair_49abe9356cccfcf3,3x3,3,3,uniform,,,additive,first,0.03,0.02,0.030000000000000054,0.01999999999999999,-0.010000000000000064,0.010000000000000064,100,50,20000,11043652843786047074
config_e74e045dec694699,pair_3081fe9cc66e6ec5,8x8,8,8,different_skew,,,additive,first,0.02,0.02,0.020000000000000108,0.019999999999999997,-1.1102230246251565e-16,1.1102230246251565e-16,50,500,20000,2565060224449100806
config_e7a5462b43768f3a,pair_204babdf9da6c75c,3x3,3,3,custom_extreme,0.9,0.95,additive,first,1e-05,0.00011,9.99999999992635e-06,0.00010999999999985682,9.999999999993047e-05,9.999999999993047e-05,100,100,20000,7500891793770892791
config_e7a5b78c39dd9b7b,pair_1b383c60c76c4e7b,5x5,5,5,uniform,,,additive,first,0.02,0.025,0.019999999999999993,0.024999999999999998,0.0050000000000000044,0.0050000000000000044,2,2,20000,12147736118754975835
config_e7b9e79609aecac0,pair_44cef6e67e7baa50,5x5,5,5,uniform,,,additive,first,0.001,0.021,0.0009999999999999907,0.02100000000000002,0.020000000000000028,0.020000000000000028,100,100,20000,6811034878395586306
config_e7c72eeb034ef1f7,pair_aae023b484291974,2x2,2,2,custom_extreme,0.99,0.995,additive,first,1e-05,2e-05,1.0000000000155094e-05,1.9999999999887885e-05,9.99999999973279e-06,9.99999999973279e-06,5,5,20000,102286879529201049
config_e7e41c64b7af57cc,pair_fbd64f5a55f6dd71,3x3,3,3,uniform,,,additive,first,0.0001,0.0001,0.0001000000000000497,0.0001000000000000497,0.0,0.0,2500,2500,20000,12792466590808548843
config_e7fbc14d1fa1a2ba,pair_935285f454728dfb,3x3,3,3,uniform,,,loglinear,first,0.0001,0.0201,0.00010000000000048729,0.020100000000000437,0.01999999999999995,0.01999999999999995,20,20,20000,12935743795248987363
config_e812c605909c6fb1,pair_35951f1a26df8a14,3x3,3,3,uniform,,,additive,first,0.021,0.02,0.021000000000000067,0.01999999999999999,-0.0010000000000000772,0.0010000000000000772,50,100,20000,13314192459410171416
config_e81990d45ae09f8d,pair_4d27465cf0425ea3,5x5,5,5,uniform,,,additive,first,0.02,0.03,0.019999999999999993,0.029999999999999794,0.0099999999999998,0.0099999999999998,100,50,20000,17259530333507554457
config_e826ddf216f00174,pair_7f3182c71eeb1245,3x3,3,3,different_skew,,,additive,first,0.0001,0.0002,9.999999999999766e-05,0.00020000000000004845,0.00010000000000005079,0.00010000000000005079,20,20,20000,9926335706947428093
config_e82ad57bec60b80b,pair_b1a0ab208a5ff3cf,8x8,8,8,different_skew,,,additive,first,0.0,0.01,-1.0103029524088927e-16,0.009999999999999922,0.010000000000000023,0.010000000000000023,100,100,20000,9310043458095230930
config_e833cddb93be1cea,pair_75b09f5900c1f337,3x3,3,3,different_skew,,,loglinear,first,0.02,0.025,0.02000000000000022,0.024999999999996428,0.004999999999996209,0.004999999999996209,1000,1000,20000,6107530899581802598
config_e835f2a74ef55728,pair_286442dbddf79c00,8x8,8,8,different_skew,,,additive,spread,0.0001,0.0001,0.00010000000000019871,0.00010000000000017624,-2.247009002476208e-17,2.247009002476208e-17,1000,1000,20000,9596114102020497117
config_e841f590138a2e32,pair_c8f8321ceff3b8d8,5x5,5,5,different_skew,,,additive,first,0.02,0.021,0.019999999999999993,0.020999999999999852,0.0009999999999998586,0.0009999999999998586,500,50,20000,5511094426995802767
config_e8805b161d0f0fa5,pair_c6d13f7ebf1a5166,2x2,2,2,same_skew,,,additive,first,0.02,0.022,0.01999999999999995,0.021999999999999957,0.0020000000000000087,0.0020000000000000087,500,50,20000,11089280563525176462
config_e8818388f0627fbc,pair_d55e81cdc6ca41c8,2x2,2,2,uniform,,,additive,first,0.03,0.02,0.030000000000000054,0.01999999999999985,-0.010000000000000203,0.010000000000000203,50,250,20000,17578844924043640498
config_e8b7a8c64abbb572,pair_94c196fb7bae6850,2x2,2,2,different_skew,,,additive,first,0.0,0.002,0.0,0.0019999999999999254,0.0019999999999999254,0.0019999999999999254,1000,1000,20000,3929469201763630039
config_e8bf2aabd2d5834b,pair_fc844d27f7ad1eda,3x3,3,3,different_skew,,,additive,first,0.03,0.02,0.03000000000000011,0.019999999999999858,-0.010000000000000252,0.010000000000000252,250,50,20000,3528739456807175021
config_e8c117dad5fe6966,pair_9c38a7e51aa29797,5x5,5,5,uniform,,,additive,first,0.03,0.02,0.029999999999999794,0.019999999999999993,-0.0099999999999998,0.0099999999999998,500,500,20000,12514779199216531143
config_e8f9e4c4f5c449af,pair_57c0709ba92e2e9a,8x8,8,8,uniform,,,additive,first,0.02,0.02,0.019999999999999997,0.019999999999999997,0.0,0.0,10,10,20000,4916544073179572148
config_e90ab0924d583f8a,pair_c9ede15ccdafd9d0,5x5,5,5,uniform,,,additive,first,0.021,0.02,0.02100000000000002,0.019999999999999993,-0.0010000000000000252,0.0010000000000000252,50,100,20000,5088245438702767675
config_e93e903430cbc7bd,pair_110f5407fadec662,5x5,5,5,different_skew,,,additive,first,0.021,0.02,0.021000000000000255,0.019999999999999872,-0.0010000000000003825,0.0010000000000003825,250,50,20000,13321454510762667337
config_e94e438c3c166f83,pair_ea0b97af1cf3295a,3x3,3,3,custom_extreme,0.9,0.95,additive,first,1e-05,0.00021,9.99999999992635e-06,0.00021000000000009395,0.0002000000000001676,0.0002000000000001676,100,100,20000,13279053080158801020
config_e9559a67cf8212cf,pair_d3295ded6715d353,5x5,5,5,uniform,,,additive,first,0.0001,0.0101,0.00010000000000000011,0.010099999999999996,0.009999999999999997,0.009999999999999997,1000,1000,20000,15527989223662499658
config_e988f1580360e8c9,pair_0b7dd028d07380ef,2x2,2,2,uniform,,,additive,first,0.02,0.021,0.01999999999999985,0.02099999999999988,0.0010000000000000286,0.0010000000000000286,2,2,20000,6846620308436323058
