display_id,section,figure_key,row_key,row_label,column_key,column_label,x_kind,x_value,shape,profile,dominant_p,dominant_q,pattern,constructor,baseline_mi,mi_direction,mi_difference,target_mi_p,target_mi_q,n_p,n_q,pair_id,configuration_id
display_00299,main,main_3x3_moderate,different_skew,different skew,50,nP=nQ=50,mi_difference,0.02,3x3,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,50,50,pair_4a4e8313c00982bf,config_8756cc17f54f717d
display_00312,main,main_3x3_large,different_skew,different skew,500,nP=nQ=500,mi_difference,0.0,3x3,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,500,500,pair_fb6e4c79f03f599b,config_68664fbc4f3b1772
display_00317,main,main_3x3_large,different_skew,different skew,500,nP=nQ=500,mi_difference,0.02,3x3,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,500,500,pair_4a4e8313c00982bf,config_89c431f569a0186f
display_00318,main,main_3x3_large,different_skew,different skew,1000,nP=nQ=1000,mi_difference,0.0,3x3,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,1000,1000,pair_fb6e4c79f03f599b,config_1b6b2afc5ccb1291
display_00323,main,main_3x3_large,different_skew,different skew,1000,nP=nQ=1000,mi_difference,0.02,3x3,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,1000,1000,pair_4a4e8313c00982bf,config_a27043e10a2f0f46
display_00324,main,main_5x5_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.0,5x5,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,2,2,pair_489238afbcfc259d,config_25b40f2f2a7fffe6
display_00329,main,main_5x5_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.02,5x5,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,2,2,pair_45f2b342723736ae,config_fe4bb44e9c909a3e
display_00342,main,main_5x5_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.0,5x5,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,20,20,pair_489238afbcfc259d,config_70be6884a262cb1c
display_00347,main,main_5x5_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.02,5x5,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,20,20,pair_45f2b342723736ae,config_88db65262c97755e
display_00348,main,main_5x5_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.0,5x5,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,50,50,pair_489238afbcfc259d,config_9d96c47615346d89
display_00353,main,main_5x5_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.02,5x5,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,50,50,pair_45f2b342723736ae,config_97a9d187d976ad29
display_00366,main,main_5x5_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.0,5x5,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,500,500,pair_489238afbcfc259d,config_4292bfd4ad782a22
display_00371,main,main_5x5_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.02,5x5,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,500,500,pair_45f2b342723736ae,config_f622838db07c206f
