absolute_mi_difference,achieved_mi_p,achieved_mi_q,both_reject,columns,configuration_id,constructor,dominant_p,dominant_q,method_a,method_b,n_p,n_q,neither_rejects,nominal_alpha,only_method_a_rejects,only_method_b_rejects,pair_id,paired_95_high,paired_95_low,paired_standard_error,pattern,profile,rejection_rate_difference_a_minus_b,replicates,rows,shape,signed_mi_difference_q_minus_p,simulation_seed,target_mi_p,target_mi_q
0.0019999999999999866,9.999999999999083e-05,0.0020999999999999773,9,5,config_1a775bc52510f687,additive,,,expanded_welch,normal_wald,20,20,186,0.05,0,5,pair_7a7067c99513071b,-0.00330788763874142,-0.046692112361258586,0.011067404265948256,spread,different_skew,-0.025,200,5,5x5,0.0019999999999999866,15150071891555897184,0.0001,0.0021
1.8250171881541155e-17,9.999999999872636e-06,9.999999999890886e-06,0,3,config_1aad1302d3bb0031,additive,0.99,0.995,expanded_welch,normal_wald,1,1,200,0.05,0,0,pair_e3f133e5234fa83e,0.0,0.0,0.0,first,custom_extreme,0.0,200,3,3x3,1.8250171881541155e-17,2087803910320441669,1e-05,1e-05
0.20000000000000007,0.01999999999999995,0.22000000000000003,58,2,config_1b35c8c2c4951694,additive,,,expanded_welch,normal_wald,20,20,128,0.05,0,14,pair_689f96ab35e3746e,-0.03454969080373836,-0.10545030919626165,0.01808689244707227,first,same_skew,-0.07,200,2,2x2,0.20000000000000007,8953042745215893410,0.02,0.22
2.7755575615628914e-17,0.01999999999999983,0.019999999999999858,10,3,config_1b6b2afc5ccb1291,additive,,,expanded_welch,normal_wald,1000,1000,189,0.05,0,1,pair_fb6e4c79f03f599b,0.0048,-0.0148,0.005,first,different_skew,-0.005,200,3,3x3,2.7755575615628914e-17,3966191553827390393,0.02,0.02
1.5504091066542713e-16,0.0009999999999998953,0.0010000000000000503,9,5,config_1be92660b5af450c,additive,,,expanded_welch,normal_wald,20,20,185,0.05,0,6,pair_c27680a23093ebc0,-0.006298489329998373,-0.053701510670001625,0.012092607484694708,first,different_skew,-0.03,200,5,5x5,1.5504091066542713e-16,14953651627485846858,0.001,0.001
0.020000000000000157,0.040000000000000105,0.01999999999999995,40,2,config_1c050eae3879bb13,additive,,,expanded_welch,normal_wald,500,500,159,0.05,0,1,pair_41722fa5e7e85a85,0.0048,-0.0148,0.005,first,different_skew,-0.005,200,2,2x2,-0.020000000000000157,7170975632058325947,0.04,0.02
0.019999999999999594,0.019999999999999997,0.03999999999999959,39,8,config_1c2bd31b023c0f9a,additive,,,expanded_welch,normal_wald,1000,1000,159,0.05,0,2,pair_9584ef4a7c5207d0,0.0038244267103322137,-0.023824426710332212,0.007053278933842966,first,same_skew,-0.01,200,8,8x8,0.019999999999999594,2255473432170600101,0.02,0.04
0.019999999999999997,0.0,0.019999999999999997,86,8,config_1c5e8f8dd6480ea8,additive,,,expanded_welch,normal_wald,1000,1000,111,0.05,0,3,pair_3bc05e13f5f5fdd0,0.001888585541958216,-0.03188858554195821,0.008616625276509294,first,uniform,-0.015,200,8,8x8,0.019999999999999997,11116080890882328011,0.0,0.02
9.680570147579948e-17,0.00010000000000001779,0.00010000000000011459,1,8,config_1c78c4ece2ef7df5,additive,,,expanded_welch,normal_wald,50000,50000,199,0.05,0,0,pair_7ec3afc29050afcc,0.0,0.0,0.0,rare,different_skew,0.0,200,8,8x8,9.680570147579948e-17,4487279654864424976,0.0001,0.0001
0.02000000000000001,0.019999999999999997,0.04000000000000001,0,8,config_1d6f357dba1ac88e,additive,,,expanded_welch,normal_wald,2,2,200,0.05,0,0,pair_5b37ff86eea397f4,0.0,0.0,0.0,first,uniform,0.0,200,8,8x8,0.02000000000000001,10930888470931851362,0.02,0.04
0.01999999999999979,0.0010000000000003517,0.02100000000000014,64,8,config_1d8a2631014ae088,additive,,,expanded_welch,normal_wald,1000,1000,132,0.05,0,4,pair_028ce0ffa99b3aba,-0.000548299734571267,-0.039451700265428734,0.009924336870116702,first,different_skew,-0.02,200,8,8x8,0.01999999999999979,15689062888323689316,0.001,0.021
0.0,0.019999999999999993,0.019999999999999993,12,5,config_1d9ac77b6fb4ca55,additive,,,expanded_welch,normal_wald,50000,50000,188,0.05,0,0,pair_489238afbcfc259d,0.0,0.0,0.0,first,uniform,0.0,200,5,5x5,0.0,12346296910653702258,0.02,0.02
0.0002000000000002707,9.999999999872636e-06,0.00021000000000014334,16,3,config_1ddf25806878aa10,additive,0.99,0.995,expanded_welch,normal_wald,10000,10000,184,0.05,0,0,pair_ac56121498ba01cf,0.0,0.0,0.0,first,custom_extreme,0.0,200,3,3x3,0.0002000000000002707,2938909299438104866,1e-05,0.00021
4.163336342344337e-17,0.019999999999999907,0.01999999999999995,2,2,config_1e065a6d4aba5a1f,additive,,,expanded_welch,normal_wald,20,20,197,0.05,0,1,pair_308be584e4c09575,0.0048,-0.0148,0.005,first,different_skew,-0.005,200,2,2x2,4.163336342344337e-17,1463404465272755439,0.02,0.02
0.020000000000000046,0.01999999999999995,0.039999999999999994,0,2,config_1eb64ef93e640aee,additive,,,expanded_welch,normal_wald,2,2,200,0.05,0,0,pair_6efac570a6eb6806,0.0,0.0,0.0,first,same_skew,0.0,200,2,2x2,0.020000000000000046,11656752435084253215,0.02,0.04
1.1102230246251565e-16,0.020000000000000108,0.019999999999999997,8,8,config_1ec09212c938ce11,additive,,,expanded_welch,normal_wald,50000,50000,192,0.05,0,0,pair_3081fe9cc66e6ec5,0.0,0.0,0.0,first,different_skew,0.0,200,8,8x8,-1.1102230246251565e-16,5754776515875871690,0.02,0.02
1.2770376932574184e-16,9.99999999992635e-06,1.0000000000054053e-05,0,3,config_1fbc826801bd8807,additive,0.9,0.95,expanded_welch,normal_wald,1,1,200,0.05,0,0,pair_b59e2fddaa85cd47,0.0,0.0,0.0,first,custom_extreme,0.0,200,3,3x3,1.2770376932574184e-16,13094182123346280029,1e-05,1e-05
0.0,0.019999999999999997,0.019999999999999997,12,8,config_201acf17fbfeb25d,additive,,,expanded_welch,normal_wald,50000,50000,188,0.05,0,0,pair_6271495019b80969,0.0,0.0,0.0,first,same_skew,0.0,200,8,8x8,0.0,4050085802906159116,0.02,0.02
0.0,0.00010000000000038919,0.00010000000000038919,13,8,config_206161956c89f816,loglinear,,,expanded_welch,normal_wald,20,20,181,0.05,0,6,pair_a8267cf72c8e3f75,-0.006298489329998373,-0.053701510670001625,0.012092607484694708,first,uniform,-0.03,200,8,8x8,0.0,7541251791529803303,0.0001,0.0001
0.020000000000000046,0.039999999999999994,0.01999999999999995,35,2,config_207c09b911438b49,additive,,,expanded_welch,normal_wald,500,500,157,0.05,0,8,pair_9f1671945034e087,-0.012773291268651135,-0.06722670873134887,0.013891177924157585,first,same_skew,-0.04,200,2,2x2,-0.020000000000000046,5536093543413026044,0.04,0.02
0.02000000000000017,0.01999999999999985,0.04000000000000002,2,2,config_20eaf232d9810c72,additive,,,expanded_welch,normal_wald,50,50,198,0.05,0,0,pair_f92afa0319e6f637,0.0,0.0,0.0,first,uniform,0.0,200,2,2x2,0.02000000000000017,2172885717842135736,0.02,0.04
