configuration_id,population_id,experiment,shape,rows,columns,skewness,relationship,interaction_pair,n_p,n_q,sample_size_ratio_q_to_p,allocation_ratio,relative_effect,baseline_fraction,shared_reachable_mi,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,absolute_mi_difference,structural_breakdown,replicates,simulation_seed,nominal_alpha,method_a,method_b,both_reject,neither_rejects,only_method_a_rejects,only_method_b_rejects,rejection_rate_difference_a_minus_b,paired_standard_error,paired_95_low,paired_95_high
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,2590220630402011700,0.01,simple_welch,normal_wald,356,9612,0,32,-0.0032,0.0005648078441293808,-0.004307023374493586,-0.002092976625506414
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,2590220630402011700,0.05,simple_welch,normal_wald,779,9190,0,31,-0.0031,0.0005559405606633672,-0.0041896434989002,-0.0020103565010998
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,2590220630402011700,0.1,simple_welch,normal_wald,1201,8757,0,42,-0.0042,0.0006467440202914738,-0.005467618279771288,-0.0029323817202287113
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,2590220630402011700,0.01,expanded_welch,simple_welch,132,9644,0,224,-0.0224,0.0014798793884301619,-0.025300563601323118,-0.01949943639867688
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,2590220630402011700,0.05,expanded_welch,simple_welch,486,9221,0,293,-0.0293,0.0016865454169824048,-0.03260562901728551,-0.025994370982714485
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,2590220630402011700,0.1,expanded_welch,simple_welch,891,8799,0,310,-0.031,0.0017332629402494024,-0.03439719536288883,-0.02760280463711117
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,15215419473731274312,0.01,expanded_welch,normal_wald,148,9759,0,93,-0.0093,0.0009599183008540005,-0.01118143986967384,-0.007418560130326158
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,15215419473731274312,0.05,expanded_welch,normal_wald,791,9050,0,159,-0.0159,0.0012509498341455403,-0.01835186167492526,-0.013448138325074742
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,15215419473731274312,0.1,expanded_welch,normal_wald,1505,8303,0,192,-0.0192,0.0013723426439607722,-0.02188979158216311,-0.016510208417836885
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,15215419473731274312,0.01,simple_welch,normal_wald,231,9759,0,10,-0.001,0.00031608541725157126,-0.0016195274178130797,-0.0003804725821869204
