n_p,n_q,mi_p_plugin,mi_q_plugin,mi_p_jackknife,mi_q_jackknife,delta_plugin,delta_jackknife,standard_error,z_plugin,z_jackknife,wald_plugin_p,wald_jackknife_p,naive_perm_plugin_p,student_perm_plugin_p,student_perm_jackknife_p,valid_studentization,permutations,deterministic_seconds,permutation_seconds,scenario_id,family,regular,replicate,scenario_seed,true_delta,zero_cells_p,zero_cells_q
500,500,0.0006486491317788667,2.70622386266961e-06,-0.00035740415864893293,-0.0010731106402204205,0.0006459429079161971,0.0007157064815714875,0.001613628091790231,0.40030469920708883,0.44353868478916403,0.6889321072190951,0.6573761445222841,0.93,0.64,0.61,True,99,0.00010920804925262928,0.00017920800019055605,near_2x2_bal_strong_500,near_boundary,False,4,2969104037,9.992007221626409e-16,0,0
500,500,0.0009416473003511783,0.001005258231210615,-6.441640920229474e-05,-4.835708392647575e-05,-6.361093085943681e-05,-1.6059325275818992e-05,0.0028561623045456662,-0.02227146922224908,-0.00562269351789291,0.9822314074979434,0.9955137632904508,1.0,1.0,1.0,True,99,0.00010683306027203798,0.0001800839090719819,near_2x2_bal_strong_500,near_boundary,False,5,2969104037,9.992007221626409e-16,0,0
500,500,8.00322266514275e-06,0.001484643885087733,-0.0009980330453345232,0.0004376564707229136,-0.0014766406624225903,-0.0014356895160574368,0.002565732013437314,-0.5755241212601675,-0.5595633170332711,0.5649368820129415,0.5757773318845303,0.85,0.48,0.48,True,99,0.00010900001507252455,0.000179499969817698,near_2x2_bal_strong_500,near_boundary,False,6,2969104037,9.992007221626409e-16,0,0
500,500,0.005859390508134221,0.00048013273034641646,0.004853206104144192,-0.0005826110643170068,0.005379257777787805,0.005435817168461199,0.005035279702526009,1.0683135983665883,1.0795462197927665,0.28537907651213346,0.28034430119616593,0.75,0.27,0.27,True,99,0.00010850001126527786,0.00017716700676828623,near_2x2_bal_strong_500,near_boundary,False,7,2969104037,9.992007221626409e-16,0,0
500,500,0.0028177456688568414,0.0013161291534284358,0.001811634007935936,0.00026924662037686176,0.0015016165154284056,0.0015423873875590743,0.004124728544726054,0.3640522034712799,0.37393670173306226,0.7158190273754914,0.7084514099378915,0.94,0.72,0.71,True,99,0.00010891607962548733,0.0001769589725881815,near_2x2_bal_strong_500,near_boundary,False,8,2969104037,9.992007221626409e-16,0,0
500,500,0.0028986626273225236,0.0026658470725088312,0.001892544016982356,0.0016236406316352259,0.00023281555481369232,0.0002689033853471301,0.004858507153723845,0.047919154474281016,0.05534691559340954,0.9617806738627727,0.9558620861821396,0.97,0.94,0.94,True,99,0.0001092089805752039,0.0001775000710040331,near_2x2_bal_strong_500,near_boundary,False,9,2969104037,9.992007221626409e-16,0,0
500,500,0.002600261204782073,0.005660980874180266,0.001594152565587592,0.004621883403018501,-0.003060719669398193,-0.0030277308374309087,0.006095030789088255,-0.5021664000250343,-0.4967539856978838,0.6155504758527375,0.6193625473963964,0.87,0.59,0.6,True,99,0.0001075830077752471,0.00019362499006092548,near_2x2_bal_strong_500,near_boundary,False,10,2969104037,9.992007221626409e-16,0,0
500,500,0.00844839521369245,0.0026173390268691143,0.007442146777350445,0.001575318625413047,0.005831056186823336,0.005866828151937398,0.006733713678423222,0.8659495287879163,0.8712618967949918,0.386517840279487,0.3836111702542764,0.87,0.4,0.39,True,99,0.0001276669790968299,0.00017729098908603191,near_2x2_bal_strong_500,near_boundary,False,11,2969104037,9.992007221626409e-16,0,0
500,500,0.00983242692313635,0.00608144597135285,0.008826178058654932,0.005038292475461503,0.0037509809517835,0.003787885583193429,0.008273878642707965,0.4533521838744106,0.45781256249531943,0.6502951619223936,0.6470871096120652,0.91,0.79,0.78,True,99,0.00010729208588600159,0.00017812498845160007,near_2x2_bal_strong_500,near_boundary,False,12,2969104037,9.992007221626409e-16,0,0
500,500,3.000034737787871e-05,0.01108025895425585,-0.0009760372191749411,0.010046445943174831,-0.011050258606877972,-0.011022483162349772,0.007408138455777636,-1.4916376999217438,-1.4878883849360691,0.13579414940734388,0.13678033131891526,0.41,0.14,0.14,True,99,0.00010712502989917994,0.00017633300740271807,near_2x2_bal_strong_500,near_boundary,False,13,2969104037,9.992007221626409e-16,0,0
500,500,0.0008524299007599545,0.002874470323662448,-0.0001536565110313859,0.0018268308918720777,-0.0020220404229024935,-0.0019804874029034636,0.0040773849633851935,-0.4959159954383414,-0.485724899828735,0.6199536803115336,0.6271622270286596,0.92,0.62,0.63,True,99,0.00010620802640914917,0.00018829095643013716,near_2x2_bal_strong_500,near_boundary,False,14,2969104037,9.992007221626409e-16,0,0
500,500,0.0036862668341888227,0.0007607231720883068,0.0026800843608612013,-0.0003022347383705437,0.002925543662100516,0.002982319099231745,0.004243757712046641,0.6893757515411055,0.7027543280253525,0.4905868388353728,0.4822088642347113,0.82,0.51,0.49,True,99,0.00012087495997548103,0.000179499969817698,near_2x2_bal_strong_500,near_boundary,False,15,2969104037,9.992007221626409e-16,0,0
500,500,0.0021238767901559097,0.0027901751421980925,0.0011177142569067655,0.0017481047756007229,-0.0006662983520421828,-0.0006303905186939573,0.004597634910884953,-0.14492197944310756,-0.13711191317116125,0.8847724725462462,0.8909423360562562,0.99,0.88,0.89,True,99,0.00010916695464402437,0.0001772079849615693,near_2x2_bal_strong_500,near_boundary,False,16,2969104037,9.992007221626409e-16,0,0
500,500,0.0007977536766210491,0.0003350100731082106,-0.00020829735694860574,-0.000741265301940075,0.0004627436035128385,0.0005329679449914693,0.0021486369219683842,0.21536612295059848,0.24804932817742556,0.829481880236492,0.8040962407668873,0.96,0.83,0.82,True,99,0.00010658300016075373,0.00017670798115432262,near_2x2_bal_strong_500,near_boundary,False,17,2969104037,9.992007221626409e-16,0,0
500,500,0.0031830343502100567,0.0005530004698707791,0.002176919432656632,-0.0005437186434562591,0.0026300338803392775,0.002720638076112891,0.003836714973545318,0.6854910772558624,0.7091061220007397,0.4930340892322741,0.4782586241754866,0.81,0.53,0.52,True,99,0.0001064579701051116,0.00017608399502933025,near_2x2_bal_strong_500,near_boundary,False,18,2969104037,9.992007221626409e-16,0,0
