configuration_id,anchor_configuration_id,configuration_label,sample_scale,n_p,n_q,mi_p,mi_q,minimum_expected_count,method,method_label,alpha,replicates,valid_count,valid_rate,reject_count,false_positive_rate,absolute_fpr_error,wilson_low,wilson_high
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,constrained_lr,Constrained LR (chi-squared),0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,empirical_lr,Constrained LR (split empirical),0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,expanded_welch,Expanded Welch,0.01,100,99,0.99,0,0.0,0.01,0.0,0.03735321206782739
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,normal_wald,Normal Wald,0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,simple_welch,Simple Welch,0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,bartlett_lr,Constrained LR (oracle Bartlett),0.05,100,100,1.0,5,0.05,0.0,0.02154367915436796,0.11175046923191913
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,constrained_lr,Constrained LR (chi-squared),0.05,100,100,1.0,4,0.04,0.010000000000000002,0.01566330399154762,0.0983707143588792
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,empirical_lr,Constrained LR (split empirical),0.05,100,100,1.0,5,0.05,0.0,0.02154367915436796,0.11175046923191913
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,expanded_welch,Expanded Welch,0.05,100,99,0.99,1,0.010101010101010102,0.0398989898989899,0.0017853072791700793,0.055015314645872934
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,normal_wald,Normal Wald,0.05,100,100,1.0,2,0.02,0.030000000000000002,0.00550196755016235,0.07001179072854388
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,simple_welch,Simple Welch,0.05,100,100,1.0,2,0.02,0.030000000000000002,0.00550196755016235,0.07001179072854388
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,bartlett_lr,Constrained LR (oracle Bartlett),0.1,100,100,1.0,9,0.09,0.010000000000000009,0.04807254000256516,0.1622621285271631
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,constrained_lr,Constrained LR (chi-squared),0.1,100,100,1.0,6,0.06,0.04000000000000001,0.027786123963188192,0.1247681544589592
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,empirical_lr,Constrained LR (split empirical),0.1,100,100,1.0,9,0.09,0.010000000000000009,0.04807254000256516,0.1622621285271631
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,expanded_welch,Expanded Welch,0.1,100,99,0.99,3,0.030303030303030304,0.0696969696969697,0.010358639578454044,0.08533680206102018
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,normal_wald,Normal Wald,0.1,100,100,1.0,5,0.05,0.05,0.02154367915436796,0.11175046923191913
LR_C1_N3_n50_scale1,C1_N3_n50,One skewed population,1.0,50,50,0.03000000000000036,0.029999999999678284,1.7297918432110366,simple_welch,Simple Welch,0.1,100,100,1.0,5,0.05,0.05,0.02154367915436796,0.11175046923191913
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,bartlett_lr,Constrained LR (oracle Bartlett),0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,constrained_lr,Constrained LR (chi-squared),0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,empirical_lr,Constrained LR (split empirical),0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
