scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,correction,valid_replicates,mean_delta_error,mean_standard_error,standardized_mean_bias,empirical_delta_sd,sd_to_mean_se_ratio
stress_3x3_d9,ultra_sparse,Ultra-skewed and sparse,variant_2,3,3,1180,4720,0.15,0.3250218079712814,4.0,731714546,10000,jackknife,10000,-2.603563147520145e-05,0.015235778153866028,-0.0017088481607088113,0.015191790436529292,0.9971128670362286
adversarial_3x3_d10,widespread_sparse,Widespread sparsity,variant_1,3,3,140,140,0.03,0.0174407350770515,1.0,30925125,10000,analytic,10000,0.0025072495478660984,0.029379519477322095,0.08534004614341742,0.03013511582061354,1.0257184718039614
adversarial_3x3_d10,widespread_sparse,Widespread sparsity,variant_1,3,3,140,140,0.03,0.0174407350770515,1.0,30925125,10000,jackknife,10000,0.0011376648545434378,0.029379519477322095,0.03872305860623744,0.0317896517036773,1.0820344331436589
adversarial_3x3_d11,widespread_sparse,Widespread sparsity,variant_2,3,3,138,138,0.03,0.0147791534521418,1.0,3324953407,10000,analytic,10000,-0.0007169475351711534,0.02774900735319446,-0.02583687142555096,0.028963051529631575,1.0437509047074924
adversarial_3x3_d11,widespread_sparse,Widespread sparsity,variant_2,3,3,138,138,0.03,0.0147791534521418,1.0,3324953407,10000,jackknife,10000,-0.0008486963491049622,0.02774900735319446,-0.03058474626867186,0.030998077766508543,1.1170878068523071
adversarial_3x3_d12,shape_mismatch,Equal-MI shape mismatch,variant_1,3,3,225,225,0.07,0.0177700726059115,1.0,224210588,10000,analytic,10000,0.003452764292246723,0.036321441779416055,0.09506132254373945,0.03639039365800554,1.001898379447827
adversarial_3x3_d12,shape_mismatch,Equal-MI shape mismatch,variant_1,3,3,225,225,0.07,0.0177700726059115,1.0,224210588,10000,jackknife,10000,-0.0007347314461579803,0.036321441779416055,-0.020228587031871748,0.036492867301487465,1.004719678340758
adversarial_3x3_d13,shape_mismatch,Equal-MI shape mismatch,variant_2,3,3,450,450,0.15,0.2380119916191448,1.0,4175141723,10000,analytic,10000,-0.00028171132088835275,0.029889509030586164,-0.009425090274988305,0.030337732314061654,1.0149960068938175
adversarial_3x3_d13,shape_mismatch,Equal-MI shape mismatch,variant_2,3,3,450,450,0.15,0.2380119916191448,1.0,4175141723,10000,jackknife,10000,-0.0013035812930611832,0.029889509030586164,-0.04361333910594579,0.03041490226751188,1.0175778476785309
adversarial_3x3_d14,extreme_imbalance,Extreme sample imbalance,variant_1,3,3,225,2250,0.07,0.8994264364712156,10.0,2032883690,10000,analytic,10000,0.0007906320050183842,0.024133197297632053,0.03276117935255769,0.02538645461334056,1.0519308444816584
