configuration_id,pair_id,shape,profile,n_p,n_q,target_mi_p,target_mi_q,section,population,mi,v,tau2,mean_vhat,var_vhat,mean_vhat_over_v,n_var_ihat_over_v,population_first_order_df,empirical_moment_df,median_plugin_df,first_order_var_ratio
config_78fd18443dffa3c7,pair_0e678b31b33a4770,5x5,same_skew,100,100,0.02,0.02,main,p,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.15872182962958664,0.006398286891927681,2.6804098520690465,1.8025817734830651,1.2416506595600838,7.874801373082374,4.527340756665756,1.1328234389835514
config_78fd18443dffa3c7,pair_0e678b31b33a4770,5x5,same_skew,100,100,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.15847124376671332,0.006233597218059866,2.6761780912759505,1.7311134692867605,1.2416506595600838,8.057349303292087,4.55922702115879,1.1036649586172842
config_9db136a4542b670f,pair_0e678b31b33a4770,5x5,same_skew,250,250,0.02,0.02,main,p,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.0999561936158487,0.002244109307274588,1.6880070420590685,1.2804128981352194,3.1041266489002095,8.904415315048208,6.461424901338807,0.99330479621393
config_9db136a4542b670f,pair_0e678b31b33a4770,5x5,same_skew,250,250,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.09979592163466824,0.0022843860602114845,1.6853004540719638,1.308495556008562,3.1041266489002095,8.71938955361235,6.349738977386128,1.011132400127186
config_9d0baddf541c6a14,pair_0e678b31b33a4770,5x5,same_skew,500,500,0.02,0.02,main,p,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.07999413213666931,0.00111253333960874,1.350898363427591,1.2391241702000728,6.208253297800419,11.503585462974721,9.693617668183354,0.9848760027855852
config_9d0baddf541c6a14,pair_0e678b31b33a4770,5x5,same_skew,500,500,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.08033506351906976,0.0011259784833459463,1.3566558313095978,1.2621741212818622,6.208253297800419,11.463313955050289,9.618338604140185,0.9967783871450817
config_bf32f010ab448565,pair_0e678b31b33a4770,5x5,same_skew,1000,1000,0.02,0.02,main,p,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.0716309512556539,0.0005462462464919223,1.2096654121667358,1.1347174538793026,12.416506595600838,18.786374133431195,16.795600018876897,0.9671347376803907
config_bf32f010ab448565,pair_0e678b31b33a4770,5x5,same_skew,1000,1000,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.07195839273221542,0.0005622641078757011,1.2151950696927345,1.1746734025545522,12.416506595600838,18.418427255358253,16.825737575263442,0.9954945301129982
config_f4cd559b3ed00163,pair_8530c1b9f8c78768,5x5,different_skew,2,2,0.02,0.02,main,p,0.019999999999999993,0.05214806161474724,0.3869967567731718,0.0,0.0,0.0,3.493966097673528,0.028107939227711855,,,0.0
config_f4cd559b3ed00163,pair_8530c1b9f8c78768,5x5,different_skew,2,2,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.0,0.0,0.0,1.8932568656441606,0.024833013191201677,,,0.0
config_f5ee8ff7fc47e740,pair_8530c1b9f8c78768,5x5,different_skew,5,5,0.02,0.02,main,p,0.019999999999999993,0.05214806161474724,0.3869967567731718,0.12565115030691926,0.016405168582007492,2.4095075908130337,6.985586119133299,0.07026984806927963,1.9247850449727009,2.253092937748585,0.21195485872796294
config_f5ee8ff7fc47e740,pair_8530c1b9f8c78768,5x5,different_skew,5,5,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.07532716660017531,0.013614359571595165,1.2720851312938721,3.8013511052449394,0.0620825329780042,0.8335584201623575,2.174240423619598,0.12052183568785324
config_592453c4101ec668,pair_8530c1b9f8c78768,5x5,different_skew,10,10,0.02,0.02,main,p,0.019999999999999993,0.05214806161474724,0.3869967567731718,0.23485733092733144,0.03488215950211535,4.50366367713493,7.386298908129635,0.14053969613855927,3.16253160226305,4.5473327347215715,0.9013553444986785
config_592453c4101ec668,pair_8530c1b9f8c78768,5x5,different_skew,10,10,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.15494918138948235,0.035896621465380245,2.616699374847572,4.892800679881085,0.1241650659560084,1.337688497310307,3.3870295010058546,0.635553467094555
config_0bad497f06694faf,pair_8530c1b9f8c78768,5x5,different_skew,20,20,0.02,0.02,main,p,0.019999999999999993,0.05214806161474724,0.3869967567731718,0.2919837784014195,0.028878055815460824,5.599130041659071,5.89549291382412,0.28107939227711853,5.904450590051523,6.210530128527482,1.4924184924054522
config_0bad497f06694faf,pair_8530c1b9f8c78768,5x5,different_skew,20,20,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.21675827988911228,0.036998076693605116,3.6604985608357334,4.677870523518774,0.2483301319120168,2.5398159093284787,3.8924543847415674,1.3101096960408276
config_bc16c273413484ad,pair_8530c1b9f8c78768,5x5,different_skew,50,50,0.02,0.02,main,p,0.019999999999999993,0.05214806161474724,0.3869967567731718,0.22697391511596124,0.010019169306605666,4.352489969670781,2.973606135981137,0.7026984806927964,10.283718453405548,5.892629666234622,1.2944771669595856
config_bc16c273413484ad,pair_8530c1b9f8c78768,5x5,different_skew,50,50,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.21388083955763715,0.016001650985219232,3.611905878712385,2.9301817991656094,0.6208253297800419,5.717536718196706,4.206690583258045,1.4165545875537673
config_63a381d35c613aee,pair_8530c1b9f8c78768,5x5,different_skew,100,100,0.02,0.02,main,p,0.019999999999999993,0.05214806161474724,0.3869967567731718,0.15018043970836717,0.0044990902960640984,2.8798853698120355,1.9448055995681948,1.4053969613855928,10.026099938794017,5.982213271939903,1.1625653748569071
config_63a381d35c613aee,pair_8530c1b9f8c78768,5x5,different_skew,100,100,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.16000687232993455,0.006365735658325607,2.7021109698193917,1.771433999627834,1.2416506595600838,8.043751913990778,4.5863106526098445,1.127060208760352
config_941d87655f4f536c,pair_8530c1b9f8c78768,5x5,different_skew,250,250,0.02,0.02,main,p,0.019999999999999993,0.05214806161474724,0.3869967567731718,0.09464887813323854,0.001643314433515607,1.8150028055208145,1.6291806893326246,3.513492403463982,10.902855776317333,8.01116387729751,1.061581527980862
config_941d87655f4f536c,pair_8530c1b9f8c78768,5x5,different_skew,250,250,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.10016415582384625,0.002238057892593996,1.6915189972354645,1.2889270217160345,3.1041266489002095,8.965682384806659,6.3692740740701215,0.9906262728431537
