configuration_id,pair_id,shape,profile,n_p,n_q,target_mi_p,target_mi_q,section,replicates,pilot_sd,standardized_bias,mean_se2_over_empirical_var,empirical_var_over_first_order,normal_wald_rate,independent_mc_sd_rate,population_first_order_sd_rate,median_combined_df,numerator_se2_correlation
config_9ba0432f20bfbdd8,pair_489238afbcfc259d,5x5,uniform,250,250,0.02,0.02,main,20000,0.023830575728626676,-0.007543754003690508,1.3250173470797735,1.9212955084830317,0.02365,0.05285,0.15315,31.517210239778528,-0.012087609646333304
config_4292bfd4ad782a22,pair_489238afbcfc259d,5x5,uniform,500,500,0.02,0.02,main,20000,0.014535997733452351,0.0015738536263222654,1.2561823415980977,1.4296995711732734,0.02715,0.0529,0.1055,42.07666823114346,-0.00808750685549977
config_2c1cfa826b349579,pair_489238afbcfc259d,5x5,uniform,1000,1000,0.02,0.02,main,20000,0.009428212091767935,7.31723288993593e-05,1.1659082875096562,1.2029394748335576,0.03635,0.05415,0.07895,64.93868289383961,0.005526912589222285
config_14c8f00471edb1ec,pair_0e678b31b33a4770,5x5,same_skew,2,2,0.02,0.02,main,20000,0.335340766512189,0.005167483719391083,0.0,1.8990537188867824,0.0,0.2373,0.2373,,
config_a0920c257885f42b,pair_0e678b31b33a4770,5x5,same_skew,5,5,0.02,0.02,main,20000,0.3052799643462538,-0.008998039828500446,0.3255817466259841,3.9346051653605087,0.2221,0.0424,0.2955,2.996873090621708,-0.007354110518722111
config_cf308bfb3c6f73b0,pair_0e678b31b33a4770,5x5,same_skew,10,10,0.02,0.02,main,20000,0.2404819679495576,-0.00016487161921531786,0.5338616311285204,4.883144582854148,0.08255,0.05955,0.37585,8.221553929105417,0.004585645066342211
config_4804849e6bc7f601,pair_0e678b31b33a4770,5x5,same_skew,20,20,0.02,0.02,main,20000,0.16586544697949437,0.0038354082006796684,0.7817397183333168,4.645969894560496,0.0587,0.05085,0.3515,9.153819415074164,0.0022703236654557815
config_617be35d24acd8ce,pair_0e678b31b33a4770,5x5,same_skew,50,50,0.02,0.02,main,20000,0.08291988954363128,0.005263721190503153,1.2319164309054076,2.902832541333559,0.0263,0.0516,0.23715,8.923358575108612,-0.00024890342829242493
config_78fd18443dffa3c7,pair_0e678b31b33a4770,5x5,same_skew,100,100,0.02,0.02,main,20000,0.046072890154182554,-0.002497101941785471,1.4927571412562386,1.79236090147324,0.0112,0.0536,0.13795,9.806343110445246,0.00427420946968389
config_9db136a4542b670f,pair_0e678b31b33a4770,5x5,same_skew,250,250,0.02,0.02,main,20000,0.02466658439197266,0.018363546022199063,1.3101910682946105,1.2843772086002823,0.01765,0.0535,0.08365,13.5507124307072,-0.011431414459490733
config_9d0baddf541c6a14,pair_0e678b31b33a4770,5x5,same_skew,500,500,0.02,0.02,main,20000,0.017262535474510243,0.008094978629575695,1.0734941785978496,1.2580958253953685,0.03285,0.04815,0.0746,19.96021281803807,0.0037532745120325557
config_bf32f010ab448565,pair_0e678b31b33a4770,5x5,same_skew,1000,1000,0.02,0.02,main,20000,0.011691714619824054,-0.004343175576983628,1.0502572452967776,1.1542262878567617,0.04025,0.0498,0.067,34.11588751012654,-0.007184551939985811
config_f4cd559b3ed00163,pair_8530c1b9f8c78768,5x5,different_skew,2,2,0.02,0.02,main,20000,0.3840929817288334,0.201036206303015,0.0,2.649473608290708,0.0,0.0,0.3159,,
config_f5ee8ff7fc47e740,pair_8530c1b9f8c78768,5x5,different_skew,5,5,0.02,0.02,main,20000,0.3427592851881096,0.34413134696944825,0.34092309881475585,5.274791771833488,0.2704,0.08275,0.37005,3.111741951165302,0.07715295701623487
config_592453c4101ec668,pair_8530c1b9f8c78768,5x5,different_skew,10,10,0.02,0.02,main,20000,0.2597113554471846,0.4353907526096768,0.5827770657508091,6.056737288496389,0.1548,0.0734,0.4603,11.558923574913377,0.029842595794324536
config_0bad497f06694faf,pair_8530c1b9f8c78768,5x5,different_skew,20,20,0.02,0.02,main,20000,0.1714103212228342,0.5173149518069453,0.8553146408543179,5.2766804192853,0.123,0.08155,0.4545,12.741655267909834,-0.06403649632900342
config_bc16c273413484ad,pair_8530c1b9f8c78768,5x5,different_skew,50,50,0.02,0.02,main,20000,0.08120875226056436,0.5500694628827419,1.3278753923625037,2.9609599879292157,0.06005,0.0838,0.3168,10.371233282246864,-0.16020420496836907
config_63a381d35c613aee,pair_8530c1b9f8c78768,5x5,different_skew,100,100,0.02,0.02,main,20000,0.04557203724208,0.43057509304355,1.4857880492538365,1.8648922581957363,0.02575,0.0693,0.1779,11.108467453480369,-0.10659221554024012
config_941d87655f4f536c,pair_8530c1b9f8c78768,5x5,different_skew,250,250,0.02,0.02,main,20000,0.025399695496180902,0.11480697967629362,1.2022560703180152,1.4482845165962828,0.02485,0.05125,0.1012,14.801003646211587,-0.09409296002899611
config_a576d769e04b82a5,pair_8530c1b9f8c78768,5x5,different_skew,500,500,0.02,0.02,main,20000,0.017013674430877274,-0.042339684817158135,1.0945895901025615,1.2996400887988329,0.03375,0.05185,0.0873,22.519888240406864,-0.09606797399396295
config_66a5ffeeb7d78344,pair_8530c1b9f8c78768,5x5,different_skew,1000,1000,0.02,0.02,main,20000,0.011437520747854585,-0.04731317410655376,1.063108938249383,1.1746829050792376,0.03915,0.04965,0.06975,37.49379079303083,-0.09446225286744357
